,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,8.2,55.3635,-157.8876,35.0,2021-07-29T06:15:50.400005Z,72,644,72,644,1,1,1,0,1,0
1,7.9,56.0464,-149.0728,25.0,2018-01-23T09:31:40.800000Z,24,2580,24,2580,1,1,0,0,0,0
2,7.8,55.0298,-158.5217,28.0,2020-07-22T06:12:40.319996Z,59,365,59,365,1,1,3,0,3,0
3,7.6,54.6093,-159.6519,31.08,2020-10-19T20:54:40.320000Z,48,1071,48,1071,1,1,4,1,4,1
4,7.5,55.2347,-134.8008,3.1,2013-01-05T08:58:16.319995Z,2,162,2,162,1,1,2,0,2,0
5,7.3,51.9805,-171.8201,49.8,2011-06-24T03:09:38.880002Z,44,236,44,236,1,1,5,0,5,0
6,7.0,61.3464,-149.9552,46.7,2018-11-30T17:29:28.320004Z,15,641,15,641,1,1,6,0,6,0
7,7.0,51.5001,-175.2137,30.2,2013-08-30T16:25:06.239996Z,5,320,5,320,1,1,29,0,29,0
8,6.9,52.2759,-169.5348,27.8,2015-07-27T04:49:43.680001Z,29,319,29,319,1,1,22,1,22,1
9,6.9,55.1733,-157.6531,20.68,2021-08-14T11:57:41.760004Z,0,6,0,6,1,1,0,0,0,0
10,6.9,52.1018,-171.7181,46.0,2011-09-02T10:55:55.200003Z,11,265,11,265,1,1,7,0,7,0
11,6.9,56.2584,-156.5532,69.1,2021-10-11T09:10:22.079999Z,3,45,3,45,1,1,0,1,0,1
12,6.8,56.7079,-156.6764,64.6,2015-05-29T07:00:02.879995Z,12,19,12,19,1,1,1,0,1,0
13,6.7,52.7536,-169.7741,21.5,2010-07-18T05:56:41.279996Z,10,1398,10,1398,1,1,15,0,15,0
14,6.6,51.4215,-178.0516,20.0,2018-08-15T21:56:52.799996Z,17,37,17,37,1,1,4,0,4,0
15,6.5,51.4813,-174.6949,30.3,2013-09-04T02:32:29.759997Z,0,1,0,1,-1,-1,0,0,0,0
16,6.5,51.6394,-173.0746,15.0,2015-11-09T16:03:47.519996Z,45,23,45,23,1,1,2,11,2,11
17,6.5,51.6273,-176.0005,45.8,2010-09-03T11:16:04.800001Z,8,36,8,36,1,1,2,1,2,1
18,6.5,51.5408,-178.1844,26.8,2012-09-26T23:39:59.039998Z,5,177,5,177,1,1,2,0,2,0
19,6.5,60.4708,-177.8509,13.3,2010-04-30T23:11:45.599998Z,1,7,1,7,2,2,4,1,4,1
20,6.4,60.467,-177.6065,16.0,2010-04-30T23:16:30.719997Z,0,0,0,0,-1,-1,0,0,0,0
21,6.4,52.7516,-168.2307,23.0,2020-12-01T16:22:39.360004Z,22,47,22,47,1,1,2,3,2,3
22,6.4,51.3459,-175.3166,24.4,2010-10-08T03:26:12.480004Z,2,111,2,111,5,5,16,0,16,0
23,6.4,51.3848,-178.4933,33.3,2010-08-04T12:58:27.839996Z,17,51,17,51,1,1,5,1,5,1
24,6.3,51.5648,-173.9423,19.0,2016-03-12T18:06:46.080004Z,11,75,11,75,5,5,18,3,18,3
25,6.3,57.557,-142.8596,19.0,2012-11-12T20:42:17.280005Z,0,56,0,56,1,1,1,0,1,0
26,6.3,51.3809,-175.5108,20.0,2019-11-24T00:53:59.999998Z,6,34,6,34,1,1,1,0,1,0
27,6.2,59.8298,-136.6764,8.0,2017-05-01T12:31:58.080001Z,0,178,0,178,2,2,11,0,11,0
28,6.2,59.8295,-136.7042,2.53,2017-05-01T14:18:14.400002Z,0,0,0,0,-1,-1,0,0,0,0
29,6.2,52.4716,-167.4225,12.3,2012-08-10T18:37:43.679997Z,0,4,0,4,1,1,1,0,1,0
30,6.2,51.9836,-177.855,10.0,2020-01-23T05:53:05.280001Z,5,115,5,115,1,1,3,0,3,0
31,6.2,54.7716,-161.3162,40.9,2011-07-16T19:59:13.919998Z,2,21,2,21,1,1,3,0,3,0
32,6.2,57.008,-157.9321,11.4,2016-04-02T05:50:03.839997Z,0,134,0,134,1,1,6,0,6,0
33,6.2,51.7545,-178.6361,10.0,2017-05-08T17:00:48.959997Z,99,357,99,357,1,1,37,5,37,5
34,6.1,54.9322,-159.0423,17.67,2020-07-22T06:16:16.320001Z,0,0,0,0,-1,-1,0,0,0,0
35,6.1,62.4492,-148.2512,44.0,2021-05-31T06:59:54.240000Z,1,23,1,23,1,1,1,0,1,0
36,6.1,51.0872,-179.0119,18.0,2021-09-24T11:52:30.719999Z,5,2,5,2,1,1,1,1,1,1
37,6.1,51.4857,-174.6891,31.1,2013-09-15T16:21:38.879996Z,0,2,0,2,-1,-1,1,0,1,0
38,6.1,51.2327,-179.8028,21.0,2021-01-03T12:38:44.160005Z,1,8,1,8,1,1,0,0,0,0
39,6.1,54.8674,-161.1436,41.26,2020-07-28T08:03:41.759995Z,0,0,0,0,-1,-1,0,0,0,0
40,6.1,51.1338,-179.8892,17.0,2020-01-26T06:31:58.080001Z,12,80,12,80,5,5,19,3,19,3
41,6.1,51.3078,-178.2387,30.0,2019-05-23T08:45:18.719998Z,12,10,12,10,1,1,0,3,0,3
42,6.0,51.5106,-177.881,43.91,2018-08-23T03:35:16.800005Z,0,0,0,0,-1,-1,0,0,0,0
43,6.0,51.1862,-178.1011,28.0,2019-12-02T05:01:58.080001Z,6,8,6,8,1,1,2,1,2,1
44,6.0,54.4266,-161.5131,31.0,2018-12-31T02:35:39.839996Z,4,9,4,9,1,1,0,1,0,1
45,6.0,51.2897,-174.9417,27.6,2013-08-31T06:38:35.519999Z,0,0,0,0,-1,-1,0,0,0,0
46,6.0,58.3062,-136.9601,10.0,2014-07-25T10:54:46.080000Z,1,42,1,42,1,1,6,1,6,1
47,6.0,51.5201,-174.7733,30.2,2013-09-04T06:27:04.319997Z,0,0,0,0,-1,-1,0,0,0,0
48,6.0,60.2995,-140.3366,10.0,2014-07-17T11:49:29.279995Z,2,17,2,17,1,1,2,0,2,0
49,6.0,52.0985,-169.5349,20.0,2015-09-10T10:26:41.279996Z,0,16,0,16,1,1,9,0,9,0
50,6.0,51.5145,-174.1423,17.0,2016-03-19T01:35:11.040005Z,0,0,0,0,-1,-1,0,0,0,0
51,6.0,51.4225,-175.1876,32.4,2010-10-08T03:49:14.880000Z,0,0,0,0,-1,-1,0,0,0,0
52,6.0,52.8204,-169.5988,35.6,2010-07-18T19:48:08.640001Z,0,0,0,0,-1,-1,0,0,0,0
53,5.9,55.3694,-134.8161,10.0,2013-01-31T09:53:42.719997Z,0,3,0,3,-1,-1,0,0,0,0
54,5.9,51.5093,-174.7004,33.4,2013-09-04T04:16:27.840002Z,0,0,0,0,-1,-1,0,0,0,0
55,5.9,51.4073,-174.6918,29.4,2013-09-14T15:42:46.079996Z,0,0,0,0,-1,-1,0,0,0,0
56,5.9,52.6627,-169.5168,40.0,2015-07-27T04:51:18.720000Z,0,0,0,0,-1,-1,0,0,0,0
57,5.9,54.9337,-160.5006,39.5,2011-02-02T00:38:18.239998Z,1,5,1,5,1,1,1,1,1,1
58,5.9,51.3349,-178.1181,30.0,2019-01-05T18:47:13.920004Z,5,15,5,15,1,1,5,1,5,1
59,5.9,52.2475,-169.3542,38.9,2015-07-27T07:40:30.720005Z,0,0,0,0,-1,-1,0,0,0,0
60,5.9,51.0619,-176.9879,18.75,2017-05-08T15:47:31.200005Z,3,17,3,17,5,5,6,3,6,3
