,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,573,64,273,61.0,12.96,144.78,7.7,2,6,8,2,14,0,0,0,0,0,1993-08-08T08:34:22.079997Z,1993-08-08T08:34:22.079997Z,1993-08-08T08:34:21.000000,0,1,1,0,1
1,736,73,2266,35.0,10.1,-85.31,7.6,3,4,4,3,7,0,0,0,0,0,2012-09-05T14:42:08.639999Z,2012-09-05T14:42:08.639999Z,2012-09-05T14:42:07.000002,1,1,1,1,1
2,1860,72,2264,28.0,10.81,126.64,7.6,11,18,18,13,25,0,1,0,0,0,2012-08-31T12:47:31.199995Z,2012-08-31T12:47:31.199995Z,2012-08-31T12:47:30.000002,1,1,1,1,1
3,1913,96,2446,43.0,-6.76,155.02,7.5,17,18,18,27,20,11,13,9,29,9,2014-04-19T13:27:59.040004Z,2014-04-19T13:27:59.040004Z,2014-04-19T13:27:58.000000,2,2,2,0,2
4,1793,78,2447,22.0,-11.27,162.15,7.6,11,15,15,15,18,0,1,0,0,0,2014-04-12T20:14:38.399996Z,2014-04-12T20:14:38.399996Z,2014-04-12T20:14:37.000003,2,2,2,2,2
5,159,45,2680,21.0,0.35,-79.93,7.8,6,13,13,8,16,0,0,0,0,0,2016-04-16T23:58:33.600006Z,2016-04-16T23:58:33.600006Z,2016-04-16T23:58:32.000003,1,1,1,1,1
6,191,51,550,33.0,-14.99,-75.68,7.7,3,8,8,3,12,0,1,0,0,0,1996-11-12T16:59:39.840004Z,1996-11-12T16:59:39.840004Z,1996-11-12T16:59:37.999998,1,1,1,1,1
7,2330,74,1170,10.0,-60.53,-43.41,7.6,2,3,3,2,3,0,0,0,0,0,2003-08-04T04:37:20.639996Z,2003-08-04T04:37:20.639996Z,2003-08-04T04:37:18.999999,0,1,1,0,1
8,2143,111,682,33.0,22.31,125.31,7.4,1,2,2,1,4,0,0,0,0,0,1998-05-03T23:30:20.159996Z,1998-05-03T23:30:20.159996Z,1998-05-03T23:30:18.999998,0,0,0,0,1
9,1525,52,375,33.0,40.45,143.49,7.7,5,16,17,9,39,0,1,0,1,0,1994-12-28T12:19:26.400000Z,1994-12-28T12:19:26.400000Z,1994-12-28T12:19:24.999996,1,1,1,1,1
10,338,103,2303,10.0,55.39,-134.65,7.5,2,2,2,2,2,0,0,0,0,0,2013-01-05T08:58:16.319995Z,2013-01-05T08:58:16.319995Z,2013-01-05T08:58:15.000000,0,0,0,0,0
11,1943,29,2307,24.0,-10.8,165.11,7.9,41,57,54,50,62,13,18,18,21,18,2013-02-06T01:12:25.920000Z,2013-02-06T01:12:25.920000Z,2013-02-06T01:12:23.999997,1,1,1,1,1
12,1548,120,2053,14.0,26.9,143.7,7.4,7,7,9,7,10,0,0,0,0,0,2010-12-21T17:19:40.800006Z,2010-12-21T17:19:40.800006Z,2010-12-21T17:19:38.999998,1,1,1,1,1
13,1437,53,412,33.0,-23.01,169.89,7.7,4,12,6,5,12,0,2,0,0,0,1995-05-16T20:12:46.079996Z,1995-05-16T20:12:46.079996Z,1995-05-16T20:12:45.000001,1,1,1,1,1
14,1527,9,364,33.0,43.71,147.33,8.3,16,21,21,35,79,0,11,0,2,0,1994-10-04T13:22:56.639995Z,1994-10-04T13:22:56.639995Z,1994-10-04T13:22:55.000000,1,1,1,1,1
15,1944,86,2211,20.0,16.5,-98.22,7.5,3,3,3,7,12,0,0,0,1,0,2012-03-20T18:02:44.160003Z,2012-03-20T18:02:44.160003Z,2012-03-20T18:02:43.000001,1,1,1,1,1
16,1927,17,2437,25.0,-19.61,-70.77,8.1,23,24,25,32,46,14,14,15,19,15,2014-04-01T23:46:45.120003Z,2014-04-01T23:46:45.120003Z,2014-04-01T23:46:44.000003,2,2,2,2,2
17,2168,62,1493,34.0,-9.25,107.41,7.7,6,11,11,6,16,0,0,0,0,0,2006-07-17T08:19:32.160000Z,2006-07-17T08:19:32.160000Z,2006-07-17T08:19:31.000003,1,1,1,1,1
18,1567,95,1996,35.0,7.88,91.94,7.5,4,4,5,4,6,1,1,0,2,0,2010-06-12T19:26:49.920001Z,2010-06-12T19:26:49.920001Z,2010-06-12T19:26:48.000002,1,1,1,1,1
19,2094,65,434,16.0,-5.81,154.21,7.7,7,16,18,24,25,1,2,0,15,0,1995-08-16T10:27:24.480003Z,1995-08-16T10:27:24.480003Z,1995-08-16T10:27:23.000001,1,1,1,1,1
20,1110,20,431,47.0,-23.36,-70.31,8.0,8,10,13,13,33,0,1,0,0,0,1995-07-30T05:11:19.680002Z,1995-07-30T05:11:19.680002Z,1995-07-30T05:11:18.000002,1,1,1,1,1
21,1819,89,2713,10.0,-55.28,-31.88,7.5,7,8,8,7,8,0,0,0,0,0,2016-08-19T07:32:26.880002Z,2016-08-19T07:32:26.880002Z,2016-08-19T07:32:24.999998,1,1,1,1,1
22,1582,3,1958,44.0,-35.85,-72.71,8.8,18,72,68,31,166,0,2,0,1,0,2010-02-27T06:34:16.319997Z,2010-02-27T06:34:16.319997Z,2010-02-27T06:34:15.000002,1,1,1,1,1
