,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,-999.0,-999.0,0,0,1,31.0,0.10000000000000053,-999.0,9.69,124.71,6.7,1,1,0,0,1990-02-08T07:15:35.999999Z,inf,-999.0
1,-999.0,-999.0,0,0,2,33.0,-999.0,0.10000000000000053,11.9,-86.77,6.7,0,0,1,1,1996-03-03T16:37:29.280001Z,-999.0,inf
2,-999.0,-999.0,0,0,3,10.0,-999.0,0.5,7.12,-76.89,7.1,0,0,1,1,1992-10-18T15:11:57.119999Z,-999.0,inf
3,-999.0,-999.0,0,0,4,10.0,-999.0,-999.0,40.41,-125.65,7.0,0,1,0,0,1994-09-01T15:15:50.399995Z,-999.0,-999.0
4,-999.0,-999.0,0,0,5,9.0,-999.0,-999.0,-40.32,-74.87,6.7,0,1,0,0,1998-04-01T22:42:57.599997Z,-999.0,-999.0
5,-999.0,-999.0,0,0,6,10.0,0.09999999999999964,-999.0,63.97,-20.49,6.5,1,1,0,0,2000-06-17T15:40:45.120001Z,inf,-999.0
6,-999.0,-999.0,0,0,7,31.0,0.39999999999999947,-999.0,-1.22,127.99,6.8,1,1,0,0,1994-10-08T21:44:12.480000Z,inf,-999.0
7,-999.0,-999.0,0,0,8,33.0,-999.0,-999.0,18.99,-107.35,6.9,0,0,0,1,1997-05-01T11:37:32.159996Z,-999.0,-999.0
8,-999.0,-999.0,0,0,9,10.0,-999.0,0.7000000000000002,41.61,-125.51,7.0,0,0,1,1,1991-08-17T22:17:11.039999Z,-999.0,inf
9,-999.0,-999.0,0,0,10,19.0,0.10000000000000053,-999.0,-0.49,100.5,6.4,1,1,0,0,2007-03-06T03:49:40.799996Z,inf,-999.0
10,-999.0,-999.0,0,0,11,27.0,0.5,-999.0,-0.56,-19.29,6.8,1,1,0,0,1992-12-26T19:52:27.840004Z,inf,-999.0
11,-999.0,-999.0,0,0,12,11.0,-999.0,0.09999999999999964,6.43,144.94,6.3,0,0,1,1,2014-05-15T08:16:30.719997Z,-999.0,inf
12,-999.0,-999.0,0,0,13,30.0,-999.0,-999.0,-40.26,176.14,6.4,0,0,0,1,1990-05-13T04:23:13.919996Z,-999.0,-999.0
13,-999.0,-999.0,0,0,14,58.0,0.8999999999999995,-999.0,-30.93,-71.22,7.1,1,2,0,0,1997-10-15T01:03:30.240005Z,inf,-999.0
14,-999.0,-999.0,0,0,15,33.0,-999.0,-999.0,-5.86,151.09,6.5,0,1,0,1,1991-09-28T20:26:52.800006Z,-999.0,-999.0
15,-999.0,-999.0,0,0,16,56.0,-999.0,-999.0,-17.18,-173.93,6.3,0,0,0,1,2000-09-26T06:17:51.360001Z,-999.0,-999.0
16,-999.0,-999.0,0,0,17,11.0,-999.0,-999.0,-15.22,-172.57,6.6,0,0,0,1,2009-08-30T14:51:30.240001Z,-999.0,-999.0
17,-999.0,-999.0,0,0,18,44.3,-999.0,-999.0,-32.91,-177.88,6.4,0,1,0,0,2014-02-02T09:26:38.400001Z,-999.0,-999.0
18,-999.0,-999.0,0,0,19,10.0,0.10000000000000053,-999.0,-56.21,146.72,6.2,1,1,0,0,1999-12-24T19:26:06.720004Z,inf,-999.0
19,-999.0,-999.0,0,0,20,25.7,0.7000000000000002,-999.0,-44.78,167.58,6.8,1,1,0,0,2007-10-15T12:29:39.840004Z,inf,-999.0
20,-999.0,-999.0,0,0,21,32.0,-999.0,-999.0,24.27,125.15,6.3,0,0,0,1,2010-10-04T13:28:42.240002Z,-999.0,-999.0
21,-999.0,-999.0,0,0,22,33.0,-999.0,0.20000000000000018,18.82,-104.45,6.3,0,0,1,1,2001-05-20T04:21:47.520002Z,-999.0,inf
22,-999.0,-999.0,0,0,23,33.0,-999.0,0.3000000000000007,-9.81,159.81,6.4,0,0,1,1,2000-01-08T01:19:46.559996Z,-999.0,inf
23,-999.0,-999.0,0,0,24,54.0,0.5,-999.0,47.89,85.12,6.6,1,1,0,0,1990-06-14T12:47:31.199995Z,inf,-999.0
24,-999.0,-999.0,0,0,25,32.0,0.8000000000000007,-999.0,55.18,-160.46,6.9,1,1,0,0,1993-05-13T11:59:51.360005Z,inf,-999.0
25,-999.0,-999.0,0,0,26,31.0,0.0,-999.0,22.34,98.85,6.1,1,1,0,0,1992-04-23T14:18:40.319998Z,inf,-999.0
26,-999.0,-999.0,0,0,27,33.0,-999.0,-999.0,2.94,96.16,6.3,0,1,0,0,1993-09-01T14:03:15.839999Z,-999.0,-999.0
27,-999.0,-999.0,0,0,28,10.0,-999.0,-999.0,5.83,-82.62,6.3,0,1,0,0,1999-03-31T05:54:40.320000Z,-999.0,-999.0
28,-999.0,-999.0,0,0,29,39.0,-999.0,-999.0,-9.67,122.57,6.2,0,0,0,1,1993-09-04T21:39:35.999997Z,-999.0,-999.0
29,-999.0,-999.0,0,0,30,33.0,1.9000000000000004,-999.0,-3.98,152.17,8.0,1,1,0,0,2000-11-16T04:54:54.719996Z,inf,-999.0
