,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,0.967175446519342,-999,1,1,1,24.4,1.1999999999999993,1.7999999999999998,1.0,38.32,142.37,9.1,207,207,24,24,2011-03-11T05:46:19.199996Z,3.4741161563213763,0.417525638683791
1,1.2895861565469153,-999,1,1,2,10.0,1.7999999999999998,3.7,0.0,3.3,95.78,9.0,257,257,2,2,2004-12-26T00:58:53.760002Z,4.3905280763181675,0.06537956104163592
2,0.9627982554708561,-999,1,1,3,44.8,1.4000000000000004,3.500000000000001,3.0,-35.85,-72.71,8.8,93,93,3,3,2010-02-27T06:34:16.319997Z,1.6883152247910886,0.09448283246943233
3,0.9765201368238771,-999,1,1,4,30.0,1.6999999999999993,1.8999999999999995,0.0,2.09,97.11,8.6,76,76,11,11,2005-03-28T16:09:33.120002Z,1.3053709142744794,0.3828950345479967
4,-999.0,-999,2,2,5,20.0,0.40000000000000036,3.1999999999999993,0.0,2.33,93.06,8.6,30,30,3,3,2012-04-11T08:38:32.640004Z,0.5453296153970374,0.23775558725598464
5,0.6731974955778192,-999,1,1,6,34.0,0.5999999999999996,3.2,1.0,-4.44,101.37,8.5,41,41,4,4,2007-09-12T11:10:27.840000Z,0.6949670822906019,0.07742529910362926
6,-999.0,-999,1,1,7,33.0,0.8000000000000007,-999.0,2.0,-16.26,-73.64,8.4,21,21,0,0,2001-06-23T20:33:12.960004Z,0.4388485450088238,-999.0
7,0.6473020007570126,-999,1,1,8,22.4,1.200000000000001,2.6000000000000005,0.0,-31.57,-71.67,8.3,43,43,4,4,2015-09-16T22:54:28.799999Z,0.77977375680516,0.11575011864373996
8,-999.0,-999,1,1,9,33.0,1.0000000000000009,1.700000000000001,0.0,43.71,147.33,8.3,29,29,11,11,1994-10-04T13:22:56.639995Z,0.50087393866468,0.6778741865524468
9,-999.0,-999,2,2,10,38.9,0.20000000000000107,1.700000000000001,0.0,46.57,153.29,8.3,30,30,14,14,2006-11-15T11:14:21.119996Z,0.5042059176964954,0.2925748678187063
10,0.7431777230429971,-999,1,1,11,27.0,1.0000000000000009,2.8000000000000007,2.0,41.81,143.91,8.3,32,32,1,1,2003-09-25T19:50:09.599997Z,0.536624631070717,inf
11,-999.0,-999,1,1,12,33.0,1.6999999999999993,3.0999999999999996,0.0,-0.95,137.03,8.2,14,14,1,1,1996-02-17T05:59:25.439998Z,0.24163886381402272,inf
12,-999.0,-999,0,0,13,25.1,-999.0,-999.0,0.0,0.8,92.46,8.2,0,0,0,0,2012-04-11T10:43:14.879997Z,-999.0,-999.0
13,-999.0,-999,1,1,14,10.0,1.6999999999999993,-999.0,0.0,-62.88,149.53,8.1,5,5,0,0,1998-03-25T03:12:23.039995Z,0.20913851662304134,-999.0
14,0.847403867128296,-999,2,2,15,25.0,0.39999999999999947,1.3999999999999995,0.0,-19.61,-70.77,8.1,32,32,19,19,2014-04-01T23:46:45.120003Z,0.5456197814459872,2.338720596738573
15,1.2936431375841522,-999,1,1,16,18.0,1.8999999999999995,1.5,0.0,-15.49,-172.1,8.1,35,35,5,5,2009-09-29T17:48:11.519997Z,0.6242197253425951,0.4515773597175008
16,-999.0,-999,4,4,17,10.0,2.6999999999999993,-999.0,0.0,46.24,154.52,8.1,7,7,0,0,2007-01-13T04:23:22.560001Z,0.15446844099427254,-999.0
17,0.8630799428944141,-999,1,1,18,10.0,1.1999999999999993,2.3999999999999995,0.0,-8.46,157.04,8.1,47,47,7,7,2007-04-01T20:39:59.039998Z,0.9010131605408627,0.17078419221523686
18,-999.0,-999,0,0,19,10.0,2.0999999999999996,-999.0,3.0,-49.31,161.35,8.1,2,2,0,0,2004-12-23T14:59:08.159997Z,0.19012852688452384,-999.0
19,-999.0,-999,1,1,20,39.0,1.5999999999999996,2.2,0.0,-13.39,-76.6,8.0,14,14,3,3,2007-08-15T23:40:59.519996Z,0.27649733180111224,4.164353137197713
20,-999.0,-999,1,1,21,49.0,2.0999999999999996,2.2,3.0,19.15,-104.22,8.0,3,3,1,1,1995-10-09T15:36:00.000002Z,0.07562275337390097,inf
21,0.6390164038903425,-999,3,3,22,33.0,0.20000000000000018,1.0999999999999996,3.0,-3.98,152.17,8.0,54,54,2,2,2000-11-16T04:54:54.719996Z,1.2521593952543888,0.1802207704432643
22,-999.0,-999,1,1,23,55.0,2.0999999999999996,2.0,0.0,-20.19,-174.12,8.0,24,24,9,9,2006-05-03T15:26:38.400001Z,0.4758685095989827,0.16043495699442525
23,-999.0,-999,1,1,24,47.0,1.7000000000000002,2.7,2.0,-23.36,-70.31,8.0,12,12,1,1,1995-07-30T05:11:19.680002Z,1.103113537962708,inf
24,-999.0,-999,1,1,25,15.0,0.7000000000000002,-999.0,1.0,28.15,84.71,7.9,9,9,0,0,2015-04-25T06:11:22.559997Z,0.4245162872752502,-999.0
25,-999.0,-999,0,0,26,30.2,-999.0,-999.0,2.0,36.13,140.23,7.9,0,0,0,0,2011-03-11T06:15:41.759999Z,-999.0,-999.0
26,-999.0,-999,1,1,27,33.0,1.9000000000000004,2.0,0.0,0.72,119.98,7.9,6,6,1,1,1996-01-01T08:05:08.160000Z,0.16489994695725463,inf
27,-999.0,-999,1,1,28,19.0,1.8000000000000007,-999.0,3.0,31.0,103.32,7.9,13,13,0,0,2008-05-12T06:28:04.800005Z,0.8728581404052861,-999.0
28,-999.0,-999,0,0,29,10.0,2.2,-999.0,2.0,-13.8,97.45,7.9,1,1,0,0,2000-06-18T14:44:09.600005Z,inf,-999.0
29,-999.0,-999,1,1,30,33.0,0.7000000000000002,1.4000000000000004,0.0,51.56,-177.63,7.9,11,11,4,4,1996-06-10T04:03:38.880000Z,0.3228542665185708,0.08203916549762078
30,0.8177555129984884,-999,1,1,31,24.0,0.8000000000000007,1.5,3.0,-10.8,165.11,7.9,74,74,21,21,2013-02-06T01:12:25.920000Z,1.5806156711658785,2.4691648344065134
31,-999.0,-999,1,1,32,4.9,2.7,1.3000000000000007,3.0,63.52,-147.44,7.9,3,3,1,1,2002-11-03T22:12:43.200001Z,0.132910971800947,inf
32,-999.0,-999,1,1,33,22.1,1.6000000000000005,1.3000000000000007,0.0,44.62,149.32,7.9,17,17,6,6,1995-12-03T18:01:09.120003Z,0.2936781460270259,0.6815625958515322
33,-999.0,-999,1,1,34,33.0,1.2000000000000002,-999.0,2.0,-4.72,102.09,7.9,22,22,0,0,2000-06-04T16:28:24.960001Z,0.3882384913751656,-999.0
34,-999.0,-999,0,0,35,35.0,-999.0,-999.0,3.0,-2.62,100.84,7.9,0,0,0,0,2007-09-12T23:49:03.359999Z,-999.0,-999.0
35,-999.0,-999,0,0,36,30.0,-999.0,-999.0,1.0,-5.23,153.1,7.8,0,0,0,0,2000-11-16T07:42:14.400000Z,-999.0,-999.0
