,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,1309,14,340,33.0,-0.95,137.03,8.2,14,14,13,166,19,0,0,0,0,0,1996-02-17T05:59:25.439998Z,1996-02-17T05:59:25.439998Z,1996-02-17T05:59:24.000002,1,1,1,1,1
1,1368,68,278,33.0,-23.01,169.89,7.7,12,12,6,51,10,2,2,0,18,0,1995-05-16T20:12:46.079996Z,1995-05-16T20:12:46.079996Z,1995-05-16T20:12:45.000001,1,1,1,1,1
2,1302,82,96,10.0,11.76,-87.42,7.6,11,11,11,33,20,2,2,2,2,3,1992-09-02T00:15:59.040000Z,1992-09-02T00:15:59.040000Z,1992-09-02T00:15:57.999998,1,1,1,1,1
3,1170,20,510,10.0,-62.88,149.53,8.1,5,5,5,20,7,0,0,0,0,0,1998-03-25T03:12:23.039995Z,1998-03-25T03:12:23.039995Z,1998-03-25T03:12:21.999997,1,1,1,1,1
4,1373,109,1288,22.0,1.07,126.28,7.5,26,25,20,66,32,0,1,0,0,0,2007-01-21T11:27:44.639999Z,2007-01-21T11:27:44.639999Z,2007-01-21T11:27:42.999997,1,1,1,1,1
5,130,35,689,10.0,-13.8,97.45,7.9,1,1,1,2,2,0,0,0,0,0,2000-06-18T14:44:09.600005Z,2000-06-18T14:44:09.600005Z,2000-06-18T14:44:07.999997,-1,-1,-1,-1,-1
6,988,106,2300,10.0,-55.28,-31.88,7.5,11,11,10,20,13,0,0,0,0,0,2016-08-19T07:32:26.880002Z,2016-08-19T07:32:26.880002Z,2016-08-19T07:32:24.999998,1,1,1,1,1
7,1001,44,2306,11.0,54.47,168.82,7.8,2,2,2,16,3,3,3,2,5,4,2017-07-17T23:34:13.440002Z,2017-07-17T23:34:13.440002Z,2017-07-17T23:34:12.000000,1,1,1,1,1
8,985,52,2271,21.0,0.35,-79.93,7.8,13,13,13,27,22,0,0,0,0,0,2016-04-16T23:58:33.600006Z,2016-04-16T23:58:33.600006Z,2016-04-16T23:58:32.000003,1,1,1,1,1
9,1017,86,1768,17.0,-29.54,-176.34,7.6,29,29,26,111,40,0,2,0,0,0,2011-07-06T19:03:21.600010Z,2011-07-06T19:03:21.600010Z,2011-07-06T19:03:20.000002,1,1,1,2,2
10,745,118,2420,19.0,34.91,45.96,7.4,5,5,5,11,10,0,0,0,0,0,2017-11-12T18:18:17.279997Z,2017-11-12T18:18:17.279997Z,2017-11-12T18:18:16.000001,1,1,1,1,1
11,1374,56,166,61.0,12.96,144.78,7.7,6,6,6,26,10,0,0,0,0,0,1993-08-08T08:34:22.079997Z,1993-08-08T08:34:22.079997Z,1993-08-08T08:34:21.000000,1,1,1,1,1
12,1015,121,1810,24.0,13.96,-91.85,7.4,9,9,10,38,25,0,2,0,2,3,2012-11-07T16:35:45.599996Z,2012-11-07T16:35:45.599996Z,2012-11-07T16:35:43.999999,1,1,1,1,1
13,946,94,2439,25.0,-6.07,142.75,7.5,15,15,15,16,15,0,0,0,0,0,2018-02-25T17:44:44.159997Z,2018-02-25T17:44:44.159997Z,2018-02-25T17:44:42.999997,1,1,1,1,1
