,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999,-1,-1,2,4.9,-999.0,1.3000000000000007,3.0,63.52,-147.44,7.9,0,0,0,0,1,1,1,1,2002-11-03T22:12:43.200001Z,-999.0,inf
1,-999.0,-999,-1,-1,19,10.0,-999.0,-999.0,3.0,-4.05,152.6,7.6,0,0,0,0,0,1,1,0,2019-05-14T12:58:27.839996Z,-999.0,-999.0
2,-999.0,-999,-1,-1,35,33.0,1.9000000000000004,-999.0,2.0,-3.98,152.17,8.0,1,1,1,1,0,0,0,0,2000-11-16T04:54:54.719996Z,inf,-999.0
3,-999.0,-999,-1,-1,72,49.0,2.0999999999999996,-999.0,0.0,19.15,-104.22,8.0,1,1,0,0,0,0,0,0,1995-10-09T15:36:00.000002Z,inf,-999.0
4,-999.0,-999,-1,-1,74,31.0,-999.0,-999.0,2.0,2.38,97.05,7.8,0,2,2,0,0,0,0,0,2010-04-06T22:15:01.439998Z,-999.0,-999.0
5,-999.0,-999,-1,-1,118,15.0,1.0,-999.0,2.0,26.97,65.52,7.8,2,2,2,2,0,0,0,0,2013-09-24T11:29:45.600004Z,0.5566379070424795,-999.0
6,-999.0,-999,-1,-1,137,10.0,1.4000000000000004,-999.0,3.0,33.83,59.81,7.2,1,1,1,1,0,0,0,0,1997-05-10T07:57:30.240003Z,inf,-999.0
7,-999.0,-999,-1,-1,173,30.0,-999.0,-999.0,0.0,1.27,122.09,7.3,0,1,1,0,0,0,0,0,2008-11-16T17:02:32.640002Z,-999.0,-999.0
8,-999.0,-999,-1,-1,178,24.0,2.0999999999999996,-999.0,0.0,-4.95,94.33,7.8,1,1,0,0,0,0,0,0,2016-03-02T12:49:49.440001Z,inf,-999.0
9,-999.0,-999,1,1,193,33.0,1.6000000000000005,-999.0,3.0,-14.99,-75.68,7.7,3,3,3,3,0,0,0,0,1996-11-12T16:59:39.840004Z,1.3301409950001701,-999.0
10,-999.0,-999,-1,-1,201,10.0,2.2,-999.0,0.0,-13.8,97.45,7.9,1,1,0,0,0,0,0,0,2000-06-18T14:44:09.600005Z,inf,-999.0
11,-999.0,-999,-1,-1,263,17.0,1.7999999999999998,-999.0,3.0,40.75,29.86,7.6,1,2,2,1,0,0,0,0,1999-08-17T00:01:35.039999Z,inf,-999.0
12,-999.0,-999,1,1,281,26.0,1.2999999999999998,-999.0,1.0,51.48,-176.85,7.2,4,4,4,4,0,0,0,0,1996-06-10T15:24:54.719996Z,3.4435261708220892,-999.0
13,-999.0,-999,-1,-1,332,10.0,1.5999999999999996,-999.0,2.0,55.39,-134.65,7.5,2,2,2,2,0,0,0,0,2013-01-05T08:58:16.319995Z,0.11911710402546116,-999.0
14,-999.0,-999,-1,-1,344,41.7,-999.0,-999.0,2.0,-37.77,-75.05,7.4,0,1,1,0,0,0,0,0,2010-02-27T08:01:23.519999Z,-999.0,-999.0
15,-999.0,-999,-1,-1,461,28.0,1.7000000000000002,-999.0,0.0,-45.1,167.14,7.2,1,1,1,1,0,0,0,0,2003-08-21T12:12:48.960001Z,inf,-999.0
16,-999.0,-999,-1,-1,475,33.0,-999.0,-999.0,3.0,-12.58,166.68,7.7,0,1,0,0,0,0,0,0,1997-04-21T12:02:26.880002Z,-999.0,-999.0
17,-999.0,-999,1,-1,476,24.0,0.7999999999999998,-999.0,3.0,17.4,-100.96,7.3,2,2,2,2,0,1,1,0,2014-04-18T14:27:27.359998Z,1.2436264146119391,-999.0
18,-999.0,-999,1,1,490,10.0,1.5999999999999996,1.0999999999999996,2.0,-1.76,134.3,7.5,2,3,3,2,3,3,3,3,2002-10-10T10:50:18.240003Z,17.31601730512649,9.655616349216123
19,-999.0,-999,-1,-1,496,19.0,1.9000000000000004,-999.0,1.0,34.91,45.96,7.4,1,1,1,1,0,0,0,0,2017-11-12T18:18:17.279997Z,inf,-999.0
20,-999.0,-999,-1,-1,571,22.0,1.5999999999999996,-999.0,3.0,60.95,167.09,7.6,2,2,1,1,0,0,0,0,2006-04-20T23:25:00.479996Z,2.384642899828508,-999.0
21,-999.0,-999,1,-1,574,26.0,1.7999999999999998,-999.0,0.0,-1.11,123.57,7.5,2,3,3,2,0,0,0,0,2000-05-04T04:21:12.960000Z,0.21681391945610248,-999.0
22,-999.0,-999,1,-1,644,24.0,1.5999999999999996,-999.0,0.0,18.77,-104.1,7.5,2,2,1,1,0,1,1,0,2003-01-22T02:06:34.560004Z,84.74576244900189,-999.0
23,-999.0,-999,1,1,657,33.0,0.6000000000000005,-999.0,3.0,6.9,126.58,7.4,4,4,4,4,0,1,1,0,2001-01-01T06:57:01.440002Z,0.06893188323627657,-999.0
24,-999.0,-999,1,1,737,39.0,1.2000000000000002,-999.0,0.0,-10.47,112.98,7.8,5,5,1,1,0,0,0,0,1994-06-02T18:17:34.080000Z,1.968736464964093,-999.0
25,-999.0,-999,-1,-1,772,61.0,1.7999999999999998,-999.0,0.0,12.96,144.78,7.7,2,2,1,1,0,0,0,0,1993-08-08T08:34:22.079997Z,0.3436544211177132,-999.0
26,-999.0,-999,2,1,782,52.0,1.5,-999.0,2.0,52.07,-171.84,7.3,3,7,7,3,0,0,0,0,2011-06-24T03:09:38.880002Z,9.67741935672849,-999.0
27,-999.0,-999,-1,-1,857,4.7,1.5999999999999996,-999.0,3.0,14.1,92.89,7.5,1,2,1,1,0,0,0,0,2009-08-10T19:55:37.920003Z,inf,-999.0
