,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999,-1,-1,35,15.0,-999.0,-999.0,3.0,4.7,-77.51,7.2,0,2,2,0,0,0,0,0,2004-11-15T09:06:54.719999Z,-999.0,-999.0
1,-999.0,-999,1,-1,129,33.0,1.0,-999.0,3.0,15.77,119.74,7.2,1,3,3,1,0,0,0,0,1999-12-11T18:03:35.999995Z,inf,-999.0
2,-999.0,-999,-1,-1,130,10.0,2.2,-999.0,0.0,-13.8,97.45,7.9,1,2,1,0,0,0,0,0,2000-06-18T14:44:09.600005Z,inf,-999.0
3,-999.0,-999,-1,-1,135,10.0,1.4000000000000004,-999.0,3.0,33.83,59.81,7.2,1,2,2,1,0,0,0,0,1997-05-10T07:57:30.240003Z,inf,-999.0
4,-999.0,-999,1,-1,275,10.0,-999.0,-999.0,3.0,-60.93,-21.58,7.4,0,7,7,0,0,0,0,0,2006-01-02T06:10:47.999996Z,-999.0,-999.0
5,-999.0,-999,1,-1,427,33.0,-999.0,-999.0,2.0,38.23,72.75,7.2,0,3,3,0,0,0,0,0,2015-12-07T07:50:09.599997Z,-999.0,-999.0
6,-999.0,-999,-1,-1,452,10.0,1.8999999999999995,-999.0,3.0,16.72,-86.23,7.3,1,2,2,1,0,0,0,0,2009-05-28T08:24:43.199995Z,inf,-999.0
7,-999.0,-999,-1,-1,488,22.0,-999.0,-999.0,3.0,42.08,73.56,7.2,0,1,1,0,0,0,0,0,1992-08-19T02:04:33.599998Z,-999.0,-999.0
8,-999.0,-999,1,-1,493,10.0,0.6000000000000005,-999.0,3.0,41.3,-125.97,7.2,1,4,4,1,0,0,0,0,2005-06-15T02:50:55.679999Z,inf,-999.0
9,-999.0,-999,2,2,509,10.0,0.8000000000000007,0.20000000000000018,2.0,33.18,137.07,7.4,6,7,7,6,1,1,1,1,2004-09-05T14:57:15.839997Z,1.4175683976790556,inf
10,-999.0,-999,-1,-1,586,33.0,2.2,-999.0,3.0,35.07,87.32,7.5,1,2,1,0,0,0,0,0,1997-11-08T10:02:55.680003Z,inf,-999.0
