,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,0.9638008004577869,-999,1,1,1,24.4,1.1999999999999993,1.7999999999999998,0.0,38.32,142.37,9.1,165,165,4,4,16,16,1,1,2011-03-11T05:46:19.199996Z,2.76922302315472,0.278350425789194
1,1.3714562586418488,-999,1,1,2,10.0,1.7999999999999998,3.7,3.0,3.3,95.78,9.0,201,201,3,3,2,2,0,0,2004-12-26T00:58:53.760002Z,3.433837133618489,0.06537956104163592
2,0.9278695162324679,-999,1,1,3,44.8,1.4000000000000004,3.500000000000001,1.0,-35.85,-72.71,8.8,72,72,5,5,2,2,0,0,2010-02-27T06:34:16.319997Z,1.3070827546769719,0.1902008520993929
3,0.9830042076474339,-999,1,1,4,30.0,1.6999999999999993,1.8999999999999995,2.0,2.09,97.11,8.6,61,61,11,11,7,7,1,1,2005-03-28T16:09:33.120002Z,1.0477319180360953,0.24366047653054337
4,-999.0,-999,2,2,5,20.0,0.40000000000000036,3.1999999999999993,0.0,2.33,93.06,8.6,22,22,2,2,2,2,0,0,2012-04-11T08:38:32.640004Z,0.39990838462449413,0.1585037248373231
5,0.7544536656671182,-999,1,1,6,34.0,0.5999999999999996,3.2,3.0,-4.44,101.37,8.5,39,39,9,9,2,2,0,0,2007-09-12T11:10:27.840000Z,0.6610662490081335,0.043723683807846636
6,-999.0,-999,1,1,7,33.0,0.8000000000000007,-999.0,0.0,-16.26,-73.64,8.4,19,19,4,4,0,0,0,0,2001-06-23T20:33:12.960004Z,0.4032095480028585,-999.0
7,-999.0,-999,1,1,8,27.0,1.0000000000000009,2.8000000000000007,1.0,41.81,143.91,8.3,28,28,6,6,1,1,0,0,2003-09-25T19:50:09.599997Z,0.46954655218687735,inf
8,0.5906404953884232,-999,1,1,9,22.4,1.200000000000001,2.6000000000000005,3.0,-31.57,-71.67,8.3,34,34,17,17,3,3,0,0,2015-09-16T22:54:28.799999Z,0.6165652960784986,0.13341694128268802
9,-999.0,-999,2,2,10,38.9,0.20000000000000107,1.700000000000001,3.0,46.57,153.29,8.3,22,22,8,8,12,12,5,5,2006-11-15T11:14:21.119996Z,0.36975100631076324,0.2507784581303197
10,-999.0,-999,1,1,11,33.0,1.0000000000000009,1.700000000000001,1.0,43.71,147.33,8.3,21,21,3,3,11,11,5,5,1994-10-04T13:22:56.639995Z,0.44110974810453296,0.6778741865524468
11,-999.0,-999,0,0,12,25.1,-999.0,-999.0,0.0,0.8,92.46,8.2,0,0,0,0,0,0,0,0,2012-04-11T10:43:14.879997Z,-999.0,-999.0
12,-999.0,-999,1,1,13,47.4,2.1999999999999993,2.799999999999999,0.0,15.02,-93.9,8.2,20,20,6,6,3,3,0,0,2017-09-08T04:49:17.760005Z,0.35106935726202676,0.2922951011322855
13,-999.0,-999,1,1,14,33.0,1.6999999999999993,-999.0,1.0,-0.95,137.03,8.2,14,14,6,6,0,0,0,0,1996-02-17T05:59:25.439998Z,0.24163886381402272,-999.0
14,-999.0,-999,1,1,15,18.0,1.8999999999999995,1.5,2.0,-15.49,-172.1,8.1,25,25,7,7,3,3,1,1,2009-09-29T17:48:11.519997Z,0.44587123238756793,0.6966860964604785
15,-999.0,-999,2,2,16,25.0,0.39999999999999947,1.3999999999999995,1.0,-19.61,-70.77,8.1,24,24,10,10,14,14,9,9,2014-04-01T23:46:45.120003Z,0.40921483608449044,1.7232678081231594
16,-999.0,-999,4,4,17,10.0,2.6999999999999993,-999.0,3.0,46.24,154.52,8.1,6,6,0,0,0,0,0,0,2007-01-13T04:23:22.560001Z,0.1324015208522336,-999.0
17,0.9000921904730609,-999,1,1,18,10.0,1.1999999999999993,2.3999999999999995,2.0,-8.46,157.04,8.1,40,40,21,21,6,6,3,3,2007-04-01T20:39:59.039998Z,0.7668197110986066,0.14638645047020302
18,-999.0,-999,0,0,19,10.0,2.0999999999999996,-999.0,0.0,-49.31,161.35,8.1,2,2,1,1,0,0,0,0,2004-12-23T14:59:08.159997Z,0.19012852688452384,-999.0
19,-999.0,-999,1,1,20,10.0,1.6999999999999993,-999.0,2.0,-62.88,149.53,8.1,5,5,2,2,0,0,0,0,1998-03-25T03:12:23.039995Z,0.20913851662304134,-999.0
