,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,4.9,3.0,63.52,-147.44,7.9,0,0,0,0,1,1,1,1,2002-11-03T22:12:43.200001Z
1,-1,-1,10.0,3.0,-4.05,152.6,7.6,0,0,0,0,0,1,1,0,2019-05-14T12:58:27.839996Z
2,-1,-1,33.0,2.0,-3.98,152.17,8.0,1,1,1,1,0,0,0,0,2000-11-16T04:54:54.719996Z
3,-1,-1,49.0,0.0,19.15,-104.22,8.0,1,1,0,0,0,0,0,0,1995-10-09T15:36:00.000002Z
4,-1,-1,31.0,2.0,2.38,97.05,7.8,0,2,2,0,0,0,0,0,2010-04-06T22:15:01.439998Z
5,-1,-1,15.0,2.0,26.97,65.52,7.8,2,2,2,2,0,0,0,0,2013-09-24T11:29:45.600004Z
6,-1,-1,10.0,3.0,33.83,59.81,7.2,1,1,1,1,0,0,0,0,1997-05-10T07:57:30.240003Z
7,-1,-1,30.0,0.0,1.27,122.09,7.3,0,1,1,0,0,0,0,0,2008-11-16T17:02:32.640002Z
8,-1,-1,24.0,0.0,-4.95,94.33,7.8,1,1,0,0,0,0,0,0,2016-03-02T12:49:49.440001Z
9,1,1,33.0,3.0,-14.99,-75.68,7.7,3,3,3,3,0,0,0,0,1996-11-12T16:59:39.840004Z
10,-1,-1,10.0,0.0,-13.8,97.45,7.9,1,1,0,0,0,0,0,0,2000-06-18T14:44:09.600005Z
11,-1,-1,17.0,3.0,40.75,29.86,7.6,1,2,2,1,0,0,0,0,1999-08-17T00:01:35.039999Z
12,1,1,26.0,1.0,51.48,-176.85,7.2,4,4,4,4,0,0,0,0,1996-06-10T15:24:54.719996Z
13,-1,-1,10.0,2.0,55.39,-134.65,7.5,2,2,2,2,0,0,0,0,2013-01-05T08:58:16.319995Z
14,-1,-1,41.7,2.0,-37.77,-75.05,7.4,0,1,1,0,0,0,0,0,2010-02-27T08:01:23.519999Z
15,-1,-1,28.0,0.0,-45.1,167.14,7.2,1,1,1,1,0,0,0,0,2003-08-21T12:12:48.960001Z
16,-1,-1,33.0,3.0,-12.58,166.68,7.7,0,1,0,0,0,0,0,0,1997-04-21T12:02:26.880002Z
17,1,-1,24.0,3.0,17.4,-100.96,7.3,2,2,2,2,0,1,1,0,2014-04-18T14:27:27.359998Z
18,1,1,10.0,2.0,-1.76,134.3,7.5,2,3,3,2,3,3,3,3,2002-10-10T10:50:18.240003Z
19,-1,-1,19.0,1.0,34.91,45.96,7.4,1,1,1,1,0,0,0,0,2017-11-12T18:18:17.279997Z
20,-1,-1,22.0,3.0,60.95,167.09,7.6,2,2,1,1,0,0,0,0,2006-04-20T23:25:00.479996Z
21,1,-1,26.0,0.0,-1.11,123.57,7.5,2,3,3,2,0,0,0,0,2000-05-04T04:21:12.960000Z
22,1,-1,24.0,0.0,18.77,-104.1,7.5,2,2,1,1,0,1,1,0,2003-01-22T02:06:34.560004Z
23,1,1,33.0,3.0,6.9,126.58,7.4,4,4,4,4,0,1,1,0,2001-01-01T06:57:01.440002Z
24,1,1,39.0,0.0,-10.47,112.98,7.8,5,5,1,1,0,0,0,0,1994-06-02T18:17:34.080000Z
25,-1,-1,61.0,0.0,12.96,144.78,7.7,2,2,1,1,0,0,0,0,1993-08-08T08:34:22.079997Z
26,2,1,52.0,2.0,52.07,-171.84,7.3,3,7,7,3,0,0,0,0,2011-06-24T03:09:38.880002Z
27,-1,-1,4.7,3.0,14.1,92.89,7.5,1,2,1,1,0,0,0,0,2009-08-10T19:55:37.920003Z
28,1,-1,10.0,0.0,-49.27,164.12,7.4,2,3,3,2,0,0,0,0,2007-09-30T05:23:34.080002Z
29,1,1,10.0,3.0,11.76,-87.42,7.6,4,4,3,3,2,3,1,1,1992-09-02T00:15:59.040000Z
30,-1,-1,38.0,0.0,3.75,96.02,7.3,1,2,2,1,0,0,0,0,2010-05-09T05:59:42.719999Z
31,2,2,10.0,2.0,33.18,137.07,7.4,6,6,6,6,1,1,1,1,2004-09-05T14:57:15.839997Z
32,1,1,33.0,3.0,51.15,178.65,7.8,4,5,0,0,0,3,2,0,2003-11-17T06:43:03.359997Z
33,1,1,10.0,0.0,-60.27,-46.4,7.8,0,0,0,0,3,3,0,0,2013-11-17T09:04:53.760004Z
34,1,1,35.0,2.0,10.1,-85.31,7.6,3,3,2,2,0,0,0,0,2012-09-05T14:42:08.639999Z
35,-1,-1,33.0,3.0,-9.62,-79.57,7.5,0,1,0,0,0,0,0,0,1996-02-21T12:51:07.200000Z
36,1,1,21.0,3.0,0.35,-79.93,7.8,6,12,6,4,0,0,0,0,2016-04-16T23:58:33.600006Z
37,1,-1,35.0,2.0,-8.51,121.89,7.7,2,3,0,0,0,0,0,0,1992-12-12T05:29:28.320003Z
38,1,1,33.0,3.0,1.17,122.76,7.5,4,5,2,1,1,1,1,1,1991-06-20T05:18:48.960003Z
39,1,1,33.0,3.0,54.84,162.04,7.8,3,3,1,1,0,0,0,0,1997-12-05T11:26:52.800006Z
40,-1,-1,40.0,1.0,12.53,-88.12,7.3,0,1,1,0,0,0,0,0,2014-10-14T03:51:33.119996Z
41,-1,-1,21.0,2.0,16.84,-98.6,7.3,0,0,0,0,0,2,2,0,1995-09-14T14:04:33.599998Z
42,3,-1,33.0,1.0,7.17,126.86,7.2,1,5,5,1,1,1,1,1,1992-05-17T10:15:27.360004Z
43,1,1,47.0,0.0,-23.36,-70.31,8.0,8,13,3,3,0,0,0,0,1995-07-30T05:11:19.680002Z
44,1,-1,10.0,1.0,28.82,34.86,7.2,0,1,1,0,0,2,2,0,1995-11-22T04:15:10.080003Z
45,-1,-1,17.0,2.0,42.84,139.25,7.7,1,1,0,0,0,0,0,0,1993-07-12T13:17:11.039999Z
46,1,1,33.0,3.0,-0.95,137.03,8.2,7,8,2,2,0,0,0,0,1996-02-17T05:59:25.439998Z
47,-1,-1,33.0,1.0,-2.07,124.89,7.7,1,1,0,0,0,1,0,0,1998-11-29T14:10:27.840000Z
48,1,1,31.0,2.0,-15.19,-173.59,7.3,5,15,15,5,0,16,16,0,1995-04-07T22:06:57.600005Z
49,-1,-1,33.0,2.0,-9.05,158.49,7.2,2,2,2,2,0,0,0,0,1991-10-14T15:58:10.560005Z
50,-1,-1,25.1,3.0,0.8,92.46,8.2,1,1,0,0,0,0,0,0,2012-04-11T10:43:14.879997Z
51,1,-1,20.0,1.0,2.33,93.06,8.6,2,2,0,0,0,1,1,0,2012-04-11T08:38:32.640004Z
52,5,5,10.0,3.0,-22.01,169.77,7.3,17,23,23,17,7,8,8,7,2003-12-27T16:01:03.360003Z
53,-1,-1,10.0,1.0,-49.31,161.35,8.1,1,1,0,0,0,0,0,0,2004-12-23T14:59:08.159997Z
54,-1,-1,39.2,3.0,6.91,92.96,7.2,1,1,1,1,0,0,0,0,2004-12-26T04:21:30.240001Z
55,1,1,19.0,2.0,31.0,103.32,7.9,5,5,1,1,0,0,0,0,2008-05-12T06:28:04.800005Z
56,1,1,39.0,3.0,-13.39,-76.6,8.0,5,7,1,0,0,2,2,0,2007-08-15T23:40:59.519996Z
57,1,1,11.0,3.0,54.47,168.82,7.8,1,1,0,0,2,4,2,1,2017-07-17T23:34:13.440002Z
58,1,-1,36.0,3.0,38.28,142.04,7.2,0,3,3,0,0,1,1,0,2005-08-16T02:46:27.840002Z
59,-1,-1,36.0,3.0,46.86,155.15,7.4,0,0,0,0,0,2,1,0,2009-01-15T17:49:37.920001Z
60,1,1,60.0,1.0,13.05,-88.66,7.7,10,13,4,2,0,0,0,0,2001-01-13T17:33:30.240005Z
61,1,1,16.0,3.0,23.42,70.23,7.6,3,3,1,1,0,0,0,0,2001-01-26T03:16:42.239997Z
62,-1,-1,10.0,0.0,35.95,90.54,7.8,0,0,0,0,0,1,0,0,2001-11-14T09:26:12.480004Z
63,-1,-1,33.0,2.0,-10.49,160.77,7.3,0,1,1,0,0,0,0,0,2003-01-20T08:43:09.119997Z
64,-1,-1,31.0,1.0,6.03,124.25,7.5,2,2,1,1,0,0,0,0,2002-03-05T21:16:07.679996Z
65,1,1,15.0,3.0,40.37,-124.32,7.2,3,3,3,3,1,2,2,1,1992-04-25T18:06:02.879997Z
66,-1,-1,21.0,2.0,4.56,-77.49,7.2,1,1,1,1,0,0,0,0,1991-11-19T22:28:50.879997Z
67,1,1,14.0,0.0,52.79,-132.1,7.8,10,10,3,3,0,0,0,0,2012-10-28T03:04:10.559997Z
68,2,2,36.1,3.0,37.89,144.09,7.2,3,3,3,3,1,13,13,1,2012-12-07T08:18:23.039997Z
69,1,1,24.0,3.0,13.96,-91.85,7.4,8,8,4,4,0,4,3,0,2012-11-07T16:35:45.599996Z
70,1,1,17.0,3.0,-29.54,-176.34,7.6,22,31,9,7,0,1,0,0,2011-07-06T19:03:21.600010Z
71,-1,-1,33.0,3.0,-28.99,-176.24,7.4,2,2,0,0,0,0,0,0,2011-10-21T17:57:15.839997Z
72,1,1,28.0,1.0,12.14,-88.59,7.3,3,3,2,2,0,0,0,0,2012-08-27T04:37:20.639996Z
73,1,1,28.0,0.0,10.81,126.64,7.6,11,13,1,1,0,0,0,0,2012-08-31T12:47:31.199995Z
74,1,-1,16.4,3.0,-22.48,173.12,7.2,2,3,3,2,0,2,2,0,2016-08-12T01:26:32.640000Z
75,1,1,15.2,2.0,-42.74,173.05,7.8,4,4,1,1,0,0,0,0,2016-11-13T11:02:58.559998Z
76,1,1,10.0,3.0,-55.28,-31.88,7.5,8,8,3,3,0,0,0,0,2016-08-19T07:32:26.880002Z
77,-1,-1,15.0,0.0,28.15,84.71,7.9,2,2,1,1,0,0,0,0,2015-04-25T06:11:22.559997Z
78,1,1,15.0,3.0,27.81,86.07,7.2,2,2,2,2,2,2,2,2,2015-05-12T07:05:22.559995Z
