,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,15.0,3.0,4.7,-77.51,7.2,0,2,2,0,0,0,0,0,2004-11-15T09:06:54.719999Z
1,1,-1,33.0,3.0,15.77,119.74,7.2,1,3,3,1,0,0,0,0,1999-12-11T18:03:35.999995Z
2,-1,-1,10.0,0.0,-13.8,97.45,7.9,1,2,1,0,0,0,0,0,2000-06-18T14:44:09.600005Z
3,-1,-1,10.0,3.0,33.83,59.81,7.2,1,2,2,1,0,0,0,0,1997-05-10T07:57:30.240003Z
4,1,-1,10.0,3.0,-60.93,-21.58,7.4,0,7,7,0,0,0,0,0,2006-01-02T06:10:47.999996Z
5,1,-1,33.0,2.0,38.23,72.75,7.2,0,3,3,0,0,0,0,0,2015-12-07T07:50:09.599997Z
6,-1,-1,10.0,3.0,16.72,-86.23,7.3,1,2,2,1,0,0,0,0,2009-05-28T08:24:43.199995Z
7,-1,-1,22.0,3.0,42.08,73.56,7.2,0,1,1,0,0,0,0,0,1992-08-19T02:04:33.599998Z
8,1,-1,10.0,3.0,41.3,-125.97,7.2,1,4,4,1,0,0,0,0,2005-06-15T02:50:55.679999Z
9,2,2,10.0,2.0,33.18,137.07,7.4,6,7,7,6,1,1,1,1,2004-09-05T14:57:15.839997Z
10,-1,-1,33.0,3.0,35.07,87.32,7.5,1,2,1,0,0,0,0,0,1997-11-08T10:02:55.680003Z
11,1,-1,10.0,1.0,28.82,34.86,7.2,2,3,3,2,0,0,0,0,1995-11-22T04:15:10.080003Z
12,2,1,33.0,2.0,-9.05,158.49,7.2,2,11,11,2,1,2,2,1,1991-10-14T15:58:10.560005Z
13,1,1,19.0,1.0,34.91,45.96,7.4,5,11,7,3,0,0,0,0,2017-11-12T18:18:17.279997Z
14,1,1,16.0,3.0,23.42,70.23,7.6,3,3,1,1,0,0,0,0,2001-01-26T03:16:42.239997Z
15,5,1,15.0,3.0,40.37,-124.32,7.2,3,8,8,3,1,2,2,1,1992-04-25T18:06:02.879997Z
16,-1,-1,21.0,2.0,4.56,-77.49,7.2,1,1,1,1,0,0,0,0,1991-11-19T22:28:50.879997Z
17,1,1,10.0,3.0,9.68,-83.08,7.6,4,12,6,3,0,0,0,0,1991-04-22T21:56:52.799996Z
18,1,1,16.4,3.0,-22.48,173.12,7.2,4,5,5,4,0,1,1,0,2016-08-12T01:26:32.640000Z
19,1,1,20.0,0.0,16.5,-98.22,7.5,3,16,7,1,0,0,0,0,2012-03-20T18:02:44.160003Z
20,1,1,20.0,3.0,-0.25,119.84,7.6,3,4,0,0,2,3,2,1,2018-09-28T10:02:47.039998Z
21,1,-1,11.0,1.0,-60.86,-25.07,7.3,0,6,5,0,0,0,0,0,2013-07-15T14:03:41.759995Z
22,1,-1,24.0,3.0,17.4,-100.96,7.3,2,4,3,2,0,0,0,0,2014-04-18T14:27:27.359998Z
23,1,1,14.1,1.0,56.0,-149.17,7.9,3,8,1,0,0,0,0,0,2018-01-23T09:31:40.800000Z
24,1,1,25.2,3.0,-6.07,142.75,7.5,15,16,11,10,0,0,0,0,2018-02-25T17:44:44.159997Z
25,1,1,15.0,2.0,26.97,65.52,7.8,4,13,3,2,0,0,0,0,2013-09-24T11:29:45.600004Z
26,1,1,10.0,0.0,-60.27,-46.4,7.8,0,6,1,0,5,5,2,2,2013-11-17T09:04:53.760004Z
27,1,1,15.0,0.0,28.15,84.71,7.9,8,15,4,4,0,0,0,0,2015-04-25T06:11:22.559997Z
28,2,1,14.0,0.0,52.79,-132.1,7.8,11,27,9,3,0,0,0,0,2012-10-28T03:04:10.559997Z
29,1,1,28.0,0.0,10.81,126.64,7.6,18,58,9,1,0,6,4,0,2012-08-31T12:47:31.199995Z
30,2,1,52.0,2.0,52.07,-171.84,7.3,6,15,11,5,0,0,0,0,2011-06-24T03:09:38.880002Z
31,1,1,15.2,2.0,-42.74,173.05,7.8,13,13,1,1,0,0,0,0,2016-11-13T11:02:58.559998Z
32,5,2,35.0,2.0,10.1,-85.31,7.6,6,40,14,2,3,3,1,1,2012-09-05T14:42:08.639999Z
33,1,1,21.0,3.0,0.35,-79.93,7.8,13,27,12,7,0,0,0,0,2016-04-16T23:58:33.600006Z
34,1,1,10.0,3.0,-55.28,-31.88,7.5,11,20,5,4,0,0,0,0,2016-08-19T07:32:26.880002Z
35,1,1,10.0,1.0,-21.95,169.43,7.5,11,18,10,4,9,60,24,5,2018-12-05T04:18:11.519997Z
36,2,2,25.0,3.0,-19.61,-70.77,8.1,24,60,7,6,14,17,4,4,2014-04-01T23:46:45.120003Z
37,1,1,46.0,0.0,-30.64,-178.1,7.3,21,25,19,16,0,7,6,0,2019-06-15T22:55:03.360001Z
38,1,1,47.4,0.0,15.02,-93.9,8.2,21,59,5,1,1,4,1,0,2017-09-08T04:49:17.760005Z
39,1,1,11.0,3.0,54.47,168.82,7.8,2,16,5,0,3,5,3,2,2017-07-17T23:34:13.440002Z
40,1,-1,19.4,3.0,-0.59,128.03,7.2,1,3,3,1,0,0,0,0,2019-07-14T09:10:47.999995Z
41,1,1,24.0,3.0,13.96,-91.85,7.4,9,38,25,5,0,2,2,0,2012-11-07T16:35:45.599996Z
42,2,1,17.0,3.0,-29.54,-176.34,7.6,29,111,32,8,0,0,0,0,2011-07-06T19:03:21.600010Z
43,1,-1,10.0,2.0,-2.6,68.38,7.5,2,5,2,1,0,0,0,0,2003-07-15T20:27:53.280004Z
44,1,1,16.0,0.0,50.04,87.81,7.3,3,3,2,2,0,0,0,0,2003-09-27T11:33:21.599999Z
45,1,1,24.0,0.0,18.77,-104.1,7.5,3,12,5,1,0,0,0,0,2003-01-22T02:06:34.560004Z
46,1,1,10.0,0.0,-60.53,-43.41,7.6,3,4,1,0,0,0,0,0,2003-08-04T04:37:20.639996Z
47,1,1,28.0,0.0,-45.1,167.14,7.2,3,6,6,3,0,0,0,0,2003-08-21T12:12:48.960001Z
48,1,1,10.0,1.0,-8.15,124.87,7.5,8,20,7,0,1,1,1,1,2004-11-11T21:26:38.400001Z
49,1,1,33.0,2.0,-10.49,160.77,7.3,1,15,11,0,2,16,13,1,2003-01-20T08:43:09.119997Z
50,1,-1,33.0,3.0,-9.62,-79.57,7.5,0,3,0,0,0,0,0,0,1996-02-21T12:51:07.200000Z
51,2,-1,17.0,3.0,40.75,29.86,7.6,2,10,7,1,0,0,0,0,1999-08-17T00:01:35.039999Z
52,1,1,10.0,0.0,35.95,90.54,7.8,4,15,2,0,0,0,0,0,2001-11-14T09:26:12.480004Z
53,1,1,31.0,2.0,-15.19,-173.59,7.3,5,30,29,5,0,12,12,0,1995-04-07T22:06:57.600005Z
54,1,1,10.0,0.0,-62.88,149.53,8.1,5,20,5,1,0,0,0,0,1998-03-25T03:12:23.039995Z
55,1,1,33.0,0.0,23.77,120.98,7.6,13,62,23,6,0,0,0,0,1999-09-20T17:47:19.680004Z
56,1,-1,33.0,1.0,22.31,125.31,7.4,2,5,3,0,0,0,0,0,1998-05-03T23:30:20.159996Z
