,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,24.4,0.0,38.32,142.37,9.1,165,165,3,3,16,16,1,1,2011-03-11T05:46:19.199996Z
1,1,1,10.0,3.0,3.3,95.78,9.0,201,201,1,1,2,2,0,0,2004-12-26T00:58:53.760002Z
2,1,1,44.8,1.0,-35.85,-72.71,8.8,72,72,3,3,2,2,0,0,2010-02-27T06:34:16.319997Z
3,-1,-1,30.0,2.0,2.09,97.11,8.6,0,0,0,0,0,0,0,0,2005-03-28T16:09:33.120002Z
4,2,2,20.0,0.0,2.33,93.06,8.6,22,22,1,1,2,2,0,0,2012-04-11T08:38:32.640004Z
5,1,1,34.0,3.0,-4.44,101.37,8.5,39,39,5,5,2,2,0,0,2007-09-12T11:10:27.840000Z
6,1,1,33.0,0.0,-16.26,-73.64,8.4,19,19,3,3,0,0,0,0,2001-06-23T20:33:12.960004Z
7,1,1,27.0,1.0,41.81,143.91,8.3,32,32,4,4,1,1,0,0,2003-09-25T19:50:09.599997Z
8,1,1,22.4,3.0,-31.57,-71.67,8.3,34,34,6,6,3,3,0,0,2015-09-16T22:54:28.799999Z
9,2,2,38.9,3.0,46.57,153.29,8.3,23,23,3,3,12,12,2,2,2006-11-15T11:14:21.119996Z
10,1,1,33.0,1.0,43.71,147.33,8.3,21,21,1,1,11,11,2,2,1994-10-04T13:22:56.639995Z
11,-1,-1,25.1,0.0,0.8,92.46,8.2,0,0,0,0,0,0,0,0,2012-04-11T10:43:14.879997Z
12,1,1,47.4,0.0,15.02,-93.9,8.2,20,20,0,0,3,3,0,0,2017-09-08T04:49:17.760005Z
13,1,1,33.0,1.0,-0.95,137.03,8.2,14,14,4,4,0,0,0,0,1996-02-17T05:59:25.439998Z
14,1,1,18.0,2.0,-15.49,-172.1,8.1,25,25,2,2,3,3,1,1,2009-09-29T17:48:11.519997Z
15,2,2,25.0,1.0,-19.61,-70.77,8.1,24,24,6,6,14,14,4,4,2014-04-01T23:46:45.120003Z
16,-1,-1,10.0,3.0,46.24,154.52,8.1,0,0,0,0,0,0,0,0,2007-01-13T04:23:22.560001Z
17,1,1,10.0,2.0,-8.46,157.04,8.1,40,40,5,5,6,6,0,0,2007-04-01T20:39:59.039998Z
18,1,1,10.0,0.0,-49.31,161.35,8.1,2,2,0,0,1,1,1,1,2004-12-23T14:59:08.159997Z
19,1,1,10.0,2.0,-62.88,149.53,8.1,5,5,1,1,0,0,0,0,1998-03-25T03:12:23.039995Z
20,1,1,55.0,3.0,-20.19,-174.12,8.0,18,18,0,0,7,7,1,1,2006-05-03T15:26:38.400001Z
21,1,1,39.0,2.0,-13.39,-76.6,8.0,12,12,3,3,3,3,0,0,2007-08-15T23:40:59.519996Z
22,1,1,47.0,2.0,-23.36,-70.31,8.0,10,10,3,3,1,1,0,0,1995-07-30T05:11:19.680002Z
23,3,3,33.0,0.0,-3.98,152.17,8.0,53,53,12,12,2,2,1,1,2000-11-16T04:54:54.719996Z
24,1,1,49.0,2.0,19.15,-104.22,8.0,3,3,0,0,1,1,0,0,1995-10-09T15:36:00.000002Z
25,-1,-1,4.9,3.0,63.52,-147.44,7.9,1,1,0,0,1,1,1,1,2002-11-03T22:12:43.200001Z
26,1,1,19.0,3.0,31.0,103.32,7.9,11,11,2,2,0,0,0,0,2008-05-12T06:28:04.800005Z
27,1,1,33.0,0.0,51.56,-177.63,7.9,10,10,2,2,4,4,1,1,1996-06-10T04:03:38.880000Z
28,-1,-1,30.2,1.0,36.13,140.23,7.9,0,0,0,0,0,0,0,0,2011-03-11T06:15:41.759999Z
29,1,1,22.1,3.0,44.62,149.32,7.9,14,14,5,5,6,6,4,4,1995-12-03T18:01:09.120003Z
30,1,1,33.0,3.0,-4.72,102.09,7.9,21,21,3,3,0,0,0,0,2000-06-04T16:28:24.960001Z
31,-1,-1,35.0,0.0,-2.62,100.84,7.9,0,0,0,0,0,0,0,0,2007-09-12T23:49:03.359999Z
32,1,1,15.0,3.0,28.15,84.71,7.9,8,8,4,4,0,0,0,0,2015-04-25T06:11:22.559997Z
33,1,1,24.0,1.0,-10.8,165.11,7.9,57,57,16,16,18,18,7,7,2013-02-06T01:12:25.920000Z
34,-1,-1,10.0,1.0,-13.8,97.45,7.9,1,1,0,0,0,0,0,0,2000-06-18T14:44:09.600005Z
35,1,1,14.1,1.0,56.0,-149.17,7.9,3,3,0,0,0,0,0,0,2018-01-23T09:31:40.800000Z
36,1,1,33.0,3.0,0.72,119.98,7.9,6,6,1,1,1,1,1,1,1996-01-01T08:05:08.160000Z
37,3,3,35.0,3.0,-12.52,166.38,7.8,35,35,9,9,3,3,2,2,2009-10-07T22:18:54.720004Z
38,1,1,14.0,3.0,52.79,-132.1,7.8,11,11,3,3,0,0,0,0,2012-10-28T03:04:10.559997Z
39,1,1,10.0,1.0,35.95,90.54,7.8,4,4,0,0,0,0,0,0,2001-11-14T09:26:12.480004Z
40,1,1,31.0,0.0,2.38,97.05,7.8,2,2,1,1,1,1,1,1,2010-04-06T22:15:01.439998Z
41,1,1,20.1,1.0,-3.49,100.08,7.8,5,5,2,2,0,0,0,0,2010-10-25T14:42:25.920000Z
42,1,1,15.2,3.0,-42.74,173.05,7.8,13,13,1,1,0,0,0,0,2016-11-13T11:02:58.559998Z
43,1,1,11.0,1.0,54.47,168.82,7.8,2,2,0,0,3,3,2,2,2017-07-17T23:34:13.440002Z
44,1,1,12.0,3.0,-45.76,166.56,7.8,7,7,1,1,0,0,0,0,2009-07-15T09:22:27.840004Z
45,1,1,39.0,3.0,-10.47,112.98,7.8,19,19,5,5,1,1,0,0,1994-06-02T18:17:34.080000Z
46,1,1,24.0,3.0,-4.95,94.33,7.8,3,3,0,0,0,0,0,0,2016-03-02T12:49:49.440001Z
47,1,1,40.0,3.0,-10.68,161.32,7.8,28,28,10,10,0,0,0,0,2016-12-08T17:38:49.919995Z
48,1,1,33.0,0.0,54.84,162.04,7.8,20,20,4,4,2,2,0,0,1997-12-05T11:26:52.800006Z
49,1,1,10.0,0.0,-60.27,-46.4,7.8,0,0,0,0,5,5,2,2,2013-11-17T09:04:53.760004Z
50,1,1,33.0,0.0,51.15,178.65,7.8,5,5,1,1,1,1,0,0,2003-11-17T06:43:03.359997Z
51,1,1,21.0,1.0,0.35,-79.93,7.8,13,13,7,7,0,0,0,0,2016-04-16T23:58:33.600006Z
52,-1,-1,30.0,0.0,-5.23,153.1,7.8,0,0,0,0,0,0,0,0,2000-11-16T07:42:14.400000Z
53,-1,-1,33.0,0.0,-5.5,151.78,7.8,0,0,0,0,0,0,0,0,2000-11-17T21:01:52.320000Z
54,1,1,15.0,3.0,26.97,65.52,7.8,4,4,2,2,0,0,0,0,2013-09-24T11:29:45.600004Z
55,1,1,61.0,3.0,12.96,144.78,7.7,6,6,2,2,0,0,0,0,1993-08-08T08:34:22.079997Z
56,1,1,33.0,0.0,-14.99,-75.68,7.7,8,8,4,4,1,1,0,0,1996-11-12T16:59:39.840004Z
57,2,2,17.0,0.0,-0.41,132.88,7.7,13,13,4,4,0,0,0,0,2009-01-03T19:43:49.439999Z
58,-1,-1,17.0,2.0,42.84,139.25,7.7,2,2,1,1,0,0,0,0,1993-07-12T13:17:11.039999Z
59,1,1,33.0,0.0,-12.58,166.68,7.7,9,9,3,3,3,3,0,0,1997-04-21T12:02:26.880002Z
60,-1,-1,33.0,3.0,40.45,143.49,7.7,0,0,0,0,1,1,0,0,1994-12-28T12:19:26.400000Z
61,1,1,35.0,1.0,-8.51,121.89,7.7,4,4,1,1,1,1,1,1,1992-12-12T05:29:28.320003Z
62,1,1,60.0,0.0,13.05,-88.66,7.7,12,12,4,4,0,0,0,0,2001-01-13T17:33:30.240005Z
63,1,1,34.0,0.0,-9.25,107.41,7.7,11,11,6,6,0,0,0,0,2006-07-17T08:19:32.160000Z
64,1,1,16.0,2.0,-5.81,154.21,7.7,16,16,8,8,2,2,1,1,1995-08-16T10:27:24.480003Z
65,1,1,40.0,1.0,-22.25,-69.89,7.7,17,17,9,9,0,0,0,0,2007-11-14T15:40:53.759996Z
66,-1,-1,10.0,3.0,-20.57,-70.5,7.7,0,0,0,0,0,0,0,0,2014-04-03T02:43:09.119997Z
67,1,1,33.0,1.0,-23.01,169.89,7.7,12,12,5,5,2,2,2,2,1995-05-16T20:12:46.079996Z
68,1,1,33.0,3.0,-2.07,124.89,7.7,3,3,1,1,3,3,0,0,1998-11-29T14:10:27.840000Z
