,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,1.2131851797594555,1.1596648381929278,1,1,1,10.0,1.7000000000000002,0.5999999999999996,42.8303,13.1092,6.5,564,564,200,200,2016-10-30T06:40:17.320000Z,9.637704614318139,3.358392976305856
1,-999.0,-999.0,1,1,2,9.1,1.0999999999999996,1.0999999999999996,45.4033,16.2017,6.3,20,20,2,2,2020-12-29T11:19:54.080000Z,0.35154628160955426,35.198429077641215
2,-999.0,-999.0,1,1,3,22.1,0.7999999999999998,1.7999999999999998,41.3998,19.5207,6.2,17,17,1,1,2019-11-26T02:54:11.280000Z,0.7220423804042215,inf
3,-999.0,-999.0,0,0,4,12.890999999999998,0.9000000000000004,-999.0,37.023,5.18115,6.2,1,1,0,0,2021-03-18T00:04:09.166000Z,inf,-999.0
4,1.1229271686780227,-999.0,1,1,5,8.3,0.6999999999999993,2.0999999999999996,42.342,13.38,6.1,234,234,7,7,2009-04-06T01:32:40.400000Z,3.9353432003801543,1.0979137768353215
5,1.0611145351549827,-999.0,1,1,6,8.1,0.5999999999999996,-999.0,42.6983,13.2335,6.0,167,167,0,0,2016-08-24T01:36:32.000000Z,23.84679347460921,-999.0
6,-999.0,-999.0,0,0,7,9.6,-999.0,-999.0,42.9048,13.0902,5.9,0,0,0,0,2016-10-26T19:18:07.420000Z,-999.0,-999.0
7,0.7921531349915313,-999.0,1,1,8,9.5,0.7999999999999998,1.7999999999999998,44.8955,11.2635,5.8,114,114,1,1,2012-05-20T02:03:50.170000Z,1.9883769017981692,inf
8,1.251217093434684,-999.0,4,4,9,5.5329999999999995,0.2999999999999998,0.20000000000000018,43.024,12.926,5.8,379,379,22,22,1997-09-26T09:40:24.950000Z,6.719951116348493,0.647876626620448
9,-999.0,-999.0,2,2,10,10.0,0.2999999999999998,-999.0,43.821,16.621,5.6,17,17,0,0,1990-11-27T04:37:59.770000Z,2.5558649112534018,-999.0
10,-999.0,-999.0,0,0,11,7.891,-999.0,-999.0,43.018,12.913,5.6,0,0,0,0,1997-09-26T00:33:11.750000Z,-999.0,-999.0
11,1.1493890810839824,-999.0,1,1,12,5.0,1.1999999999999993,-999.0,38.381,13.701,5.6,79,79,0,0,2002-09-06T01:21:28.570000Z,1.3878599661909565,-999.0
12,0.9544933668203345,-999.0,0,0,13,8.07,0.2999999999999998,1.3999999999999995,44.8417,11.0657,5.6,80,80,13,13,2012-05-29T07:00:02.880000Z,3.701665153789294,2.370319247304371
13,1.1039619923679784,-999.0,4,4,14,4.559,1.5,1.5,42.907,12.969,5.5,53,53,15,15,1997-10-14T15:23:09.050000Z,1.0873851867915878,7.539677991849901
14,1.0246859881730532,-999.0,4,4,15,9.6,0.09999999999999964,0.40000000000000036,42.531,13.2838,5.5,107,107,6,6,2017-01-18T10:14:09.900000Z,2.1603633700934624,0.3808033393167859
15,-999.0,-999.0,0,0,16,17.3,0.20000000000000018,-999.0,41.3458,19.4977,5.4,1,1,0,0,2019-09-21T14:04:25.480000Z,inf,-999.0
16,1.0535445652639541,-999.0,1,1,17,10.0,1.1000000000000005,0.7000000000000002,43.109,15.464,5.4,45,45,4,4,2003-03-29T17:42:15.690000Z,1.2535390756344886,18.203068506782465
17,-999.0,-999.0,0,0,18,12.5,-999.0,-999.0,42.279,19.974,5.4,0,0,0,0,2005-07-10T13:10:10.900000Z,-999.0,-999.0
18,-999.0,-999.0,0,0,19,25.0,-999.0,-999.0,41.5643,19.5197,5.4,0,0,0,0,2019-11-27T14:45:24.810000Z,-999.0,-999.0
19,-999.0,-999.0,0,0,20,8.0,-999.0,-999.0,42.7922,13.1507,5.4,0,0,0,0,2016-08-24T02:33:28.890000Z,-999.0,-999.0
20,-999.0,-999.0,0,0,21,8.1,-999.0,-999.0,42.8747,13.1243,5.4,0,0,0,0,2016-10-26T17:10:36.980000Z,-999.0,-999.0
21,1.0723320540821049,-999.0,1,1,22,10.0,1.2000000000000002,1.9000000000000004,41.696,14.928,5.4,40,40,2,2,2002-10-31T10:33:00.180000Z,1.232907464641522,23.686645420981066
22,-999.0,-999.0,0,0,23,3.409,1.6000000000000005,-999.0,43.01,12.918,5.4,4,4,0,0,1997-10-06T23:24:51.520000Z,0.3985319356546156,-999.0
23,-999.0,-999.0,0,0,24,20.2,-999.0,-999.0,41.5355,19.4663,5.4,0,0,0,0,2019-11-26T06:08:22.850000Z,-999.0,-999.0
24,-999.0,-999.0,0,0,25,17.1,-999.0,-999.0,42.303,13.486,5.4,0,0,0,0,2009-04-07T17:47:37.340000Z,-999.0,-999.0
25,-999.0,-999.0,0,0,26,9.4,-999.0,2.0000000000000004,42.5033,13.277,5.4,0,0,2,2,2017-01-18T10:25:23.730000Z,-999.0,4.412786560267244
26,1.1117938736723247,-999.0,1,1,27,10.0,1.0999999999999996,2.1999999999999997,41.719,14.841,5.3,32,32,4,4,2002-11-01T15:09:02.030000Z,1.0245222976718207,6.066407147241509
27,-999.0,-999.0,3,3,28,4.35,0.2999999999999998,0.2999999999999998,44.8652,10.9795,5.3,21,21,5,5,2012-05-29T10:55:56.550000Z,0.44133049049084677,37.17056298960792
28,-999.0,-999.0,0,0,29,10.352,-999.0,-999.0,43.1631,17.981,5.3,0,0,0,0,2019-11-26T09:19:25.935000Z,-999.0,-999.0
29,-999.0,-999.0,0,0,30,5.0,-999.0,-999.0,46.737,9.463,5.3,0,0,0,0,1991-11-20T01:54:18.670000Z,-999.0,-999.0
30,-999.0,-999.0,0,0,31,9.961,-999.0,-999.0,37.0178,5.24048,5.3,0,0,0,0,2021-03-18T00:17:06.997000Z,-999.0,-999.0
31,-999.0,-999.0,0,0,32,10.0,-999.0,-999.0,41.49,19.53,5.3,0,0,0,0,2019-11-26T03:03:00.300000Z,-999.0,-999.0
32,-999.0,-999.0,0,0,33,10.0,-999.0,-999.0,43.86,16.64,5.3,0,0,0,0,1990-11-27T04:51:39.140000Z,-999.0,-999.0
33,-999.0,-999.0,1,1,34,11.1,1.1000000000000005,-999.0,42.6728,16.3293,5.2,3,3,0,0,2021-03-27T13:47:51.710000Z,0.08606012732918004,-999.0
34,-999.0,-999.0,0,0,35,11.0,-999.0,-999.0,42.489,13.351,5.2,0,0,0,0,2009-04-09T00:52:59.690000Z,-999.0,-999.0
35,-999.0,-999.0,0,0,36,28.8,-999.0,-999.0,41.3365,19.501,5.2,0,0,0,0,2019-09-21T14:15:54.670000Z,-999.0,-999.0
36,-999.0,-999.0,1,1,37,5.0,1.8000000000000003,-999.0,46.357,13.637,5.2,4,4,0,0,2004-07-12T13:04:06.310000Z,0.09013852319221634,-999.0
37,-999.0,-999.0,0,0,38,10.0,1.7000000000000002,-999.0,40.679,19.906,5.2,1,1,0,0,1990-05-14T17:04:24.070000Z,inf,-999.0
38,-999.0,-999.0,0,0,39,16.2,-999.0,-999.0,45.3862,16.2213,5.2,0,0,0,0,2021-01-06T17:01:43.540000Z,-999.0,-999.0
39,-999.0,-999.0,0,0,40,10.059,-999.0,-999.0,42.619,19.8865,5.2,0,0,0,0,2018-01-04T10:46:12.496000Z,-999.0,-999.0
40,-999.0,-999.0,1,1,41,5.0,1.7000000000000002,-999.0,46.4,13.705,5.2,4,4,0,0,1998-04-12T10:55:32.070000Z,0.10790298678499523,-999.0
41,-999.0,-999.0,1,1,42,9.7,1.5,1.5,39.8747,16.0158,5.2,16,16,9,9,2012-10-25T23:05:24.730000Z,0.3317588769953932,0.1735459122861918
42,-999.0,-999.0,0,0,43,8.8,-999.0,-999.0,45.3965,16.2398,5.2,0,0,0,0,2020-12-28T05:28:06.750000Z,-999.0,-999.0
43,-999.0,-999.0,0,0,44,7.2,-999.0,-999.0,44.866,10.9763,5.1,0,0,0,0,2012-05-29T11:00:22.990000Z,-999.0,-999.0
