,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,26,279,643,24.0,35.065,138.586,4.9,1,1,1,1,1,0,0,0,0,0,1995-04-18T20:26:25.260003Z,1995-04-18T20:26:25.260003Z,1995-04-18T20:26:24.000002,-1,-1,-1,-1,-1
1,1423,76,592,0.0,37.295,139.892,5.5,36,36,37,36,41,0,1,0,0,0,1994-12-18T20:07:33.900036Z,1994-12-18T20:07:33.900036Z,1994-12-18T20:07:32.000000,1,1,1,1,1
2,1263,47,295,11.0,42.751999999999995,143.415,5.8,2,2,0,7,3,0,2,0,0,0,1991-06-13T05:11:36.299988Z,1991-06-13T05:11:36.299988Z,1991-06-13T05:11:35.000001,-1,1,-1,1,1
3,366,204,272,0.0,36.115,135.945,5.0,1,1,1,1,1,0,0,0,0,0,1992-05-20T12:29:42.499998Z,1992-05-20T12:29:42.499998Z,1992-05-20T12:29:41.000003,-1,-1,-1,-1,-1
4,3,89,273,9.0,43.25,145.705,5.4,0,0,0,1,1,0,0,0,0,0,1991-07-10T14:52:05.399969Z,1991-07-10T14:52:05.399969Z,1991-07-10T14:52:04.000002,-1,-1,-1,-1,-1
5,72,155,275,5.0,35.653,140.733,5.2,1,0,0,1,0,0,1,1,0,1,1992-05-29T02:58:32.199973Z,1992-05-29T02:58:32.199973Z,1992-05-29T02:58:31.000002,-1,-1,-1,-1,-1
6,1150,152,2442,9.0,35.662,136.315,5.2,8,8,8,9,9,0,0,0,0,0,2009-02-18T06:47:07.060013Z,2009-02-18T06:47:07.060013Z,2009-02-18T06:47:05.999999,1,1,1,1,1
7,1207,138,109,1.0,35.273,133.36,5.2,12,12,12,13,27,6,7,6,6,6,1990-11-23T19:33:31.000032Z,1990-11-23T19:33:31.000032Z,1990-11-23T19:33:30.000002,4,4,4,4,4
8,589,236,102,0.0,44.275,142.128,5.0,5,5,5,5,5,1,1,1,1,1,1990-11-11T04:05:55.200021Z,1990-11-11T04:05:55.200021Z,1990-11-11T04:05:54.000003,1,1,1,1,1
9,1611,22,1297,48.0,35.69,140.746,6.1,26,26,26,57,34,1,4,1,1,1,2000-06-03T17:54:47.700034Z,2000-06-03T17:54:47.700034Z,2000-06-03T17:54:46.000003,1,1,1,1,1
10,1204,197,1374,32.0,34.793,137.549,5.0,3,3,3,3,3,0,1,0,0,0,2001-02-23T07:23:47.899997Z,2001-02-23T07:23:47.899997Z,2001-02-23T07:23:46.000000,1,1,1,1,1
11,325,628,92,11.0,36.55,139.283,4.6,3,3,4,3,4,1,1,3,1,3,1990-10-19T10:49:31.800001Z,1990-10-19T10:49:31.800001Z,1990-10-19T10:49:30.000001,0,0,5,0,5
12,1301,61,1756,51.0,42.326,143.08,5.6,2,2,3,18,9,1,5,3,5,10,2004-11-27T07:42:37.550015Z,2004-11-27T07:42:37.550015Z,2004-11-27T07:42:36.000002,1,1,1,4,1
13,439,117,1750,63.0,40.144,141.895,5.3,3,3,3,4,4,0,0,0,0,0,2004-02-04T15:08:26.559996Z,2004-02-04T15:08:26.559996Z,2004-02-04T15:08:25.000000,1,1,1,1,1
14,1356,604,1170,13.0,34.047,133.503,4.6,5,5,5,5,11,5,7,7,5,10,1999-10-30T06:25:50.850017Z,1999-10-30T06:25:50.850017Z,1999-10-30T06:25:49.000001,1,1,1,1,1
15,140,113,513,4.0,35.327,136.278,5.3,2,2,4,2,4,0,0,0,0,0,1994-05-28T17:04:32.300035Z,1994-05-28T17:04:32.300035Z,1994-05-28T17:04:31.000001,-1,-1,1,-1,1
16,925,484,1579,7.0,36.302,136.673,4.7,2,2,2,2,2,4,4,4,4,4,2002-11-17T13:47:53.969964Z,2002-11-17T13:47:53.969964Z,2002-11-17T13:47:51.999998,1,1,1,1,1
17,643,547,689,24.0,37.515,138.317,4.6,1,1,1,1,1,0,0,0,0,0,1995-08-09T04:27:10.760031Z,1995-08-09T04:27:10.760031Z,1995-08-09T04:27:09.000002,-1,-1,-1,-1,-1
18,1401,111,686,42.0,35.903,140.585,5.3,5,4,6,6,6,0,0,0,0,0,1995-07-30T03:24:00.139996Z,1995-07-30T03:24:00.139996Z,1995-07-30T03:23:59.999997,1,1,1,1,1
19,1503,112,626,10.0,35.746,137.565,5.3,16,16,11,30,15,1,1,0,1,0,1995-03-17T00:08:35.839970Z,1995-03-17T00:08:35.839970Z,1995-03-17T00:08:33.999999,1,1,1,1,1
20,1637,83,399,6.0,36.045,139.89700000000002,5.4,6,6,7,8,10,0,4,0,0,0,1993-05-21T11:36:37.900021Z,1993-05-21T11:36:37.900021Z,1993-05-21T11:36:35.999999,1,1,1,1,1
21,1400,348,2277,44.0,35.683,140.726,4.8,6,6,7,6,12,0,0,0,0,0,2007-10-07T22:36:04.249955Z,2007-10-07T22:36:04.249955Z,2007-10-07T22:36:03.000001,1,1,1,1,2
22,789,280,2270,12.0,35.23,139.11,4.9,4,4,4,5,5,0,1,0,0,0,2007-10-01T02:21:14.629964Z,2007-10-01T02:21:14.629964Z,2007-10-01T02:21:12.999999,1,1,1,1,1
23,121,594,2452,41.0,35.900999999999996,140.845,4.6,0,0,0,0,1,2,2,2,2,2,2009-04-21T07:54:24.629986Z,2009-04-21T07:54:24.629986Z,2009-04-21T07:54:22.999999,-1,-1,-1,-1,2
24,587,297,171,0.0,32.663000000000004,130.138,4.9,7,7,8,7,9,0,0,0,0,0,1991-06-27T09:11:03.100045Z,1991-06-27T09:11:03.100045Z,1991-06-27T09:11:02.000002,1,1,1,1,1
25,983,404,2053,8.0,38.417,139.931,4.8,1,1,1,2,2,0,0,0,0,0,2006-02-13T17:23:18.019970Z,2006-02-13T17:23:18.019970Z,2006-02-13T17:23:16.999998,-1,-1,-1,-1,-1
26,1064,555,651,57.0,33.6,132.296,4.6,1,1,3,1,3,0,0,0,0,0,1995-05-10T05:39:06.419986Z,1995-05-10T05:39:06.419986Z,1995-05-10T05:39:05.000000,-1,-1,1,-1,1
27,338,373,1142,10.0,32.937,131.019,4.8,3,3,3,3,4,0,0,0,0,0,1999-03-09T12:53:52.699987Z,1999-03-09T12:53:52.699987Z,1999-03-09T12:53:50.999999,1,1,1,1,1
28,497,109,1141,20.0,39.155,139.83700000000002,5.3,6,6,7,6,7,0,0,0,0,0,1999-02-26T14:18:16.739971Z,1999-02-26T14:18:16.739971Z,1999-02-26T14:18:14.999998,2,2,2,2,2
29,174,139,1146,59.0,36.455999999999996,140.622,5.2,1,1,0,3,11,1,1,3,1,3,1999-04-25T21:27:02.949948Z,1999-04-25T21:27:02.949948Z,1999-04-25T21:27:00.999999,-1,-1,2,2,2
30,716,357,1144,30.0,39.605,141.923,4.8,5,5,6,5,7,0,0,0,0,0,1999-03-11T20:05:54.009972Z,1999-03-11T20:05:54.009972Z,1999-03-11T20:05:53.000002,1,1,1,1,1
31,66,511,696,69.0,36.107,140.041,4.6,1,0,1,1,1,0,0,0,0,0,1995-08-27T14:32:22.820003Z,1995-08-27T14:32:22.820003Z,1995-08-27T14:32:21.000003,-1,-1,-1,-1,-1
32,1374,530,697,9.0,36.851,139.322,4.6,6,6,6,6,6,1,1,1,1,1,1995-09-01T15:23:30.030030Z,1995-09-01T15:23:30.030030Z,1995-09-01T15:23:29.000000,1,1,1,1,1
33,1390,322,694,7.0,35.853,137.592,4.8,7,7,6,7,8,3,6,1,3,1,1995-08-24T07:03:06.019999Z,1995-08-24T07:03:06.019999Z,1995-08-24T07:03:04.999999,1,1,1,1,1
