,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,684,14,715,0.0,36.531,142.7,6.6,35,36,35,37,35,2,3,0,13,0,2008-12-20T19:29:16.749973Z,2008-12-20T19:29:16.749973Z,2008-12-20T19:29:14.999999,2,2,2,2,2
1,701,56,711,24.0,38.527,143.217,6.1,19,16,12,21,12,0,0,0,1,0,2008-12-04T08:16:53.199980Z,2008-12-04T08:16:53.199980Z,2008-12-04T08:16:52.000003,1,1,1,1,1
2,202,154,590,44.0,40.685,142.596,5.7,2,2,1,2,1,0,0,0,3,0,2005-02-26T21:37:38.450031Z,2005-02-26T21:37:38.450031Z,2005-02-26T21:37:37.000000,0,0,0,1,0
3,872,58,596,51.0,35.727,140.621,6.1,6,6,2,10,3,1,2,0,7,0,2005-04-11T07:22:15.629988Z,2005-04-11T07:22:15.629988Z,2005-04-11T07:22:13.999998,1,1,0,1,1
4,620,150,196,9.0,35.23,139.78799999999998,5.7,2,2,2,4,2,0,0,0,0,0,1992-02-02T04:04:05.700032Z,1992-02-02T04:04:05.700032Z,1992-02-02T04:04:04.000000,0,0,0,1,0
5,821,1,274,0.0,40.43,143.745,7.6,418,435,308,569,314,2,6,0,105,0,1994-12-28T21:19:20.900030Z,1994-12-28T21:19:20.900030Z,1994-12-28T21:19:19.000002,2,2,1,2,1
6,951,66,526,0.0,36.373000000000005,141.957,6.0,3,4,5,3,5,2,2,0,17,0,2003-04-08T03:28:35.010020Z,2003-04-08T03:28:35.010020Z,2003-04-08T03:28:34.000000,1,1,1,1,1
7,875,114,108,3.0,35.545,141.178,5.8,4,4,1,6,1,2,0,0,6,0,1988-09-26T17:23:19.099968Z,1988-09-26T17:23:19.099968Z,1988-09-26T17:23:18.000003,1,1,0,1,0
8,694,31,36,7.0,34.827,140.717,6.4,6,9,5,6,5,0,0,0,2,0,1986-06-24T11:53:09.699972Z,1986-06-24T11:53:09.699972Z,1986-06-24T11:53:08.000001,1,1,1,1,1
9,423,67,645,0.0,37.194,143.031,6.0,3,2,2,3,2,0,0,0,0,0,2006-10-11T08:58:03.590000Z,2006-10-11T08:58:03.590000Z,2006-10-11T08:58:01.999999,1,0,0,1,0
10,407,10,338,0.0,37.309,142.548,6.8,6,11,3,6,3,0,6,0,0,0,1996-02-17T00:22:58.179972Z,1996-02-17T00:22:58.179972Z,1996-02-17T00:22:56.999996,1,1,1,1,1
11,201,102,96,9.0,35.665,139.643,5.8,2,2,2,2,3,0,0,0,0,0,1988-03-18T05:34:29.399984Z,1988-03-18T05:34:29.399984Z,1988-03-18T05:34:27.999997,0,0,0,0,1
12,814,97,236,0.0,36.028,141.75799999999998,5.9,3,1,0,27,1,2,1,1,9,1,1993-06-07T16:49:32.799996Z,1993-06-07T16:49:32.799996Z,1993-06-07T16:49:31.000003,1,0,0,4,0
13,651,155,685,61.0,41.463,142.108,5.7,2,2,1,2,1,0,0,0,7,0,2008-04-29T14:26:05.319998Z,2008-04-29T14:26:05.319998Z,2008-04-29T14:26:03.999997,0,0,0,1,0
14,946,6,683,50.0,36.228,141.608,7.0,56,68,49,60,49,31,41,28,123,28,2008-05-08T01:45:18.770001Z,2008-05-08T01:45:18.770001Z,2008-05-08T01:45:16.999998,1,1,1,1,1
15,616,141,490,47.0,36.59,141.083,5.7,2,2,1,2,1,3,0,0,13,0,2002-02-12T22:44:37.930020Z,2002-02-12T22:44:37.930020Z,2002-02-12T22:44:35.999999,1,0,0,1,0
16,674,60,24,4.0,36.42,141.08,6.1,5,5,3,12,3,2,4,0,8,0,1986-02-12T11:59:31.599973Z,1986-02-12T11:59:31.599973Z,1986-02-12T11:59:29.999998,1,1,1,2,1
17,699,140,21,3.0,41.132,139.922,5.7,1,1,1,1,1,0,0,0,0,0,1985-12-02T16:14:37.700044Z,1985-12-02T16:14:37.700044Z,1985-12-02T16:14:35.999996,0,0,0,0,0
18,664,123,23,0.0,39.435,143.72799999999998,5.8,20,12,16,20,16,0,0,0,1,0,1986-02-11T03:33:43.000011Z,1986-02-11T03:33:43.000011Z,1986-02-11T03:33:41.999998,1,1,1,1,1
19,216,47,406,7.0,39.806,140.901,6.2,2,2,2,2,2,1,1,0,1,0,1998-09-03T16:58:17.209986Z,1998-09-03T16:58:17.209986Z,1998-09-03T16:58:16.000003,1,1,0,1,0
20,869,12,88,5.0,35.375,140.493,6.7,26,30,27,30,27,0,0,0,5,0,1987-12-17T11:08:16.799964Z,1987-12-17T11:08:16.799964Z,1987-12-17T11:08:15.000002,1,1,1,1,1
21,743,88,395,18.0,40.264,143.45,5.9,11,10,11,12,11,2,2,2,2,2,1998-05-15T03:56:20.610038Z,1998-05-15T03:56:20.610038Z,1998-05-15T03:56:19.000003,1,1,1,0,1
22,686,100,80,0.0,36.923,143.095,5.9,1,1,2,1,2,2,1,1,2,1,1987-07-11T22:31:38.200000Z,1987-07-11T22:31:38.200000Z,1987-07-11T22:31:36.999998,1,0,1,1,1
23,865,119,84,4.0,36.63,141.315,5.8,3,3,2,11,2,0,0,0,5,0,1987-09-24T13:55:21.000028Z,1987-09-24T13:55:21.000028Z,1987-09-24T13:55:20.000003,1,1,0,1,0
24,337,38,516,45.0,38.897,142.139,6.3,6,7,4,7,4,1,1,0,3,0,2002-11-03T12:37:43.620029Z,2002-11-03T12:37:43.620029Z,2002-11-03T12:37:41.999997,1,1,1,1,1
25,913,139,458,37.0,35.253,141.322,5.7,4,4,3,4,3,0,0,0,0,0,2000-07-21T14:16:33.909971Z,2000-07-21T14:16:33.909971Z,2000-07-21T14:16:32.000001,1,1,1,1,1
26,868,134,624,35.0,37.8,142.2,5.7,11,1,8,13,8,1,0,0,9,0,2006-01-18T23:25:25.640028Z,2006-01-18T23:25:25.640028Z,2006-01-18T23:25:24.000003,1,0,1,1,1
27,902,61,456,48.0,35.69,140.746,6.1,2,2,1,3,1,2,2,0,7,0,2000-06-03T17:54:47.700034Z,2000-06-03T17:54:47.700034Z,2000-06-03T17:54:46.000003,1,1,0,1,0
28,914,35,457,49.0,36.529,141.119,6.4,3,4,1,3,2,4,6,0,21,0,2000-07-21T03:39:18.599981Z,2000-07-21T03:39:18.599981Z,2000-07-21T03:39:16.999997,1,1,0,1,0
29,560,73,16,7.0,35.872,140.155,6.0,7,5,5,8,5,4,1,0,7,0,1985-10-04T21:25:51.599973Z,1985-10-04T21:25:51.599973Z,1985-10-04T21:25:50.000003,1,1,1,1,1
30,777,43,205,0.0,41.465,142.035,6.3,6,6,4,6,7,1,2,0,10,0,1992-07-12T20:08:55.599965Z,1992-07-12T20:08:55.599965Z,1992-07-12T20:08:54.000001,1,1,1,1,1
31,549,75,208,0.0,38.655,143.377,6.0,13,3,7,13,7,0,0,0,1,0,1992-07-25T11:53:27.599966Z,1992-07-25T11:53:27.599966Z,1992-07-25T11:53:25.999997,1,0,1,1,1
32,709,3,690,7.0,39.03,140.881,7.2,167,169,154,177,162,1,8,0,1,0,2008-06-14T08:43:45.359964Z,2008-06-14T08:43:45.359964Z,2008-06-14T08:43:44.000000,1,1,1,1,1
33,864,8,695,31.0,37.521,142.264,6.9,38,47,27,39,27,0,2,0,5,0,2008-07-19T11:39:28.690012Z,2008-07-19T11:39:28.690012Z,2008-07-19T11:39:27.000001,1,1,1,1,1
34,502,111,541,69.0,35.219,140.3,5.8,1,1,2,1,2,0,0,0,2,0,2003-09-20T12:54:52.200027Z,2003-09-20T12:54:52.200027Z,2003-09-20T12:54:51.000002,0,0,0,1,0
35,852,11,546,33.0,37.832,142.696,6.8,62,86,57,64,57,0,5,0,12,0,2003-10-31T10:06:30.669986Z,2003-10-31T10:06:30.669986Z,2003-10-31T10:06:29.000002,1,1,1,1,1
36,952,5,126,0.0,39.858000000000004,143.053,7.1,257,266,124,702,132,107,109,0,141,0,1989-11-02T03:25:33.500031Z,1989-11-02T03:25:33.500031Z,1989-11-02T03:25:32.000000,1,1,1,0,1
37,642,149,418,10.0,38.606,143.116,5.7,4,2,2,4,2,1,1,0,1,0,1999-01-22T07:02:13.030013Z,1999-01-22T07:02:13.030013Z,1999-01-22T07:02:11.999998,1,1,0,1,0
