,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,-999.0,-999.0,0,0,1,2.85,-999.0,-999.0,40.1716666666667,142.72833333333298,5.4,0,0,0,1,1985-08-29T12:45:05.999967Z,-999.0,-999.0
1,-999.0,-999.0,0,0,2,0.0,0.09999999999999964,-999.0,37.5766666666667,143.19833333333298,5.3,1,1,0,1,1992-12-23T09:32:20.700035Z,inf,-999.0
2,-999.0,-999.0,0,0,3,0.42,0.10000000000000053,0.0,36.4766666666667,142.69833333333298,4.9,1,1,1,1,1989-10-15T07:53:20.899965Z,inf,inf
3,-999.0,-999.0,0,0,4,0.0,0.0,-999.0,37.418333333333294,143.236666666667,4.8,1,1,0,0,1989-07-28T23:06:57.200004Z,inf,-999.0
4,-999.0,-999.0,0,0,5,0.35,0.6000000000000005,-999.0,36.535,142.958333333333,5.4,1,1,0,0,1986-06-08T13:25:02.400035Z,inf,-999.0
5,-999.0,-999.0,0,0,6,11.29,-999.0,0.40000000000000036,41.353333333333296,141.665,5.0,0,0,1,1,1987-08-01T04:04:08.599956Z,-999.0,inf
6,-999.0,-999.0,0,0,7,0.48,0.5,-999.0,34.795,141.97,5.1,1,1,0,0,1988-08-27T12:03:22.799986Z,inf,-999.0
7,-999.0,-999.0,0,0,8,6.12,-999.0,-999.0,36.2033333333333,140.063333333333,4.6,0,0,0,1,1988-09-16T03:18:56.400012Z,-999.0,-999.0
8,-999.0,-999.0,0,0,9,9.72,-999.0,0.09999999999999964,34.84,139.916666666667,4.6,0,0,1,1,1991-05-18T10:02:02.000029Z,-999.0,inf
9,-999.0,-999.0,0,0,10,11.73,0.0,-999.0,38.202833333333295,141.149166666667,4.5,1,1,0,0,2007-04-05T20:39:40.880018Z,inf,-999.0
10,-999.0,-999.0,0,0,11,5.03,-999.0,-999.0,37.4833333333333,141.651666666667,5.0,0,0,0,1,1994-04-26T07:24:21.500006Z,-999.0,-999.0
11,-999.0,-999.0,0,0,12,5.48,-999.0,-999.0,38.5066666666667,141.881666666667,4.7,0,0,0,1,1986-10-21T19:22:06.700012Z,-999.0,-999.0
