,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,0.6958093409431041,0.6605239268490519,1,1,1,10.06,2.4000000000000004,2.5999999999999996,42.92,144.35333333333298,7.5,178,178,40,40,1993-01-15T20:06:07.199973Z,2.9709163837610326,0.6876763874512233
1,0.734468609101088,0.687119058589323,1,1,2,16.06,1.8999999999999995,2.2,34.5983333333333,135.035,7.3,690,690,39,39,1995-01-17T05:46:51.859978Z,11.61677609550839,0.6553111578775157
2,0.9035692469333997,-999.0,1,1,3,8.96,1.7000000000000002,3.4,35.2741666666667,133.349,7.3,855,855,9,9,2000-10-06T13:30:17.940015Z,14.329758985223485,0.16821260344447062
3,0.760937885080998,0.8032112998640785,1,1,4,7.77,1.5,2.4000000000000004,39.02983333333329,140.880666666667,7.2,1196,1196,43,43,2008-06-14T08:43:45.359964Z,20.136907367125424,0.7854844802147418
4,0.7864878333311903,-999.0,1,1,5,9.24,1.2000000000000002,3.7,33.7391666666667,130.176333333333,7.0,729,729,3,3,2005-03-20T10:53:40.320017Z,12.227978341465366,0.08462490793270297
5,0.7899840728696599,-999.0,1,1,6,10.7,1.6000000000000005,4.1000000000000005,37.2206666666667,136.686,6.9,803,803,3,3,2007-03-25T09:41:57.910020Z,13.659195623275359,0.12506806487053496
6,0.8146732693071667,-999.0,1,1,7,16.75,1.0,3.6999999999999997,37.556833333333294,138.6095,6.8,343,343,5,5,2007-07-16T10:13:22.550019Z,6.389893535739841,0.14297455408785428
7,0.6866167618859186,-999.0,0,0,8,13.08,0.2999999999999998,2.5,37.2925,138.867166666667,6.8,1281,1281,9,9,2004-10-23T17:56:00.299962Z,21.55566831130173,0.1980926883958319
8,0.6587182617932918,-999.0,1,1,9,46.46,1.5,3.4000000000000004,34.1323333333333,132.693666666667,6.7,86,86,5,5,2001-03-24T15:27:54.500000Z,1.6410111332395525,0.09278864340617947
9,0.8463174519140286,-999.0,1,1,10,8.29,2.3,3.4999999999999996,34.4415,131.666166666667,6.6,114,114,2,2,1997-06-25T18:50:12.780017Z,1.9867967376132336,0.04475229244889677
10,0.8182638181812714,-999.0,2,2,11,11.85,0.1999999999999993,3.4999999999999996,31.972833333333302,130.359,6.6,426,426,3,3,1997-03-26T17:31:47.899985Z,7.156673996841919,0.21850433093957386
11,0.8143021535685967,-999.0,1,1,12,23.32,2.0,3.8,34.7861666666667,138.499333333333,6.5,84,84,1,1,2009-08-11T05:07:05.740030Z,1.9264477083266605,inf
12,-999.0,-999.0,0,0,13,14.17,-999.0,-999.0,37.3063333333333,138.93,6.5,0,0,0,0,2004-10-23T18:34:05.690031Z,-999.0,-999.0
13,0.7475251296740993,-999.0,1,1,14,11.87,0.9000000000000004,0.8000000000000007,38.405,141.171,6.4,297,297,25,25,2003-07-26T07:13:31.519986Z,5.089779381906006,0.4788490787920699
