,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999.0,-1,-1,1,36.79,-999.0,1.2999999999999998,35.52,135.638333333333,6.1,0,0,0,0,1,1,1,1,1990-04-12T05:51:13.700018Z,-999.0,inf
1,-999.0,-999.0,-1,-1,2,9.72,-999.0,0.09999999999999964,34.84,139.916666666667,4.6,0,0,0,0,1,1,1,1,1991-05-18T10:02:02.000029Z,-999.0,inf
2,-999.0,-999.0,-1,-1,3,5.63,-999.0,0.1999999999999993,35.865,140.685,4.6,0,0,0,0,1,1,1,1,1994-03-14T02:26:59.600030Z,-999.0,inf
3,-999.0,-999.0,-1,-1,4,9.16,0.2999999999999998,-999.0,35.757833333333295,136.856333333333,4.6,1,1,1,1,0,0,0,0,2005-06-20T14:04:28.029972Z,inf,-999.0
4,-999.0,-999.0,-1,-1,5,31.99,0.39999999999999947,-999.0,34.994666666666696,138.043833333333,4.6,1,1,1,1,0,0,0,0,1996-10-05T09:51:15.439967Z,inf,-999.0
5,-999.0,-999.0,-1,-1,6,64.78,0.2999999999999998,-999.0,33.4076666666667,131.869,4.5,1,1,1,1,0,0,0,0,2003-05-31T03:58:23.910013Z,inf,-999.0
6,-999.0,-999.0,-1,-1,7,11.14,-999.0,0.0,32.1283333333333,131.178333333333,4.1,0,0,0,0,1,1,1,1,1990-06-24T05:21:12.500031Z,-999.0,inf
7,-999.0,-999.0,-1,-1,8,13.67,0.3000000000000007,-999.0,35.6885,136.422666666667,4.4,1,1,1,1,0,0,0,0,2006-02-16T23:10:45.449962Z,inf,-999.0
8,-999.0,-999.0,-1,-1,9,56.06,-999.0,0.0,36.4526666666667,140.60399999999998,4.1,0,0,0,0,1,1,1,1,2004-07-20T11:46:37.969971Z,-999.0,inf
9,-999.0,-999.0,-1,-1,10,38.26,0.0,-999.0,35.5218333333333,136.291,4.0,1,1,1,1,0,0,0,0,1995-08-15T14:08:52.609999Z,inf,-999.0
