,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999.0,-1,-1,1,55.67,-999.0,-999.0,35.7445,140.7365,4.5,0,1,1,0,0,0,0,0,1996-06-12T01:14:58.539983Z,-999.0,-999.0
1,-999.0,-999.0,-1,-1,2,9.16,0.2999999999999998,-999.0,35.757833333333295,136.856333333333,4.6,1,1,1,1,0,0,0,0,2005-06-20T14:04:28.029972Z,inf,-999.0
2,-999.0,-999.0,-1,-1,3,9.2,-999.0,-999.0,43.25,145.705,5.4,0,1,1,0,0,0,0,0,1991-07-10T14:52:05.399969Z,-999.0,-999.0
3,-999.0,-999.0,-1,-1,5,13.67,0.3000000000000007,-999.0,35.6885,136.422666666667,4.4,1,1,1,1,0,0,0,0,2006-02-16T23:10:45.449962Z,inf,-999.0
4,-999.0,-999.0,-1,-1,10,14.8,1.2000000000000002,-999.0,35.005,139.113333333333,5.2,1,1,1,1,0,0,0,0,1990-06-27T06:54:46.800036Z,inf,-999.0
5,-999.0,-999.0,-1,-1,11,7.73,0.7000000000000002,-999.0,35.6183333333333,140.216666666667,4.7,1,1,1,1,0,0,0,0,1990-12-16T14:23:54.399988Z,inf,-999.0
6,-999.0,-999.0,-1,-1,15,5.95,0.5,-999.0,36.1416666666667,139.86666666666702,4.5,1,1,1,1,0,0,0,0,1990-03-03T00:07:30.800029Z,inf,-999.0
7,-999.0,-999.0,-1,-1,16,51.24,0.5999999999999996,-999.0,36.0963333333333,139.855833333333,4.6,1,1,1,1,0,0,0,0,1998-03-08T13:46:48.369998Z,inf,-999.0
8,-999.0,-999.0,-1,-1,18,5.53,0.6000000000000001,-999.0,36.4683333333333,140.586666666667,4.5,1,1,1,1,0,0,0,0,1990-01-01T18:03:13.299957Z,inf,-999.0
9,-999.0,-999.0,-1,-1,19,42.7,1.0000000000000004,-999.0,33.3488333333333,132.3565,4.9,1,1,1,1,0,0,0,0,2002-10-13T19:06:32.080036Z,inf,-999.0
10,-999.0,-999.0,-1,-1,20,2.6,1.0000000000000004,-999.0,44.8783333333333,142.761666666667,4.9,1,1,1,1,0,0,0,0,1990-04-25T14:16:15.500033Z,inf,-999.0
11,-999.0,-999.0,-1,-1,22,6.0,1.0000000000000004,-999.0,36.0866666666667,139.881666666667,4.9,1,1,1,1,0,0,0,0,1992-11-28T09:46:48.299986Z,inf,-999.0
12,-999.0,-999.0,-1,-1,25,36.12,-999.0,-999.0,35.4866666666667,135.62,5.1,0,1,1,0,0,0,0,0,1994-04-16T11:32:03.399971Z,-999.0,-999.0
13,-999.0,-999.0,-1,-1,26,24.13,1.1000000000000005,-999.0,35.065,138.585833333333,4.9,1,1,1,1,0,0,0,0,1995-04-18T20:26:25.260003Z,inf,-999.0
14,-999.0,-999.0,-1,-1,27,58.12,1.1000000000000005,-999.0,36.443000000000005,140.613,4.9,1,2,2,1,0,0,0,0,2003-08-04T20:57:14.749981Z,inf,-999.0
15,-999.0,-999.0,-1,-1,29,58.57,0.6000000000000005,-999.0,36.2726666666667,140.563333333333,4.4,1,1,1,1,0,0,0,0,2004-10-07T22:01:35.850030Z,inf,-999.0
16,-999.0,-999.0,-1,-1,30,0.17,-999.0,0.7999999999999998,36.223333333333294,137.67666666666702,4.6,0,0,0,0,1,1,1,1,1990-04-01T02:42:00.200013Z,-999.0,inf
17,-999.0,-999.0,-1,-1,31,57.91,0.6000000000000005,-999.0,36.4568333333333,140.617833333333,4.4,2,2,2,2,0,0,0,0,2002-07-27T17:58:57.809973Z,0.14952701438043167,-999.0
18,-999.0,-999.0,-1,-1,38,7.19,0.0,-999.0,42.305,142.638333333333,4.6,2,2,2,2,0,0,0,0,1991-11-08T21:04:37.800012Z,0.35309269764143,-999.0
19,-999.0,-999.0,-1,-1,40,57.58,0.7000000000000002,-999.0,36.4336666666667,140.669333333333,4.4,1,1,1,1,0,0,0,0,1998-04-11T19:07:41.479972Z,inf,-999.0
20,-999.0,-999.0,-1,-1,41,60.65,0.9999999999999996,-999.0,42.03283333333329,142.593333333333,4.6,1,1,1,1,0,0,0,0,2006-04-26T23:10:36.969964Z,inf,-999.0
21,-999.0,-999.0,-1,-1,50,68.05,-999.0,0.8999999999999999,35.6733333333333,140.130833333333,4.5,0,0,0,0,1,1,1,1,2010-03-16T07:30:31.990030Z,-999.0,inf
22,-999.0,-999.0,-1,-1,53,5.55,1.2000000000000002,-999.0,36.06,139.946666666667,4.7,1,1,1,1,0,0,0,0,1990-04-09T00:52:55.999983Z,inf,-999.0
23,-999.0,-999.0,-1,-1,54,19.12,1.6,-999.0,37.2703333333333,138.79566666666702,5.2,2,2,2,2,0,0,0,0,1998-02-21T09:55:41.809957Z,1.059646443434777,-999.0
24,-999.0,-999.0,-1,-1,55,47.1,0.9000000000000004,-999.0,36.056999999999995,139.949333333333,4.4,1,1,1,1,0,0,0,0,2008-03-09T06:13:44.850002Z,inf,-999.0
25,-999.0,-999.0,-1,-1,58,0.39,-999.0,1.4000000000000004,35.1816666666667,138.983333333333,4.9,0,0,0,0,1,1,1,1,1994-10-25T15:06:17.500004Z,-999.0,inf
26,-999.0,-999.0,-1,-1,60,34.84,-999.0,-999.0,45.455,142.411666666667,6.1,0,1,0,0,0,0,0,0,1992-06-16T14:51:04.100030Z,-999.0,-999.0
27,-999.0,-999.0,-1,-1,62,47.92,1.1999999999999997,-999.0,35.7336666666667,140.1075,4.8,2,2,2,2,0,0,0,0,1997-12-06T15:40:47.050004Z,14.796154776677684,-999.0
28,-999.0,-999.0,-1,-1,63,18.78,-999.0,-999.0,36.42,138.505,5.3,0,1,1,0,0,0,0,0,1991-07-14T23:19:10.100001Z,-999.0,-999.0
