,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,36.79,35.52,135.638333333333,6.1,0,0,0,0,1,1,1,1,1990-04-12T05:51:13.700018Z
1,-1,-1,9.72,34.84,139.916666666667,4.6,0,0,0,0,1,1,1,1,1991-05-18T10:02:02.000029Z
2,-1,-1,5.63,35.865,140.685,4.6,0,0,0,0,1,1,1,1,1994-03-14T02:26:59.600030Z
3,-1,-1,9.16,35.757833333333295,136.856333333333,4.6,1,1,1,1,0,0,0,0,2005-06-20T14:04:28.029972Z
4,-1,-1,31.99,34.994666666666696,138.043833333333,4.6,1,1,1,1,0,0,0,0,1996-10-05T09:51:15.439967Z
5,-1,-1,64.78,33.4076666666667,131.869,4.5,1,1,1,1,0,0,0,0,2003-05-31T03:58:23.910013Z
6,-1,-1,11.14,32.1283333333333,131.178333333333,4.1,0,0,0,0,1,1,1,1,1990-06-24T05:21:12.500031Z
7,-1,-1,13.67,35.6885,136.422666666667,4.4,1,1,1,1,0,0,0,0,2006-02-16T23:10:45.449962Z
8,-1,-1,56.06,36.4526666666667,140.60399999999998,4.1,0,0,0,0,1,1,1,1,2004-07-20T11:46:37.969971Z
9,-1,-1,38.26,35.5218333333333,136.291,4.0,1,1,1,1,0,0,0,0,1995-08-15T14:08:52.609999Z
10,-1,-1,13.04,35.746666666666705,139.13,4.1,0,0,0,0,1,1,1,1,1992-12-18T08:14:35.299963Z
11,-1,-1,9.59,42.6666666666667,143.421666666667,4.3,0,0,0,0,1,1,1,1,1994-03-18T14:56:00.400012Z
12,-1,-1,67.7,35.803166666666705,140.067833333333,4.1,0,0,0,0,1,1,1,1,2008-04-10T09:54:02.090019Z
13,-1,-1,13.36,33.825,132.307166666667,4.5,1,1,1,1,0,0,0,0,2010-02-21T11:49:44.870013Z
14,-1,-1,14.69,35.2525,139.10399999999998,4.1,0,0,0,0,1,1,1,1,1997-11-04T10:31:08.369967Z
15,-1,-1,2.18,39.3666666666667,141.543333333333,4.1,1,1,1,1,0,0,0,0,1993-09-06T05:44:22.500036Z
16,-1,-1,54.41,36.4253333333333,140.648666666667,4.2,1,1,1,1,0,0,0,0,2009-10-01T19:43:03.419981Z
17,-1,-1,11.17,38.585,141.335,5.8,0,0,0,0,0,1,1,0,1993-11-27T15:11:23.800013Z
18,-1,-1,14.24,42.73,141.55,4.9,2,2,2,2,0,0,0,0,1993-03-05T15:55:01.199968Z
19,-1,-1,24.13,35.065,138.585833333333,4.9,1,1,1,1,0,0,0,0,1995-04-18T20:26:25.260003Z
20,-1,-1,38.68,31.6376666666667,131.476333333333,4.0,1,1,1,1,0,0,0,0,2005-02-18T11:56:00.689972Z
21,-1,-1,42.96,35.2306666666667,136.84016666666702,4.8,1,1,1,1,0,0,0,0,2005-12-24T11:01:55.019969Z
22,-1,-1,0.17,36.223333333333294,137.67666666666702,4.6,0,0,0,0,1,1,1,1,1990-04-01T02:42:00.200013Z
23,-1,-1,68.45,35.654,140.1685,4.3,0,0,0,0,1,1,1,1,2010-12-06T03:20:02.310004Z
24,-1,-1,43.98,35.888000000000005,140.612833333333,4.5,1,1,1,1,0,0,0,0,2002-01-15T21:59:46.409998Z
25,-1,-1,35.93,42.209166666666704,142.498,4.4,1,1,1,1,0,0,0,0,2010-11-04T05:33:48.139998Z
