,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,55.67,35.7445,140.7365,4.5,0,1,1,0,0,0,0,0,1996-06-12T01:14:58.539983Z
1,-1,-1,9.16,35.757833333333295,136.856333333333,4.6,1,1,1,1,0,0,0,0,2005-06-20T14:04:28.029972Z
2,-1,-1,9.2,43.25,145.705,5.4,0,1,1,0,0,0,0,0,1991-07-10T14:52:05.399969Z
3,-1,-1,13.67,35.6885,136.422666666667,4.4,1,1,1,1,0,0,0,0,2006-02-16T23:10:45.449962Z
4,-1,-1,14.8,35.005,139.113333333333,5.2,1,1,1,1,0,0,0,0,1990-06-27T06:54:46.800036Z
5,-1,-1,7.73,35.6183333333333,140.216666666667,4.7,1,1,1,1,0,0,0,0,1990-12-16T14:23:54.399988Z
6,-1,-1,5.95,36.1416666666667,139.86666666666702,4.5,1,1,1,1,0,0,0,0,1990-03-03T00:07:30.800029Z
7,-1,-1,51.24,36.0963333333333,139.855833333333,4.6,1,1,1,1,0,0,0,0,1998-03-08T13:46:48.369998Z
8,-1,-1,5.53,36.4683333333333,140.586666666667,4.5,1,1,1,1,0,0,0,0,1990-01-01T18:03:13.299957Z
9,-1,-1,42.7,33.3488333333333,132.3565,4.9,1,1,1,1,0,0,0,0,2002-10-13T19:06:32.080036Z
10,-1,-1,2.6,44.8783333333333,142.761666666667,4.9,1,1,1,1,0,0,0,0,1990-04-25T14:16:15.500033Z
11,-1,-1,6.0,36.0866666666667,139.881666666667,4.9,1,1,1,1,0,0,0,0,1992-11-28T09:46:48.299986Z
12,-1,-1,36.12,35.4866666666667,135.62,5.1,0,1,1,0,0,0,0,0,1994-04-16T11:32:03.399971Z
13,-1,-1,24.13,35.065,138.585833333333,4.9,1,1,1,1,0,0,0,0,1995-04-18T20:26:25.260003Z
14,-1,-1,58.12,36.443000000000005,140.613,4.9,1,2,2,1,0,0,0,0,2003-08-04T20:57:14.749981Z
15,-1,-1,58.57,36.2726666666667,140.563333333333,4.4,1,1,1,1,0,0,0,0,2004-10-07T22:01:35.850030Z
16,-1,-1,0.17,36.223333333333294,137.67666666666702,4.6,0,0,0,0,1,1,1,1,1990-04-01T02:42:00.200013Z
17,-1,-1,57.91,36.4568333333333,140.617833333333,4.4,2,2,2,2,0,0,0,0,2002-07-27T17:58:57.809973Z
18,-1,-1,7.19,42.305,142.638333333333,4.6,2,2,2,2,0,0,0,0,1991-11-08T21:04:37.800012Z
19,-1,-1,57.58,36.4336666666667,140.669333333333,4.4,1,1,1,1,0,0,0,0,1998-04-11T19:07:41.479972Z
20,-1,-1,60.65,42.03283333333329,142.593333333333,4.6,1,1,1,1,0,0,0,0,2006-04-26T23:10:36.969964Z
21,-1,-1,68.05,35.6733333333333,140.130833333333,4.5,0,0,0,0,1,1,1,1,2010-03-16T07:30:31.990030Z
22,-1,-1,5.55,36.06,139.946666666667,4.7,1,1,1,1,0,0,0,0,1990-04-09T00:52:55.999983Z
23,-1,-1,19.12,37.2703333333333,138.79566666666702,5.2,2,2,2,2,0,0,0,0,1998-02-21T09:55:41.809957Z
24,-1,-1,47.1,36.056999999999995,139.949333333333,4.4,1,1,1,1,0,0,0,0,2008-03-09T06:13:44.850002Z
25,-1,-1,0.39,35.1816666666667,138.983333333333,4.9,0,0,0,0,1,1,1,1,1994-10-25T15:06:17.500004Z
26,-1,-1,34.84,45.455,142.411666666667,6.1,0,1,0,0,0,0,0,0,1992-06-16T14:51:04.100030Z
27,-1,-1,47.92,35.7336666666667,140.1075,4.8,2,2,2,2,0,0,0,0,1997-12-06T15:40:47.050004Z
28,-1,-1,18.78,36.42,138.505,5.3,0,1,1,0,0,0,0,0,1991-07-14T23:19:10.100001Z
29,-1,-1,65.85,36.0436666666667,140.10333333333298,4.5,1,1,1,1,0,0,0,0,2003-01-31T17:53:42.489968Z
30,-1,-1,69.37,36.107,140.04083333333298,4.6,1,1,1,1,0,0,0,0,1995-08-27T14:32:22.820003Z
31,-1,-1,12.38,35.933333333333294,136.378166666667,4.8,1,1,1,1,0,0,0,0,2004-10-05T08:33:51.490000Z
32,-1,-1,5.44,35.65333333333329,140.733333333333,5.2,1,1,1,1,0,0,0,0,1992-05-29T02:58:32.199973Z
33,-1,-1,50.81,42.3526666666667,143.041833333333,4.6,1,1,1,1,0,0,0,0,2005-08-16T08:29:41.630000Z
34,-1,-1,5.15,36.545,140.53,4.4,1,1,1,1,0,0,0,0,1990-05-29T23:23:17.500017Z
35,-1,-1,55.64,42.3375,143.799,4.5,0,0,0,0,1,1,1,1,2010-07-28T08:06:43.799966Z
36,-1,-1,54.37,42.3153333333333,143.003333333333,4.8,0,2,2,0,0,0,0,0,2009-04-05T17:00:25.710013Z
37,-1,-1,6.67,42.29,143.121666666667,5.0,2,2,2,2,0,0,0,0,1991-09-02T12:03:43.099997Z
38,-1,-1,54.21,36.423,140.7025,4.7,1,1,1,1,0,0,0,0,2003-06-09T18:59:37.730001Z
39,-1,-1,27.19,37.051666666666705,137.101666666667,5.4,1,1,0,0,0,0,0,0,1990-05-17T10:04:07.799980Z
40,-1,-1,5.03,36.4583333333333,140.7,4.6,1,1,1,1,1,1,1,1,1994-08-30T01:55:05.000044Z
41,2,-1,51.72,42.351333333333294,143.088166666667,4.9,0,0,0,0,2,3,3,2,1999-02-09T09:19:39.140034Z
42,-1,-1,65.45,35.998833333333295,140.124,4.8,1,1,1,1,0,0,0,0,2002-07-13T21:45:47.849972Z
43,-1,-1,7.34,36.283333333333296,139.775,4.4,1,1,1,1,0,0,0,0,1990-01-03T21:30:43.599998Z
44,-1,-1,49.79,42.3755,143.5765,4.4,1,1,1,1,0,0,0,0,2003-09-26T05:06:23.430030Z
45,-1,-1,1.11,32.6666666666667,130.061666666667,4.4,1,1,1,1,0,0,0,0,1991-03-17T09:09:14.099972Z
46,-1,-1,41.16,35.9015,140.844666666667,4.6,0,0,0,0,2,2,2,2,2009-04-21T07:54:24.629986Z
