,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,10.06,42.92,144.35333333333298,7.5,190,190,0,0,47,47,0,0,1993-01-15T20:06:07.199973Z
1,1,1,16.06,34.5983333333333,135.035,7.3,691,691,1,1,45,45,0,0,1995-01-17T05:46:51.859978Z
2,1,1,8.96,35.2741666666667,133.349,7.3,860,860,1,1,12,12,0,0,2000-10-06T13:30:17.940015Z
3,1,1,7.77,39.02983333333329,140.880666666667,7.2,1197,1197,3,3,44,44,0,0,2008-06-14T08:43:45.359964Z
4,1,1,9.24,33.7391666666667,130.176333333333,7.0,733,733,5,5,3,3,0,0,2005-03-20T10:53:40.320017Z
5,1,1,10.7,37.2206666666667,136.686,6.9,803,803,3,3,4,4,0,0,2007-03-25T09:41:57.910020Z
6,1,1,16.75,37.556833333333294,138.6095,6.8,345,345,3,3,5,5,0,0,2007-07-16T10:13:22.550019Z
7,5,5,13.08,37.2925,138.867166666667,6.8,1281,1281,29,29,9,9,0,0,2004-10-23T17:56:00.299962Z
8,1,1,46.46,34.1323333333333,132.693666666667,6.7,91,91,1,1,6,6,0,0,2001-03-24T15:27:54.500000Z
9,1,1,8.29,34.4415,131.666166666667,6.6,114,114,0,0,2,2,0,0,1997-06-25T18:50:12.780017Z
10,2,2,11.85,31.972833333333302,130.359,6.6,426,426,11,11,4,4,0,0,1997-03-26T17:31:47.899985Z
11,1,1,23.32,34.7861666666667,138.499333333333,6.5,85,85,1,1,2,2,0,0,2009-08-11T05:07:05.740030Z
12,-1,-1,14.17,37.3063333333333,138.93,6.5,0,0,0,0,0,0,0,0,2004-10-23T18:34:05.690031Z
13,1,1,11.87,38.405,141.171,6.4,300,300,5,5,25,25,1,1,2003-07-26T07:13:31.519986Z
14,5,5,9.24,31.948333333333302,130.302666666667,6.4,45,45,0,0,0,0,0,0,1997-05-13T14:38:27.590001Z
15,-1,-1,9.38,37.354,138.983333333333,6.3,0,0,0,0,0,0,0,0,2004-10-23T18:03:12.649971Z
16,1,1,8.36,43.493333333333304,146.063333333333,6.3,15,15,1,1,1,1,0,0,1994-08-31T18:07:28.999978Z
17,1,1,45.81,38.8965,142.138666666667,6.3,4,4,2,2,4,4,0,0,2002-11-03T12:37:43.620029Z
18,1,1,7.86,39.806,140.901166666667,6.2,16,16,1,1,4,4,0,0,1998-09-03T16:58:17.209986Z
19,1,1,8.58,44.076666666666696,141.6995,6.1,58,58,3,3,1,1,0,0,2004-12-14T14:56:10.539999Z
20,1,1,12.1,41.94,140.786666666667,6.1,7,7,0,0,0,0,0,0,1992-08-24T15:59:41.699985Z
21,1,1,48.06,35.6898333333333,140.7465,6.1,26,26,1,1,4,4,1,1,2000-06-03T17:54:47.700034Z
22,5,5,8.63,38.9081666666667,140.6335,6.1,197,197,14,14,0,0,0,0,1996-08-11T03:12:17.990002Z
23,1,1,51.51,35.726833333333296,140.621166666667,6.1,26,26,3,3,6,6,0,0,2005-04-11T07:22:15.629988Z
24,2,2,11.6,37.291833333333294,139.033333333333,6.1,14,14,2,2,0,0,0,0,2004-10-27T10:40:50.240006Z
25,1,1,36.79,35.52,135.638333333333,6.1,1,1,0,0,3,3,1,1,1990-04-12T05:51:13.700018Z
26,-1,-1,34.84,45.455,142.411666666667,6.1,0,0,0,0,1,1,0,0,1992-06-16T14:51:04.100030Z
27,1,1,1.85,33.923333333333304,131.165,6.0,3,3,0,0,0,0,0,0,1991-10-28T10:09:12.800016Z
28,-1,-1,23.1,34.500833333333304,137.499833333333,6.0,1,1,0,0,1,1,0,0,1997-05-24T02:50:38.420045Z
29,1,1,5.93,35.645,140.726666666667,6.0,10,10,1,1,4,4,0,0,1990-06-01T10:22:09.199999Z
30,-1,-1,11.52,37.253,138.8295,6.0,0,0,0,0,0,0,0,0,2004-10-23T18:11:56.770001Z
31,1,1,0.0,37.396,139.032,5.9,11,11,1,1,0,0,0,0,2004-11-08T11:15:58.550004Z
32,1,1,15.7,43.6426666666667,141.715333333333,5.9,18,18,1,1,0,0,0,0,1995-05-23T19:01:28.930001Z
33,1,1,4.72,34.9606666666667,139.175833333333,5.9,118,118,2,2,410,410,14,14,1998-05-03T11:09:05.310031Z
34,1,1,39.12,34.9281666666667,137.525166666667,5.9,13,13,1,1,2,2,0,0,1997-03-16T14:51:39.139983Z
35,1,1,1.34,35.323333333333295,133.186666666667,5.9,10,10,0,0,6,6,1,1,1991-08-28T10:29:02.200052Z
36,5,5,2.64,34.9556666666667,139.169666666667,5.9,275,275,8,8,133,133,7,7,1997-03-04T12:51:27.230026Z
37,-1,-1,15.2,37.33,138.946833333333,5.8,0,0,0,0,0,0,0,0,2004-10-25T06:04:57.569981Z
38,-1,-1,39.3,32.7988333333333,132.339,5.8,1,1,0,0,1,1,0,0,2001-04-25T23:40:08.390028Z
39,4,4,13.5,33.6781666666667,130.288166666667,5.8,12,12,0,0,0,0,0,0,2005-04-20T06:11:26.829970Z
40,1,1,69.96,35.21883333333329,140.300333333333,5.8,14,14,1,1,3,3,0,0,2003-09-20T12:54:52.200027Z
41,1,1,7.11,34.9415,139.19583333333298,5.8,45,45,5,5,42,42,0,0,2006-04-21T02:50:39.509980Z
42,1,1,48.15,39.674,142.132166666667,5.8,3,3,0,0,2,2,0,0,2004-08-10T15:13:30.980031Z
43,-1,-1,11.17,38.585,141.335,5.8,1,1,0,0,0,0,0,0,1993-11-27T15:11:23.800013Z
44,-1,-1,9.77,38.8661666666667,140.672,5.8,0,0,0,0,0,0,0,0,1996-08-11T08:10:46.600037Z
45,-1,-1,36.37,35.746666666666705,135.32333333333298,5.8,0,0,0,0,0,0,0,0,1992-08-07T20:11:42.699984Z
46,1,1,11.95,42.7516666666667,143.415,5.8,2,2,1,1,2,2,0,0,1991-06-13T05:11:36.299988Z
47,-1,-1,22.53,37.504,138.6445,5.8,0,0,0,0,0,0,0,0,2007-07-16T15:37:40.410019Z
48,1,1,7.62,37.285,140.0255,5.7,106,106,8,8,2,2,1,1,2010-09-29T16:59:55.980029Z
49,1,1,10.49,43.2066666666667,144.44,5.7,4,4,0,0,0,0,0,0,1991-10-25T19:39:03.600029Z
50,1,1,9.23,35.23,139.788333333333,5.7,12,12,1,1,1,1,0,0,1992-02-02T04:04:05.700032Z
51,1,1,38.73,34.2986666666667,136.3215,5.7,6,6,0,0,1,1,0,0,2000-10-31T01:42:52.980016Z
52,-1,-1,14.9,37.34816666666671,138.865,5.7,0,0,0,0,0,0,0,0,2004-10-23T18:07:30.950028Z
53,1,1,46.43,35.4645,140.749,5.7,4,4,0,0,0,0,0,0,1998-06-14T22:17:06.190015Z
54,-1,-1,6.5,38.8863333333333,140.673,5.7,0,0,0,0,0,0,0,0,2008-06-14T09:20:11.829979Z
55,-1,-1,14.79,31.9703333333333,130.322,5.7,0,0,0,0,0,0,0,0,1997-04-03T04:33:23.320020Z
56,-1,-1,12.35,37.295666666666705,138.876166666667,5.7,0,0,0,0,0,0,0,0,2004-10-23T19:45:57.190000Z
57,1,1,65.97,35.9888333333333,140.089833333333,5.7,5,5,0,0,2,2,0,0,2004-10-06T23:40:40.160002Z
58,1,1,0.52,32.085,130.495,5.7,17,17,3,3,0,0,0,0,1994-02-13T02:06:56.299968Z
59,1,1,10.59,35.466,134.49,5.6,306,306,29,29,7,7,0,0,2001-01-12T08:00:04.249980Z
