,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
0,5.1,2018-04-24T00:34:28.999997,2018-04-24T00:34:30.950032Z,2018-04-24T00:34:30.950032Z,37.587,38.524,11.0,4025,933,182,6,0,6,0,9,0,7,0,7,0,1,1,1,1,1
1,5.4,2017-12-11T14:09:56.000001,2017-12-11T14:09:57.490013Z,2017-12-11T14:09:57.490013Z,35.022,45.823,19.0,3991,242,86,2,0,2,0,2,0,2,0,2,7,1,-1,-1,-1,-1
2,5.2,2015-12-26T11:00:49.000001,2015-12-26T11:00:50.860017Z,2015-12-26T11:00:50.860017Z,35.461,27.39,30.0,3772,276,154,3,0,3,0,1,0,1,0,1,0,-1,1,1,-1,-1
3,5.2,1997-01-21T20:47:47.000000,1997-01-21T20:47:48.260004Z,1997-01-21T20:47:48.260004Z,38.07,28.984,12.0,273,764,143,23,0,23,0,25,1,24,1,22,2,1,1,1,1,1
4,5.7,1997-01-22T17:57:21.000003,1997-01-22T17:57:22.400000Z,1997-01-22T17:57:22.400000Z,36.195,35.964,19.0,275,550,55,12,0,10,0,10,0,8,0,8,0,0,0,0,0,0
5,6.2,1995-10-01T15:57:15.000001,1995-10-01T15:57:16.530012Z,1995-10-01T15:57:16.530012Z,38.038,30.113,18.0,96,785,11,357,30,326,30,396,26,332,26,332,32,1,1,1,1,1
6,5.3,2006-02-06T04:08:02.000001,2006-02-06T04:08:03.950017Z,2006-02-06T04:08:03.950017Z,42.65,43.499,23.0,1623,124,108,49,0,32,0,38,0,25,0,10,0,1,1,1,1,1
7,6.2,1998-06-27T13:55:54.000002,1998-06-27T13:55:55.919965Z,1998-06-27T13:55:55.919965Z,36.931,35.28,37.0,406,740,10,42,0,42,0,31,0,21,0,20,0,1,1,1,1,1
8,5.1,2008-12-28T22:58:57.999997,2008-12-28T22:58:59.439972Z,2008-12-28T22:58:59.439972Z,40.378,25.793,8.0,2451,1201,234,21,1,20,1,25,1,22,1,19,1,1,1,1,1,1
9,5.7,2007-09-23T00:54:28.000000,2007-09-23T00:54:29.480033Z,2007-09-23T00:54:29.480033Z,35.111,27.065,12.0,1760,1248,52,40,6,34,3,30,1,22,1,21,3,1,1,1,1,1
10,5.6,2001-06-10T13:11:03.000000,2001-06-10T13:11:04.169971Z,2001-06-10T13:11:04.169971Z,38.541,25.593,32.0,768,515,63,99,0,94,0,96,2,81,2,79,6,1,1,1,1,1
11,5.6,2000-11-15T15:05:35.000002,2000-11-15T15:05:36.620021Z,2000-11-15T15:05:36.620021Z,38.407,42.953,48.0,696,768,66,64,0,64,0,25,0,24,0,20,0,1,1,1,1,1
12,5.3,1998-03-09T11:21:20.000000,1998-03-09T11:21:21.100035Z,1998-03-09T11:21:21.100035Z,36.013,28.489,64.0,382,349,99,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1
13,5.2,1998-04-04T16:16:49.000002,1998-04-04T16:16:50.030034Z,1998-04-04T16:16:50.030034Z,38.089,30.048,16.0,385,563,138,4,0,4,0,3,0,2,0,2,1,1,1,1,-1,1
14,5.9,2005-01-25T16:44:10.999997,2005-01-25T16:44:12.179968Z,2005-01-25T16:44:12.179968Z,37.574,43.683,22.0,1369,1108,25,129,4,127,4,79,1,65,1,62,3,1,1,1,1,1
15,6.0,2015-04-16T18:07:41.999998,2015-04-16T18:07:43.609958Z,2015-04-16T18:07:43.609958Z,35.195,26.837,22.0,3686,916,15,145,0,135,0,157,0,134,0,132,1,1,1,1,1,1
16,5.1,2001-10-30T21:00:04.000002,2001-10-30T21:00:05.410019Z,2001-10-30T21:00:05.410019Z,35.865,29.77,5.0,808,48,238,1,0,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1
17,5.8,2011-05-19T20:15:24.000002,2011-05-19T20:15:25.089957Z,2011-05-19T20:15:25.089957Z,39.128,29.07,11.0,2998,996,30,972,2,615,2,738,2,638,2,638,13,1,1,1,1,1
18,5.2,1995-04-13T04:08:01.999997,1995-04-13T04:08:03.969973Z,1995-04-13T04:08:03.969973Z,40.829,27.803,25.0,57,748,155,8,0,8,0,10,0,8,0,7,8,1,1,1,1,1
19,5.8,1999-10-05T01:04:56.000000,1999-10-05T01:04:57.200044Z,1999-10-05T01:04:57.200044Z,36.793,28.205,12.0,538,248,32,5,2,5,2,4,1,2,1,2,2,2,2,2,2,2
20,5.8,2005-03-14T01:55:54.999998,2005-03-14T01:55:56.680030Z,2005-03-14T01:55:56.680030Z,39.328,40.91,9.0,1398,1105,29,106,25,91,25,130,22,86,22,79,24,3,3,4,3,4
21,5.4,1996-04-02T07:59:23.999998,1996-04-02T07:59:25.749968Z,1996-04-02T07:59:25.749968Z,37.814,26.867,14.0,156,779,87,66,0,65,0,20,0,20,0,19,0,1,1,1,1,1
22,5.1,2009-02-17T05:28:19.999998,2009-02-17T05:28:21.570034Z,2009-02-17T05:28:21.570034Z,39.132,29.054,15.0,2501,1193,203,82,0,37,0,65,1,42,1,41,1,1,1,1,1,1
23,6.1,2003-01-27T05:26:21.999999,2003-01-27T05:26:23.110014Z,2003-01-27T05:26:23.110014Z,39.479,39.848,10.0,996,1137,13,132,0,128,0,159,0,128,0,128,0,1,1,1,1,1
24,6.1,1995-12-05T18:52:40.000001,1995-12-05T18:52:41.020030Z,1995-12-05T18:52:41.020030Z,39.521,40.132,23.0,121,322,14,5,1,5,1,7,1,5,1,5,2,2,2,2,2,2
25,7.5,1999-08-17T00:01:39.000001,1999-08-17T00:01:40.630001Z,1999-08-17T00:01:40.630001Z,40.797,29.995,16.0,519,1127,1,1393,0,757,0,2930,40,802,40,802,67,1,1,2,1,2
26,5.6,2017-03-02T11:07:26.000000,2017-03-02T11:07:27.210000Z,2017-03-02T11:07:27.210000Z,37.619,38.432,12.0,3900,964,62,75,0,67,0,77,0,67,0,67,0,1,1,1,1,1
27,5.3,2013-09-17T04:09:13.000001,2013-09-17T04:09:14.350028Z,2013-09-17T04:09:14.350028Z,42.094,45.794,13.0,3499,60,120,3,0,3,0,2,0,2,0,2,0,-1,1,1,-1,-1
28,5.4,1999-04-06T00:08:23.999998,1999-04-06T00:08:25.760031Z,1999-04-06T00:08:25.760031Z,39.376,38.169,11.0,475,704,92,13,0,13,0,3,0,3,0,3,0,1,1,1,1,1
29,5.1,2013-07-30T05:33:07.000000,2013-07-30T05:33:08.610018Z,2013-07-30T05:33:08.610018Z,40.312,25.83,4.0,3476,919,207,6,1,6,1,7,0,6,0,6,2,1,1,1,1,1
30,6.0,1997-11-14T21:38:50.999999,1997-11-14T21:38:52.620027Z,1997-11-14T21:38:52.620027Z,38.844,25.788,13.0,359,751,18,87,0,82,0,98,0,77,0,77,1,1,1,1,1,1
31,6.4,2003-05-01T00:27:02.999998,2003-05-01T00:27:04.729972Z,2003-05-01T00:27:04.729972Z,38.999,40.464,10.0,1030,1136,6,597,0,546,0,650,0,547,0,547,2,1,1,1,1,1
32,5.4,2000-06-13T01:43:12.999999,2000-06-13T01:43:14.689997Z,2000-06-13T01:43:14.689997Z,35.12,27.066,9.0,638,140,85,43,1,42,1,4,0,3,0,2,1,2,2,2,2,2
33,5.6,2007-02-21T11:05:27.000001,2007-02-21T11:05:28.580036Z,2007-02-21T11:05:28.580036Z,38.34,39.335,4.0,1890,1269,56,117,0,114,0,131,11,119,11,110,1,1,1,1,2,2
34,6.2,1996-07-20T00:00:42.000002,1996-07-20T00:00:43.849983Z,1996-07-20T00:00:43.849983Z,36.103,27.064,28.0,211,259,12,181,0,179,0,175,0,156,0,153,1,1,1,1,1,1
35,5.9,1996-08-14T03:01:04.000002,1996-08-14T03:01:05.620012Z,1996-08-14T03:01:05.620012Z,40.335,35.184,11.0,218,201,23,165,4,139,4,1,0,0,0,0,0,-1,3,5,-1,-1
36,5.1,2014-12-06T01:45:04.999999,2014-12-06T01:45:06.799970Z,2014-12-06T01:45:06.799970Z,38.901,26.278,6.0,3649,889,227,18,0,17,0,18,0,17,0,17,0,2,2,2,2,2
37,5.2,2007-01-21T07:38:58.000001,2007-01-21T07:38:59.130037Z,2007-01-21T07:38:59.130037Z,39.6,42.895,8.0,1859,1266,133,29,1,28,1,22,0,21,0,17,5,1,1,1,1,1
38,5.7,2009-06-19T14:05:00.000002,2009-06-19T14:05:00.549972Z,2009-06-19T14:05:00.549972Z,35.344,28.481,39.0,2604,833,54,31,14,30,14,36,4,31,4,31,9,1,1,1,1,1
