,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,1,5.2,35.0016,44.182,29.8,2012-03-05T06:50:37.620005Z,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,0
1,2,5.0,35.3787,39.6237,17.0,1996-01-11T23:03:48.240004Z,1,0,1,0,-999.0,-999.0,-999.0,0.4,-999.0,inf,0,0,0,0,0,0
2,3,4.6,40.443,42.399,5.5,2000-03-20T06:45:32.600014Z,2,0,2,0,-999.0,-999.0,-999.0,0.1,-999.0,3.01380069563,0,0,0,0,0,0
3,4,5.1,35.3745,45.1844,28.6,1999-01-15T19:14:12.329984Z,1,0,1,0,-999.0,-999.0,-999.0,0.6,-999.0,inf,0,0,0,0,0,0
4,5,4.5,43.237,44.942,35.0,2001-12-12T01:02:58.599974Z,1,0,1,0,-999.0,-999.0,-999.0,0.1,-999.0,inf,0,0,0,0,0,0
5,6,4.9,39.4712,32.6353,11.8,1999-08-24T17:33:22.089979Z,0,1,0,1,0.5,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
6,7,4.4,43.7761,42.9368,8.1,2012-02-01T04:28:31.570033Z,0,1,0,1,0.1,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
7,8,4.5,43.213,45.717,20.0,2001-04-23T04:09:19.210029Z,0,1,0,1,0.2,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
8,9,4.8,37.364,44.524,43.3,2000-02-26T00:43:49.160030Z,0,1,0,1,0.6,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
9,10,4.8,39.0807,43.8139,7.5,2015-10-29T09:46:40.800027Z,0,1,0,1,0.6,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
10,11,4.3,43.0431,45.3666,16.7,2005-01-21T14:05:27.950005Z,0,1,0,1,0.1,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
11,12,4.7,38.154,38.855,4.6,2000-05-07T23:10:53.340012Z,1,0,1,0,-999.0,-999.0,-999.0,0.5,-999.0,inf,0,0,0,0,0,0
12,13,4.4,41.1848,45.7007,10.0,2006-07-07T05:01:24.279973Z,0,1,0,1,0.2,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
13,14,4.4,42.5404,43.3463,10.0,2003-01-06T14:11:41.809977Z,0,1,0,1,0.2,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
14,15,4.7,38.405,45.25,33.0,2002-04-07T22:50:30.590016Z,1,0,1,0,-999.0,-999.0,-999.0,0.5,-999.0,inf,0,0,0,0,0,0
15,16,4.2,42.1731,45.514,9.4,2010-02-24T16:53:11.940026Z,0,1,0,1,0.0,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
16,17,4.1,43.674,45.132,51.0,1998-05-28T08:41:08.799960Z,0,1,0,1,0.0,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
17,18,4.3,37.2639,44.3209,12.1,2007-09-21T10:21:19.140021Z,1,0,1,0,-999.0,-999.0,-999.0,0.2,-999.0,inf,0,0,0,0,0,0
