,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999.0,-1,-1,6,28.6,-999.0,-999.0,35.3745,45.1844,5.1,0,1,1,0,0,0,0,0,1999-01-15T19:14:12.329984Z,-999.0,-999.0
1,-999.0,-999.0,-1,-1,13,16.3,-999.0,-999.0,41.2788,44.0014,5.0,0,1,1,0,0,0,0,0,1999-01-14T22:45:17.890012Z,-999.0,-999.0
2,-999.0,-999.0,-1,-1,16,45.1,0.8000000000000007,-999.0,35.5633,31.2505,4.9,1,1,1,1,0,0,0,0,2015-08-18T21:19:43.570013Z,inf,-999.0
3,-999.0,-999.0,-1,-1,39,14.6,1.1,-999.0,35.4361,27.2831,5.0,1,1,1,1,0,0,0,0,1997-05-09T18:41:01.769971Z,inf,-999.0
4,-999.0,-999.0,-1,-1,47,11.0,1.1,-999.0,38.658,40.1155,5.0,1,1,1,1,0,0,0,0,1998-12-20T03:21:16.749995Z,inf,-999.0
5,-999.0,-999.0,-1,-1,48,5.0,1.1999999999999997,-999.0,35.865,29.77,5.1,1,1,1,1,0,0,0,0,2001-10-30T21:00:05.410019Z,inf,-999.0
6,-999.0,-999.0,-1,-1,56,2.1,1.2000000000000002,-999.0,38.6656,45.8127,5.0,1,1,1,1,0,0,0,0,2008-09-02T20:00:51.010017Z,inf,-999.0
7,-999.0,-999.0,-1,-1,60,13.6,1.5,-999.0,42.0939,45.7945,5.3,2,2,2,2,0,0,0,0,2013-09-17T04:09:14.350028Z,0.08873979052119624,-999.0
8,-999.0,-999.0,-1,-1,61,28.5,1.0999999999999996,-999.0,35.671,27.473000000000003,5.1,2,2,2,2,0,0,0,0,2001-05-01T06:00:56.039990Z,1.0639988537278418,-999.0
9,-999.0,-999.0,1,1,62,8.1,0.5999999999999996,-999.0,38.4288,45.4421,5.0,11,12,12,11,0,0,0,0,2013-04-18T10:39:39.019963Z,0.1990985177747196,-999.0
10,-999.0,-999.0,1,1,69,14.4,1.2000000000000002,-999.0,40.4354,42.3783,5.7,4,7,7,4,0,0,0,0,1999-12-03T17:06:55.949970Z,0.2329577816987931,-999.0
11,-999.0,-999.0,5,5,74,19.8,0.5999999999999996,0.2999999999999998,36.6365,27.1942,5.1,4,4,4,4,1,1,1,1,1996-07-24T00:43:22.559983Z,0.3682840353111924,inf
12,-999.0,-999.0,-1,-1,94,26.8,1.2000000000000002,-999.0,35.2982,27.7683,4.9,1,1,1,1,0,0,0,0,2010-01-17T20:16:05.799995Z,inf,-999.0
13,-999.0,-999.0,1,1,124,23.5,0.7999999999999998,-999.0,42.6504,43.4989,5.3,25,38,38,25,0,0,0,0,2006-02-06T04:08:03.950017Z,0.4452420203979722,-999.0
14,-999.0,-999.0,-1,-1,128,14.5,-999.0,-999.0,43.4216,28.6636,5.0,0,1,1,0,0,0,0,0,2009-08-05T07:49:03.690015Z,-999.0,-999.0
15,-999.0,-999.0,2,2,140,9.8,0.40000000000000036,-999.0,35.12,27.066,5.4,3,4,4,3,0,0,0,0,2000-06-13T01:43:14.689997Z,0.42346896367364417,-999.0
16,-999.0,-999.0,-1,-1,152,6.0,1.4000000000000004,-999.0,39.5523,36.8505,4.9,1,1,1,1,0,0,0,0,1999-06-11T05:25:18.669970Z,inf,-999.0
17,-999.0,-999.0,1,-1,176,19.2,1.0000000000000004,-999.0,35.1019,25.8309,4.9,2,3,3,2,0,0,0,0,1998-05-05T14:38:11.919980Z,0.03690205852021021,-999.0
