,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,5.2,35.0016,44.182,29.8,2012-03-05T06:50:37.620005Z,0,0,0,1,0,0,0,0,0,0
1,5.0,35.3787,39.6237,17.0,1996-01-11T23:03:48.240004Z,1,0,1,0,0,0,0,0,0,0
2,4.6,40.443,42.399,5.5,2000-03-20T06:45:32.600014Z,2,0,2,0,0,0,0,0,0,0
3,5.1,35.3745,45.1844,28.6,1999-01-15T19:14:12.329984Z,1,0,1,0,0,0,0,0,0,0
4,4.5,43.237,44.942,35.0,2001-12-12T01:02:58.599974Z,1,0,1,0,0,0,0,0,0,0
5,4.9,39.4712,32.6353,11.8,1999-08-24T17:33:22.089979Z,0,1,0,1,0,0,0,0,0,0
6,4.4,43.7761,42.9368,8.1,2012-02-01T04:28:31.570033Z,0,1,0,1,0,0,0,0,0,0
7,4.5,43.213,45.717,20.0,2001-04-23T04:09:19.210029Z,0,1,0,1,0,0,0,0,0,0
8,4.8,37.364,44.524,43.3,2000-02-26T00:43:49.160030Z,0,1,0,1,0,0,0,0,0,0
9,4.8,39.0807,43.8139,7.5,2015-10-29T09:46:40.800027Z,0,1,0,1,0,0,0,0,0,0
10,4.3,43.0431,45.3666,16.7,2005-01-21T14:05:27.950005Z,0,1,0,1,0,0,0,0,0,0
11,4.7,38.154,38.855,4.6,2000-05-07T23:10:53.340012Z,1,0,1,0,0,0,0,0,0,0
12,4.4,41.1848,45.7007,10.0,2006-07-07T05:01:24.279973Z,0,1,0,1,0,0,0,0,0,0
13,4.4,42.5404,43.3463,10.0,2003-01-06T14:11:41.809977Z,0,1,0,1,0,0,0,0,0,0
14,4.7,38.405,45.25,33.0,2002-04-07T22:50:30.590016Z,1,0,1,0,0,0,0,0,0,0
15,4.2,42.1731,45.514,9.4,2010-02-24T16:53:11.940026Z,0,1,0,1,0,0,1,0,1,0
16,4.1,43.674,45.132,51.0,1998-05-28T08:41:08.799960Z,0,1,0,1,0,0,1,0,1,0
17,4.3,37.2639,44.3209,12.1,2007-09-21T10:21:19.140021Z,1,0,1,0,0,0,0,0,0,0
18,4.3,43.453,43.023,22.0,2002-03-23T17:48:59.900030Z,1,2,1,2,4,4,0,0,0,0
19,4.1,37.8195,29.3782,10.7,2015-11-18T10:35:46.859967Z,0,1,0,1,0,0,1,0,1,0
20,4.2,43.4906,45.9573,33.0,2005-09-13T03:36:38.270012Z,1,0,1,0,0,0,0,0,0,0
21,5.0,37.216,44.154,23.6,2002-02-28T00:46:29.239971Z,0,1,0,1,0,0,0,0,0,0
22,4.4,38.3494,44.8222,10.0,2018-08-03T15:19:54.570024Z,1,0,1,0,0,0,0,0,0,0
23,4.1,42.631,45.269,19.0,1998-05-24T11:20:17.699967Z,1,0,1,0,0,0,0,1,0,1
24,4.3,42.005,45.969,5.8,2001-09-19T23:54:00.969982Z,1,1,1,1,0,0,0,1,0,1
25,4.1,43.2973,45.6489,0.7,2008-07-18T08:18:26.609964Z,1,0,1,0,0,0,0,1,0,1
26,4.2,41.3775,45.282,10.0,2008-05-03T16:55:28.240001Z,0,1,0,1,0,0,0,0,0,0
27,4.7,37.227,44.17,33.0,2001-08-12T00:42:08.699994Z,1,0,1,0,0,0,0,0,0,0
28,4.1,42.9622,41.1615,0.9,2007-12-12T00:28:39.720033Z,0,1,0,1,0,0,1,0,1,0
29,4.5,42.5806,42.9434,10.9,1999-05-22T14:19:20.050008Z,0,1,0,1,0,0,0,0,0,0
30,4.1,43.3882,45.2874,19.8,2008-11-08T03:42:13.000031Z,0,1,0,1,0,0,1,0,1,0
31,4.2,43.184,44.785,17.0,2009-01-22T10:29:45.099970Z,1,0,1,0,0,0,0,0,0,0
32,4.4,39.755,41.557,10.0,2001-11-29T19:36:42.519975Z,1,0,1,0,0,0,0,0,0,0
33,4.2,35.294,44.728,33.0,2001-11-26T14:13:50.040019Z,0,1,0,1,0,0,0,0,0,0
34,4.1,35.0493,26.7482,23.0,1999-07-24T00:01:55.309956Z,1,0,1,0,0,0,0,1,0,1
35,4.1,42.7576,26.104,8.4,2015-02-05T06:16:45.209997Z,1,0,1,0,0,0,0,1,0,1
36,4.3,37.891,42.797,9.0,2001-10-14T00:41:24.229998Z,1,0,1,0,0,0,0,0,0,0
37,4.2,41.9581,45.9264,29.6,1999-01-05T20:19:41.930024Z,1,0,1,0,0,0,0,0,0,0
38,4.1,42.8,43.9,19.0,2001-10-30T22:47:05.200022Z,0,1,0,1,0,0,1,0,1,0
39,4.4,41.0239,45.1888,4.9,2008-06-20T23:41:44.949985Z,1,0,1,0,0,0,0,0,0,0
40,4.1,38.665,44.7341,3.1,2013-06-25T13:26:04.110030Z,1,1,1,1,0,0,1,1,1,1
