,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,28.6,35.3745,45.1844,5.1,0,1,1,0,0,0,0,0,1999-01-15T19:14:12.329984Z
1,-1,-1,16.3,41.2788,44.0014,5.0,0,1,1,0,0,0,0,0,1999-01-14T22:45:17.890012Z
2,-1,-1,45.1,35.5633,31.2505,4.9,1,1,1,1,0,0,0,0,2015-08-18T21:19:43.570013Z
3,-1,-1,14.6,35.4361,27.2831,5.0,1,1,1,1,0,0,0,0,1997-05-09T18:41:01.769971Z
4,-1,-1,11.0,38.658,40.1155,5.0,1,1,1,1,0,0,0,0,1998-12-20T03:21:16.749995Z
5,-1,-1,5.0,35.865,29.77,5.1,1,1,1,1,0,0,0,0,2001-10-30T21:00:05.410019Z
6,-1,-1,2.1,38.6656,45.8127,5.0,1,1,1,1,0,0,0,0,2008-09-02T20:00:51.010017Z
7,-1,-1,13.6,42.0939,45.7945,5.3,2,2,2,2,0,0,0,0,2013-09-17T04:09:14.350028Z
8,-1,-1,28.5,35.671,27.473000000000003,5.1,2,2,2,2,0,0,0,0,2001-05-01T06:00:56.039990Z
9,1,1,8.1,38.4288,45.4421,5.0,11,12,12,11,0,0,0,0,2013-04-18T10:39:39.019963Z
10,1,1,14.4,40.4354,42.3783,5.7,4,7,7,4,0,0,0,0,1999-12-03T17:06:55.949970Z
11,5,5,19.8,36.6365,27.1942,5.1,4,4,4,4,1,1,1,1,1996-07-24T00:43:22.559983Z
12,-1,-1,26.8,35.2982,27.7683,4.9,1,1,1,1,0,0,0,0,2010-01-17T20:16:05.799995Z
13,1,1,23.5,42.6504,43.4989,5.3,25,38,38,25,0,0,0,0,2006-02-06T04:08:03.950017Z
14,-1,-1,14.5,43.4216,28.6636,5.0,0,1,1,0,0,0,0,0,2009-08-05T07:49:03.690015Z
15,2,2,9.8,35.12,27.066,5.4,3,4,4,3,0,0,0,0,2000-06-13T01:43:14.689997Z
16,-1,-1,6.0,39.5523,36.8505,4.9,1,1,1,1,0,0,0,0,1999-06-11T05:25:18.669970Z
17,1,-1,19.2,35.1019,25.8309,4.9,2,3,3,2,0,0,0,0,1998-05-05T14:38:11.919980Z
18,-1,-1,10.0,39.9,42.295,5.2,1,1,1,1,0,0,0,0,2002-07-01T05:17:58.039982Z
19,-1,-1,11.0,40.3354,35.184,5.9,0,1,0,0,0,0,0,0,1996-08-14T03:01:05.620012Z
20,-1,-1,19.3,35.0219,45.8227,5.4,2,2,0,0,0,0,0,0,2017-12-11T14:09:57.490013Z
21,2,2,12.0,36.7933,28.2046,5.8,2,4,1,0,1,1,1,1,1999-10-05T01:04:57.200044Z
22,1,1,28.0,36.1028,27.0639,6.2,156,175,33,31,0,0,0,0,1996-07-20T00:00:43.849983Z
23,-1,-1,30.4,35.4608,27.3896,5.2,1,1,1,1,0,0,0,0,2015-12-26T11:00:50.860017Z
24,-1,-1,9.0,38.6775,40.1303,4.9,0,1,1,0,0,0,0,0,2007-01-26T08:20:37.839980Z
25,2,2,23.7,39.5211,40.1322,6.1,5,7,0,0,1,1,1,1,1995-12-05T18:52:41.020030Z
26,1,-1,28.4,38.508,26.033,5.1,1,6,6,1,0,0,0,0,2000-06-29T14:15:26.499997Z
27,-1,-1,24.0,37.8776,26.8352,5.0,1,1,1,1,0,0,0,0,1998-07-09T17:36:49.329963Z
28,-1,-1,2.9,39.7727,41.7681,5.0,2,2,2,2,0,0,0,0,2006-03-21T11:29:05.990000Z
29,-1,-1,19.5,37.4107,29.5697,4.9,1,1,1,1,0,0,0,0,2009-12-04T17:19:48.800033Z
30,1,-1,10.0,38.2414,38.8543,5.1,2,3,3,2,0,0,0,0,2005-11-26T15:56:55.780014Z
31,-1,-1,64.1,36.0129,28.4895,5.3,1,1,0,0,0,0,0,0,1998-03-09T11:21:21.100035Z
32,1,1,11.5,38.8199,29.0341,5.0,4,4,4,4,0,0,0,0,2017-04-21T13:09:21.980020Z
33,1,-1,30.6,35.1753,27.2497,5.3,2,7,6,2,0,0,0,0,2006-04-09T23:27:19.529996Z
34,1,1,9.0,40.7261,34.8417,4.9,3,3,3,3,0,0,0,0,2005-04-29T22:28:04.859989Z
35,1,1,17.2,36.6752,27.2161,5.2,5,5,2,2,0,0,0,0,2011-05-08T06:50:24.320027Z
36,2,2,4.9,38.2175,25.1134,4.9,4,4,4,4,0,0,0,0,2014-04-30T04:03:31.419972Z
37,1,1,15.0,38.5219,25.6115,4.9,3,3,3,3,0,0,0,0,2004-11-22T19:13:33.350021Z
38,-1,-1,7.9,38.8126,33.0716,4.9,2,2,2,2,0,0,0,0,2007-12-13T18:06:21.769987Z
39,1,1,32.0,38.541,25.593000000000004,5.6,81,96,16,11,2,2,2,2,2001-06-10T13:11:04.169971Z
