,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
0,7.9,1976-01-14T16:47:33.000002,1976-01-14T16:47:34.080000Z,1976-01-14T16:47:34.080000Z,-28.43,-177.66,33.0,1,1681,45,2,1,2,1,13,2,3,2,4,2,2,2,2,2,2
1,7.3,1976-07-11T20:41:50.000003,1976-07-11T20:41:51.359999Z,1976-07-11T20:41:51.359999Z,7.41,-78.13,3.0,6,1,212,0,1,0,1,0,1,0,1,0,1,-1,-1,-1,-1,-1
2,7.6,1976-07-27T19:42:55.999998,1976-07-27T19:42:57.599997Z,1976-07-27T19:42:57.599997Z,39.57,117.98,23.0,7,119,104,1,0,1,0,3,0,1,0,1,0,-1,-1,-1,-1,1
3,8.0,1976-08-16T16:11:07.000003,1976-08-16T16:11:08.160002Z,1976-08-16T16:11:08.160002Z,6.26,124.02,33.0,8,1769,28,1,0,1,0,9,0,1,0,2,0,-1,-1,-1,-1,1
4,7.2,1977-03-18T21:43:53.999998,1977-03-18T21:43:55.199999Z,1977-03-18T21:43:55.199999Z,16.77,122.33,37.0,11,912,238,1,0,1,0,4,0,1,0,1,0,-1,-1,-1,-1,2
5,7.3,1977-04-21T04:24:03.999997,1977-04-21T04:24:05.759998Z,1977-04-21T04:24:05.759998Z,-9.97,160.73,33.0,15,365,202,1,3,1,3,7,4,2,3,2,3,4,4,4,4,4
6,8.0,1977-06-22T12:08:27.999997,1977-06-22T12:08:29.759999Z,1977-06-22T12:08:29.759999Z,-22.88,-175.9,65.0,17,1507,23,1,0,1,0,16,0,3,0,3,1,1,-1,-1,1,1
7,8.3,1977-08-19T06:08:53.999999,1977-08-19T06:08:55.679995Z,1977-08-19T06:08:55.679995Z,-11.08,118.46,33.0,19,1499,8,18,1,17,1,38,2,14,1,14,1,1,1,1,1,1
8,7.2,1977-08-26T19:50:00.000002,1977-08-26T19:50:00.960002Z,1977-08-26T19:50:00.960002Z,-59.43,-20.51,33.0,21,118,262,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1
9,7.4,1977-11-23T09:26:19.999997,1977-11-23T09:26:21.120000Z,1977-11-23T09:26:21.120000Z,-31.03,-67.77,13.0,27,889,160,6,0,6,0,8,0,6,0,6,0,1,1,1,1,1
