,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
0,1,7.3,7.41,-78.13,3,1976-07-11T20:41:51.359999Z,1,0,1,0,-999,-999,-999,0.5,-999,inf,-1,-1,3,0,1,0,1,0,0,0,0,0,0,0,0,182.289452,1,1
1,2,7.1,-4.6,140.09,33,1976-06-25T19:18:54.720004Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,133.823798,-1,0
2,3,7,40.41,-125.65,10,1994-09-01T15:15:50.400005Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,1,1
3,5,7.2,30.01,57.79,33,1981-07-28T17:22:24.959998Z,0,0,1,0,-999,-999,-999,-999,-999,-999,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,156.1879214,-1,3
4,14,7,3.4,96.32,33,1976-06-20T20:53:13.919996Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,-1,3
5,18,7,41.61,-125.51,10,1991-08-17T22:17:11.039999Z,1,0,2,0,-999,-999,-999,0.7,-999,inf,-1,-1,1,0,1,0,2,0,0,0,0,0,0,0,0,114.6619326,-1,1
6,27,7,-2.17,136.54,18,2010-06-16T03:16:24.959996Z,1,1,1,1,0.4,-999,inf,0.8,-999,inf,-1,-1,3,1,1,1,1,6.2,0,6.2,0,6.6,0,26.43602754,19.00515546,114.6619326,1,1
7,33,7,-8.06,125.3,25,1977-08-27T07:12:25.920000Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,1,3
8,46,7,28.7,-113.1,13,2012-04-12T07:15:44.640005Z,1,0,1,0,-999,-999,-999,0.9,-999,inf,-1,-1,1,0,1,0,1,0,0,0,0,0,0,0,0,114.6619326,-1,1
9,54,7.2,44.92,149.12,41,1976-01-21T10:05:22.559995Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,1,0,0,0,0,0,0,0,0,0,156.1879214,1,3
10,58,7.1,13.74,124.32,26,1982-01-11T06:10:04.799999Z,0,1,0,2,0.5,-999,inf,-999,-999,-999,-1,-1,3,1,0,2,0,0,0,0,0,6.6,0,0,89.745905,133.823798,1,3
11,73,7.1,0.15,-77.83,12,1987-03-06T04:10:42.239995Z,1,1,1,3,1.1,-999,inf,0.7,-999,inf,1,-1,3,1,1,3,1,6.4,0,6.4,0,6.3,0,17.93521889,140.312448,133.823798,-1,3
12,117,7.1,-35.2,-72.22,40.7,2012-03-25T22:37:03.360005Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,2,0,0,1,0,0,0,0,0,0,0,0,0,133.823798,1,3
13,118,7.2,-59.43,-20.51,33,1977-08-26T19:50:00.960002Z,0,1,0,1,1.4,-999,inf,-999,-999,-999,-1,-1,3,1,0,1,0,0,0,0,0,5.8,0,0,45.31801886,156.1879214,-1,1
14,119,7.6,39.57,117.98,23,1976-07-27T19:42:57.599997Z,0,1,0,3,0.6,-999,inf,-999,-999,-999,1,-1,2,1,0,3,0,0,0,0,0,7,0,0,40.64146094,289.8036301,-1,2
15,167,7,-28.68,-177.62,30,1997-09-20T16:11:34.079998Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,-1,3
16,169,7.1,-17.3,167.59,30,1981-07-15T07:59:05.280002Z,0,2,0,3,1.3,-999,0.62038588,-999,-999,-999,1,-1,1,2,0,3,0,0,0,0,0,5.8,0,0,33.38581692,133.823798,1,3
