,Unnamed: 0.1,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
0,0,0,1,9.1,38.32,142.37,24.4,2011-03-11T05:46:19.199996Z,20,203,20,247,1.1999999999999993,0.914067183269676,6.933249542339604,1.7999999999999998,-999,0.7102045744272317,1,1,0.0,3,1,3,1,7.3,183660.479998,7.3,183660.479998,7.9,-2479394.879997,1189.337239121767,1342.2476218800607,1471.5846019280557,1.0,3.0
1,1,1,2,9.0,3.3,95.78,10.0,2004-12-26T00:58:53.760002Z,2,155,2,310,1.7999999999999998,1.00396188956009,5.242153679658963,3.7,-999,0.6997410957904063,1,1,0.0,1,0,1,0,5.3,2427382.080001,5.3,2427382.080001,7.2,-2427382.080001,716.5459871766514,1236.2622140978378,1260.872407680681,1.0,3.0
2,2,2,3,8.8,-35.85,-72.71,44.8,2010-02-27T06:34:16.319997Z,1,89,1,99,1.4000000000000004,0.8339203643881201,3.00973598866036,3.500000000000001,-999,inf,1,1,3.0,3,0,3,0,5.3,2421843.839995,5.3,2421843.839995,7.4,-2421843.839995,868.4339746779856,1268.412829521836,1388.4626834569187,1.0,3.0
3,3,3,4,8.6,2.33,93.06,20.0,2012-04-11T08:38:32.640004Z,1,29,1,34,0.4000000000000003,-999.0,1.2235306030325743,3.6,-999,inf,2,2,1.0,1,0,1,0,5.0,988580.160008,5.0,988580.160008,8.2,-988580.160008,341.5787418906403,974.4890148032897,1019.3093880125635,-1.0,1.0
4,4,4,5,8.6,2.09,97.11,30.0,2005-03-28T16:09:33.120002Z,10,74,10,97,1.9,0.9949780699950648,2.555681037190209,2.7,-999,0.4518262818311159,1,1,0.0,1,0,3,0,5.9,313476.480003,5.9,313476.480003,6.9,3160157.759995,987.7984165341602,1000.3760554032816,1019.3093880125635,1.0,3.0
5,5,5,6,8.5,-4.44,101.37,34.0,2007-09-12T11:10:27.840000Z,2,36,2,46,0.5999999999999996,0.6541674204400447,1.2401178111893976,3.3,-999,16.736401669466247,1,1,0.0,4,0,5,0,5.2,354646.080003,5.2,354646.080003,7.9,-354646.080003,663.3773168949187,481.43204302910635,873.3572507832988,1.0,3.0
6,6,6,7,8.4,-16.26,-73.64,33.0,2001-06-23T20:33:12.960004Z,0,13,0,21,0.8000000000000007,-999.0,1.061839923541435,-999.0,-999,-999.0,1,1,3.0,3,0,3,0,0.0,0.0,0.0,0.0,7.6,1012832.639998,0.0,584.6683457649092,748.3036028766184,1.0,3.0
7,7,7,8,8.3,-11.08,118.46,33.0,1977-08-19T06:08:55.679995Z,1,14,1,30,1.700000000000001,-999.0,0.7689054630721274,2.6000000000000005,-999,inf,1,1,2.0,1,0,2,0,5.7,3611.51999,5.7,3611.51999,6.6,55563.840009,10.908407480033143,209.8515154194137,641.1560464814495,-1.0,2.0
8,8,8,9,8.3,46.57,153.29,38.9,2006-11-15T11:14:21.119996Z,5,31,5,42,1.6000000000000003,1.1656388691775577,1.1230093753188957,2.4000000000000004,-999,1.1000616034655264,2,1,0.0,2,0,3,0,5.9,222402.239998,5.9,222402.239998,8.1,2612805.120002,203.45613666873007,597.4432076931771,641.1560464814495,1.0,3.0
9,9,9,10,8.3,41.81,143.91,27.0,2003-09-25T19:50:09.599997Z,2,29,2,38,1.0000000000000009,-999.0,1.3139473243088238,2.8000000000000007,-999,0.1143634814533728,1,1,0.0,3,0,4,0,5.5,2281409.279993,5.5,2281409.279993,7.3,-2281409.279993,425.837510323699,622.7704599243428,641.1560464814495,1.0,3.0
