,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
0,7.3,7.41,-78.13,3.0,1976-07-11T20:41:51.359999Z,1,0,1,0,-1,-1,3.0,0,1,0,1
1,7.1,-4.6,140.09,33.0,1976-06-25T19:18:54.720004Z,0,0,0,1,-1,-1,1.0,0,0,1,0
2,7.0,40.41,-125.65,10.0,1994-09-01T15:15:50.400005Z,0,0,0,1,-1,-1,3.0,0,0,1,0
3,7.2,30.01,57.79,33.0,1981-07-28T17:22:24.959998Z,0,0,1,0,-1,-1,0.0,0,0,0,1
4,7.0,3.4,96.32,33.0,1976-06-20T20:53:13.919996Z,0,0,0,1,-1,-1,1.0,0,0,1,0
5,7.0,41.61,-125.51,10.0,1991-08-17T22:17:11.039999Z,1,0,2,0,-1,-1,1.0,0,1,0,2
6,7.0,-2.17,136.54,18.0,2010-06-16T03:16:24.959996Z,1,1,1,1,-1,-1,3.0,1,1,1,1
7,7.0,-8.06,125.3,25.0,1977-08-27T07:12:25.920000Z,0,0,0,1,-1,-1,3.0,0,0,1,0
8,7.0,28.7,-113.1,13.0,2012-04-12T07:15:44.640005Z,1,0,1,0,-1,-1,1.0,0,1,0,1
9,7.2,44.92,149.12,41.0,1976-01-21T10:05:22.559995Z,0,0,0,1,-1,-1,3.0,0,0,1,0
10,7.1,13.74,124.32,26.0,1982-01-11T06:10:04.799999Z,0,1,0,2,-1,-1,3.0,1,0,2,0
11,7.1,0.15,-77.83,12.0,1987-03-06T04:10:42.239995Z,1,1,1,3,1,-1,3.0,1,1,3,1
12,7.1,-35.2,-72.22,40.7,2012-03-25T22:37:03.360005Z,0,0,0,1,-1,-1,2.0,0,0,1,0
13,7.2,-59.43,-20.51,33.0,1977-08-26T19:50:00.960002Z,0,1,0,1,-1,-1,3.0,1,0,1,0
14,7.6,39.57,117.98,23.0,1976-07-27T19:42:57.599997Z,0,1,0,3,1,-1,2.0,1,0,3,0
15,7.0,-28.68,-177.62,30.0,1997-09-20T16:11:34.079998Z,0,0,0,1,-1,-1,3.0,0,0,1,0
16,7.1,-17.3,167.59,30.0,1981-07-15T07:59:05.280002Z,0,2,0,3,1,-1,1.0,2,0,3,0
17,7.1,-0.97,-21.86,10.0,1982-01-03T14:09:53.279998Z,0,1,0,1,-1,-1,0.0,1,0,1,0
18,7.2,15.77,119.74,33.0,1999-12-11T18:03:35.999995Z,0,1,0,2,-1,-1,2.0,1,0,2,0
19,7.0,8.25,122.4,24.0,1978-06-14T12:32:32.640002Z,0,0,0,1,-1,-1,3.0,0,0,1,0
20,7.0,14.05,-91.94,69.0,1983-12-02T03:09:04.320001Z,0,1,0,2,-1,-1,1.0,1,0,2,0
21,7.1,-16.39,-72.66,53.0,1979-02-16T10:08:49.919995Z,0,1,0,1,-1,-1,0.0,1,0,1,0
22,7.0,39.12,44.03,36.0,1976-11-24T12:22:19.199998Z,0,0,0,1,-1,-1,2.0,0,0,1,0
23,7.3,-9.97,160.73,33.0,1977-04-21T04:24:05.759998Z,3,2,4,7,4,4,1.0,2,3,7,4
24,7.3,9.89,-84.89,19.0,1990-03-25T13:22:56.639995Z,0,1,0,5,1,-1,3.0,1,0,5,0
25,7.4,17.81,-101.28,49.0,1979-03-14T11:07:17.760001Z,1,1,4,1,1,-1,1.0,1,1,1,4
26,7.1,7.12,-76.89,10.0,1992-10-18T15:11:57.119999Z,1,1,1,1,-1,-1,3.0,1,1,1,1
27,7.4,33.39,57.43,33.0,1978-09-16T15:36:00.000002Z,0,0,0,5,2,-1,3.0,0,0,5,0
28,7.1,18.22,-102.76,33.0,1997-01-11T20:28:27.839996Z,0,1,0,1,-1,-1,3.0,1,0,1,0
29,7.2,-51.16,160.44,10.0,1982-07-07T10:43:06.240002Z,0,1,0,1,-1,-1,0.0,1,0,1,0
30,7.3,2.77,95.96,26.0,2008-02-20T08:08:26.880004Z,0,1,3,4,1,-1,1.0,1,0,4,3
31,7.0,39.57,54.8,30.0,2000-12-06T17:11:02.400001Z,0,0,0,1,-1,-1,2.0,0,0,1,0
32,7.0,-23.91,-70.21,42.0,1998-01-30T12:16:07.679996Z,0,0,0,2,-1,-1,1.0,0,0,2,0
33,7.1,11.33,122.17,15.0,1990-06-14T07:40:56.640001Z,0,1,0,2,-1,-1,3.0,1,0,2,0
34,7.0,-60.15,-26.83,33.0,1987-01-30T22:29:42.719999Z,0,2,0,5,1,-1,3.0,2,0,5,0
35,7.1,-42.81,124.69,10.0,2001-12-12T14:02:32.640002Z,0,1,0,1,-1,-1,0.0,1,0,1,0
36,7.0,42.49,43.65,10.0,1991-04-29T09:12:48.960001Z,0,2,0,4,1,-1,0.0,2,0,4,0
37,7.5,-1.68,136.04,5.0,1979-09-12T05:17:48.479995Z,0,1,0,5,1,-1,1.0,1,0,4,0
38,7.6,-48.79,164.36,33.0,1981-05-25T05:25:17.759997Z,0,3,1,3,1,1,2.0,2,0,2,1
39,7.0,2.96,126.93,37.0,1979-04-10T01:42:23.039995Z,0,0,0,4,1,-1,2.0,0,0,4,0
40,7.2,22.28,121.51,17.0,1978-07-23T14:42:34.559996Z,0,1,0,4,2,-1,0.0,1,0,4,0
41,7.1,53.47,169.93,32.0,1990-11-06T20:14:29.760001Z,0,0,0,1,-1,-1,3.0,0,0,1,0
42,7.4,-31.03,-67.77,13.0,1977-11-23T09:26:21.120000Z,0,6,0,8,1,1,3.0,6,0,7,0
43,7.0,5.9,126.92,60.2,2018-12-29T03:39:10.080001Z,0,2,0,6,1,-1,0.0,2,0,6,0
44,7.6,44.93,148.44,33.0,1978-03-23T03:15:24.479999Z,2,5,2,6,2,2,3.0,4,2,5,2
45,7.2,16.77,122.33,37.0,1977-03-18T21:43:55.199999Z,0,1,0,4,2,-1,3.0,1,0,4,0
46,7.2,-9.05,158.49,33.0,1991-10-14T15:58:10.560005Z,0,2,0,4,1,-1,3.0,2,0,4,0
47,8.1,1.6,-79.36,24.0,1979-12-12T07:59:05.280002Z,0,4,0,8,1,1,1.0,1,0,2,0
48,7.1,5.34,31.91,10.0,1990-05-24T20:00:05.760000Z,2,0,2,4,2,-1,0.0,0,2,4,2
49,7.4,36.96,49.41,10.0,1990-06-20T21:00:08.639995Z,0,3,0,3,1,1,1.0,1,0,1,0
50,7.1,43.53,146.75,44.0,1980-02-23T05:51:04.320005Z,0,3,0,3,1,1,1.0,3,0,3,0
51,7.6,23.42,70.23,16.0,2001-01-26T03:16:42.239997Z,0,3,0,3,1,1,1.0,1,0,1,0
52,7.0,-30.68,-177.36,33.0,1978-02-09T21:35:16.800005Z,2,3,2,10,5,1,1.0,3,2,10,2
53,7.1,-19.53,173.82,33.0,2000-02-25T01:43:58.080005Z,0,3,0,3,1,1,3.0,3,0,3,0
54,7.0,-18.13,167.95,33.0,1990-03-05T16:38:12.479998Z,0,0,0,6,1,-1,0.0,0,0,6,0
55,8.0,19.15,-104.22,49.0,1995-10-09T15:36:00.000002Z,1,2,1,11,1,1,3.0,0,0,3,0
56,7.2,28.82,34.86,10.0,1995-11-22T04:15:10.080003Z,0,2,0,3,1,-1,2.0,2,0,3,0
57,7.2,-6.51,130.39,33.0,1992-12-20T20:52:39.360004Z,0,0,0,2,-1,-1,3.0,0,0,2,0
58,7.5,35.07,87.32,33.0,1997-11-08T10:02:55.680003Z,0,1,0,1,-1,-1,3.0,0,0,0,0
59,7.7,-8.51,121.89,35.0,1992-12-12T05:29:28.320003Z,0,3,1,8,1,1,1.0,0,0,3,1
60,7.5,-9.62,-79.57,33.0,1996-02-21T12:51:07.200000Z,0,0,0,2,-1,-1,3.0,0,0,0,0
61,7.1,44.69,151.15,33.0,1982-06-30T01:57:30.240003Z,0,0,0,1,-1,-1,1.0,0,0,1,0
62,7.7,40.37,139.15,33.0,1983-05-26T03:00:00.000000Z,0,5,0,5,1,1,0.0,3,0,3,0
63,7.2,-4.46,152.82,41.0,1985-07-03T04:36:54.720000Z,0,3,0,8,1,1,0.0,3,0,8,0
64,7.0,21.8,120.55,10.0,2006-12-26T12:26:21.120000Z,0,2,0,4,2,-1,3.0,2,0,4,0
65,7.5,18.77,-104.1,24.0,2003-01-22T02:06:34.560004Z,0,3,0,5,1,1,3.0,1,0,3,0
66,7.0,36.21,141.76,34.0,1982-07-23T14:23:51.360003Z,1,5,1,7,1,1,3.0,5,1,7,1
67,7.2,-5.58,151.08,30.0,1985-05-10T15:35:51.359997Z,0,2,0,3,1,-1,0.0,2,0,3,0
68,7.7,-12.52,165.92,33.0,1980-07-17T19:42:23.039995Z,5,2,5,12,2,2,1.0,2,4,8,4
69,7.5,-22.26,171.73,33.0,1981-07-06T03:08:21.120004Z,1,2,24,20,4,1,1.0,2,1,18,22
70,7.4,-4.1,123.91,33.0,2001-10-19T03:28:48.000002Z,0,3,3,4,1,1,0.0,2,0,3,3
71,8.0,18.18,-102.57,33.0,1985-09-19T13:17:45.600000Z,0,3,0,6,1,1,3.0,1,0,2,0
72,7.6,-43.41,-73.94,38.0,2016-12-25T14:22:24.959999Z,0,1,0,2,-1,-1,3.0,0,0,0,0
