,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
0,9.1,38.32,142.37,24.4,2011-03-11T05:46:19.199996Z,20,203,20,247,1,1,0.0,3,1,3,1
1,9.0,3.3,95.78,10.0,2004-12-26T00:58:53.760002Z,2,155,2,310,1,1,0.0,1,0,1,0
2,8.8,-35.85,-72.71,44.8,2010-02-27T06:34:16.319997Z,1,89,1,99,1,1,3.0,3,0,3,0
3,8.6,2.33,93.06,20.0,2012-04-11T08:38:32.640004Z,1,29,1,34,2,2,1.0,1,0,1,0
4,8.6,2.09,97.11,30.0,2005-03-28T16:09:33.120002Z,10,74,10,97,1,1,0.0,1,0,3,0
5,8.5,-4.44,101.37,34.0,2007-09-12T11:10:27.840000Z,2,36,2,46,1,1,0.0,4,0,5,0
6,8.4,-16.26,-73.64,33.0,2001-06-23T20:33:12.960004Z,0,13,0,21,1,1,3.0,3,0,3,0
7,8.3,-11.08,118.46,33.0,1977-08-19T06:08:55.679995Z,1,14,1,30,1,1,2.0,1,0,2,0
8,8.3,46.57,153.29,38.9,2006-11-15T11:14:21.119996Z,5,31,5,42,2,1,0.0,2,0,3,0
9,8.3,41.81,143.91,27.0,2003-09-25T19:50:09.599997Z,2,29,2,38,1,1,0.0,3,0,4,0
10,8.3,43.71,147.33,33.0,1994-10-04T13:22:56.639995Z,0,23,0,30,1,1,0.0,1,0,1,0
11,8.3,-31.57,-71.67,22.4,2015-09-16T22:54:28.799999Z,1,44,1,52,1,1,3.0,3,0,6,0
12,8.2,15.02,-93.9,47.4,2017-09-08T04:49:17.760005Z,5,29,5,35,1,1,0.0,0,0,0,0
13,8.2,-0.95,137.03,33.0,1996-02-17T05:59:25.439998Z,1,15,1,16,1,1,0.0,4,0,4,0
14,8.2,0.8,92.46,25.1,2012-04-11T10:43:14.879997Z,0,0,0,0,-1,-1,1.0,0,0,0,0
15,8.1,-49.31,161.35,10.0,2004-12-23T14:59:08.159997Z,0,2,0,2,-1,-1,1.0,0,0,0,0
16,8.1,-8.46,157.04,10.0,2007-04-01T20:39:59.039998Z,1,41,1,50,1,1,3.0,5,0,5,0
17,8.1,46.24,154.52,10.0,2007-01-13T04:23:22.560001Z,0,5,0,8,4,4,2.0,0,0,0,0
18,8.1,-15.49,-172.1,18.0,2009-09-29T17:48:11.519997Z,0,38,0,45,1,1,2.0,2,0,2,0
19,8.1,-62.88,149.53,10.0,1998-03-25T03:12:23.039995Z,0,5,0,5,1,1,1.0,1,0,1,0
20,8.1,-19.61,-70.77,25.0,2014-04-01T23:46:45.120003Z,20,32,20,38,2,2,0.0,6,4,6,4
21,8.1,1.6,-79.36,24.0,1979-12-12T07:59:05.280002Z,0,4,0,5,1,1,0.0,1,0,1,0
22,8.0,-22.88,-175.9,65.0,1977-06-22T12:08:29.759999Z,1,3,1,3,1,1,0.0,0,0,0,0
23,8.0,-3.98,152.17,33.0,2000-11-16T04:54:54.719996Z,2,49,2,56,3,3,0.0,10,1,12,1
24,8.0,19.15,-104.22,49.0,1995-10-09T15:36:00.000002Z,1,2,1,3,1,1,0.0,0,0,0,0
25,8.0,-20.19,-174.12,55.0,2006-05-03T15:26:38.400001Z,5,25,5,32,1,1,3.0,0,1,0,1
26,8.0,-52.24,160.2,10.0,1989-05-23T10:54:46.080000Z,1,9,1,9,1,1,1.0,0,0,0,0
27,8.0,6.26,124.02,33.0,1976-08-16T16:11:08.160002Z,0,2,0,3,1,-1,3.0,2,0,2,0
28,8.0,-13.39,-76.6,39.0,2007-08-15T23:40:59.519996Z,1,12,1,14,1,1,3.0,3,0,3,0
29,8.0,-23.36,-70.31,47.0,1995-07-30T05:11:19.680002Z,0,12,0,12,1,1,3.0,3,0,3,0
30,8.0,18.18,-102.57,33.0,1985-09-19T13:17:45.600000Z,0,3,0,4,1,1,3.0,1,0,1,0
31,7.9,-4.72,102.09,33.0,2000-06-04T16:28:24.960001Z,0,17,0,23,1,1,0.0,3,0,3,0
32,7.9,36.13,140.23,30.2,2011-03-11T06:15:41.759999Z,0,0,0,0,-1,-1,3.0,0,0,0,0
33,7.9,63.52,-147.44,4.9,2002-11-03T22:12:43.200001Z,1,4,1,4,1,1,1.0,0,1,0,1
34,7.9,-2.62,100.84,35.0,2007-09-12T23:49:03.359999Z,0,0,0,0,-1,-1,3.0,0,0,0,0
35,7.9,-13.8,97.45,10.0,2000-06-18T14:44:09.599995Z,0,2,0,2,-1,-1,1.0,0,0,0,0
36,7.9,28.15,84.71,15.0,2015-04-25T06:11:22.559997Z,1,9,1,9,1,1,0.0,4,0,4,0
37,7.9,0.72,119.98,33.0,1996-01-01T08:05:08.160000Z,0,4,0,6,1,1,0.0,0,0,1,0
38,7.9,51.41,-174.83,33.0,1986-05-07T22:47:08.160004Z,1,14,1,19,1,1,3.0,4,1,5,1
39,7.9,56.0,-149.17,14.1,2018-01-23T09:31:40.800000Z,0,8,0,10,1,1,1.0,0,0,0,0
40,7.9,44.62,149.32,22.1,1995-12-03T18:01:09.120003Z,7,10,7,17,1,1,0.0,4,4,5,4
41,7.9,31.0,103.32,19.0,2008-05-12T06:28:04.800005Z,0,14,0,14,1,1,0.0,2,0,2,0
42,7.9,-33.15,-71.98,33.0,1985-03-03T22:47:08.160004Z,1,14,1,18,1,1,3.0,7,0,9,0
43,7.9,-10.8,165.11,24.0,2013-02-06T01:12:25.920000Z,25,81,25,87,1,1,3.0,16,7,16,7
44,7.9,-28.43,-177.66,33.0,1976-01-14T16:47:34.080000Z,2,4,2,5,2,2,0.0,3,2,4,2
45,7.9,51.56,-177.63,33.0,1996-06-10T04:03:38.880000Z,2,11,2,16,1,1,3.0,2,1,2,1
46,7.8,2.38,97.05,31.0,2010-04-06T22:15:01.439998Z,1,0,1,2,1,-1,0.0,0,1,1,1
47,7.8,-42.74,173.05,15.2,2016-11-13T11:02:58.559998Z,0,14,0,16,1,1,0.0,1,0,1,0
48,7.8,-10.47,112.98,39.0,1994-06-02T18:17:34.080000Z,0,19,0,21,1,1,0.0,5,0,5,0
49,7.8,26.97,65.52,15.0,2013-09-24T11:29:45.600004Z,0,5,0,6,1,1,0.0,2,0,2,0
50,7.8,-10.68,161.32,40.0,2016-12-08T17:38:49.919995Z,0,37,0,40,1,1,3.0,8,0,10,0
51,7.8,52.79,-132.1,14.0,2012-10-28T03:04:10.559997Z,0,18,0,18,1,1,3.0,3,0,3,0
52,7.8,-12.52,166.38,35.0,2009-10-07T22:18:54.720004Z,2,44,2,48,3,3,3.0,9,1,9,1
53,7.8,-3.49,100.08,20.1,2010-10-25T14:42:25.920000Z,0,7,0,8,1,1,0.0,2,0,2,0
54,7.8,-5.5,151.78,33.0,2000-11-17T21:01:52.320000Z,0,0,0,0,-1,-1,3.0,0,0,0,0
55,7.8,-29.21,-177.89,69.0,1976-01-14T15:56:35.519995Z,0,0,0,0,-1,-1,3.0,0,0,0,0
56,7.8,58.68,-142.79,10.0,1987-11-30T19:23:13.919996Z,5,4,5,4,1,1,1.0,1,2,1,2
57,7.8,35.95,90.54,10.0,2001-11-14T09:26:12.480004Z,0,5,0,5,1,1,0.0,0,0,0,0
58,7.8,-5.23,153.1,30.0,2000-11-16T07:42:14.400000Z,0,0,0,0,-1,-1,0.0,0,0,0,0
59,7.8,16.01,-96.59,18.0,1978-11-29T19:52:45.120004Z,0,2,0,3,1,-1,0.0,0,0,0,0
60,7.8,-4.95,94.33,24.0,2016-03-02T12:49:49.440001Z,0,3,0,4,1,1,1.0,0,0,0,0
61,7.8,51.15,178.65,33.0,2003-11-17T06:43:03.359997Z,1,7,1,7,1,1,0.0,1,0,1,0
62,7.8,54.47,168.82,11.0,2017-07-17T23:34:13.440002Z,2,4,2,5,1,1,1.0,0,1,0,1
