,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
0,8.0,1976-01-14T16:47:32.000003,1976-01-14T16:47:33.499999Z,1976-01-14T16:47:33.499999Z,-28.427,-177.657,33.0,7,2840,22,11,0,10,0,37,2,2,2,56,13,1,1,1,1,1
1,7.5,1976-02-04T09:01:42.000002,1976-02-04T09:01:43.399982Z,1976-02-04T09:01:43.399982Z,15.324,-89.101,5.0,25,2597,136,3,0,3,0,10,0,6,0,6,0,1,1,1,1,1
2,7.5,1976-07-27T19:42:53.000000,1976-07-27T19:42:54.600023Z,1976-07-27T19:42:54.600023Z,39.57,117.978,23.0,83,2827,146,11,0,9,0,18,0,10,0,10,0,2,2,2,2,2
3,7.9,1976-08-16T16:11:06.000004,1976-08-16T16:11:07.299978Z,1976-08-16T16:11:07.299978Z,6.262,124.023,33.0,89,2809,34,29,0,28,0,97,5,50,2,49,2,1,1,1,1,1
4,7.3,1976-11-24T12:22:17.000003,1976-11-24T12:22:18.799970Z,1976-11-24T12:22:18.799970Z,39.121,44.029,36.0,117,2870,197,4,0,4,0,9,0,4,0,4,0,1,1,1,1,1
5,7.2,1977-07-29T11:15:44.000001,1977-07-29T11:15:45.300036Z,1977-07-29T11:15:45.300036Z,-8.031,155.538,33.0,182,2620,254,2,0,2,0,4,0,3,0,3,0,1,-1,-1,1,1
6,8.3,1977-08-19T06:08:53.999999,1977-08-19T06:08:55.509960Z,1977-08-19T06:08:55.509960Z,-11.164,118.378,25.0,186,2911,9,77,1,72,1,186,2,94,1,94,1,1,1,1,1,1
7,7.2,1977-10-10T11:53:52.000000,1977-10-10T11:53:53.599976Z,1977-10-10T11:53:53.599976Z,-25.856,-175.406,33.0,206,2738,273,1,0,1,0,5,0,1,0,1,0,-1,-1,-1,-1,1
8,7.4,1977-11-23T09:26:23.000001,1977-11-23T09:26:24.699984Z,1977-11-23T09:26:24.699984Z,-31.028,-67.767,13.0,216,2775,155,61,0,58,0,70,0,59,0,59,0,1,1,1,1,1
9,7.2,1978-02-09T21:35:11.000003,1978-02-09T21:35:12.699977Z,1978-02-09T21:35:12.699977Z,-30.683,-177.358,33.0,234,2781,258,7,0,7,0,44,73,19,6,19,8,1,1,1,1,5
10,7.6,1978-03-24T19:47:48.999999,1978-03-24T19:47:50.699986Z,1978-03-24T19:47:50.699986Z,44.244,148.862,33.0,251,2946,107,48,39,45,39,76,47,51,39,51,41,2,2,2,2,2
