,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
0,0,2,7.1,40.402,-125.68,10.0,1994-09-01T15:15:53.080045Z,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-1,-1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.82379803431266,1.0,1.0
1,1,19,7.0,41.679,-125.856,1.303,1991-08-17T22:17:09.970019Z,1,0,1,0,-999.0,-999.0,-999.0,0.9000000000000004,-999.0,inf,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,-1.0,1.0
2,2,34,7.0,28.696,-113.104,13.0,2012-04-12T07:15:48.500002Z,1,0,1,0,-999.0,-999.0,-999.0,1.0,-999.0,inf,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,-1.0,1.0
3,3,38,7.0,-28.683,-177.624,30.0,1997-09-20T16:11:32.149994Z,0,0,1,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-1,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,-1.0,3.0
4,4,156,8.0,18.19,-102.533,27.9,1985-09-19T13:17:47.350031Z,0,1,0,3,2.3,-999.0,inf,-999.0,-999.0,-999.0,1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.9,-0.0,0.0,21.964269450294015,537.7249613305888,1.0,3.0
5,5,236,7.1,11.76,121.899,18.1,1990-06-14T07:40:56.209989Z,0,1,0,1,1.5,-999.0,inf,-999.0,-999.0,-999.0,-1,-1,1,0,1,0,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,20.080148524831127,133.82379803431266,-1.0,1.0
6,6,245,7.0,-53.9451,-55.0033,11.78,2013-11-25T06:27:33.300025Z,1,0,1,0,-999.0,-999.0,-999.0,1.4000000000000004,-999.0,inf,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,1.0,1.0
7,7,352,8.0,-3.98,152.169,33.0,2000-11-16T04:54:56.740031Z,0,1,0,3,2.5,-999.0,inf,-999.0,-999.0,-999.0,1,-1,0,0,2,0,0.0,0.0,0.0,0.0,6.5,-0.0,0.0,17.17794700832764,537.7249613305888,1.0,3.0
8,8,399,7.6,18.77,-104.104,24.0,2003-01-22T02:06:34.610024Z,0,2,2,2,1.6999999999999993,-999.0,84.86396104171158,-999.0,-999.0,-999.0,1,-1,1,0,1,2,6.3,0.0,0.0,0.0,5.9,-0.0,46.60201888428946,38.40865232373173,289.8036300972396,1.0,3.0
9,9,434,7.3,-60.857,-25.07,11.0,2013-07-15T14:03:39.880022Z,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-1,-1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.28945197042378,1.0,1.0
