,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
0,19,7,41.679,-125.856,1.303,1991-08-17T22:17:09.970019Z,1,0,2,0,-999,-999,-999,0.9,-999,inf,-1,-1,0,1,0,2,0,0,0,0,0,0,0,0,114.6619326,-1,1
1,42,7,28.696,-113.104,13,2012-04-12T07:15:48.500002Z,1,0,1,0,-999,-999,-999,1,-999,inf,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,114.6619326,-1,1
2,44,7.1,-35.2,-72.217,40.7,2012-03-25T22:37:06.000043Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,133.823798,1,3
3,91,7,-28.683,-177.624,30,1997-09-20T16:11:32.149994Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,-1,3
4,419,7.1,-23.913,-70.207,42,1998-01-30T12:16:08.690018Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,0,0,2,0,0,0,0,0,0,0,0,0,133.823798,1,3
5,534,7.1,40.402,-125.68,10,1994-09-01T15:15:53.080045Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,0,0,2,0,0,0,0,0,0,0,0,0,133.823798,1,1
6,538,7,39.566,54.799,30,2000-12-06T17:11:06.399970Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,-1,3
7,567,7.2,-0.593,-80.393,33,1998-08-04T18:59:20.099992Z,1,0,1,0,-999,-999,-999,1.8,-999,inf,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,156.1879214,1,3
8,579,7.1,-19.528,173.818,33,2000-02-25T01:43:58.639959Z,0,3,0,3,1.5,-999,0.30376812,-999,-999,-999,1,1,3,0,3,0,0,0,0,0,5.6,0,0,93.32220823,133.823798,-1,1
9,691,7,-53.9451,-55.0033,11.78,2013-11-25T06:27:33.300025Z,1,2,1,2,1,-999,72.98068029,1.4,-999,inf,1,1,2,1,2,1,5.6,0,5.6,0,6,0,9.262579154,72.06593796,114.6619326,1,1
