,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle,rates_bg,rates_fs,rates_as,time_fs,time_as
0,0,7,-999.0,-999.0,8,33.0,1.7,1.7,1.7,1.7,-28.427,-177.657,8.0,40,1,41,1,1976-01-14T16:47:32.000003,-999.0,-999.0,1,1,1,4,1,4,6.3,-351495.999999,6.3,-351495.999999,6.3,21369.999994,89.69128616638041,231.35859240661264,537.7249613305888,1.0,3.0,0.0717568738624434,28.24452433565245,0.3631283284074814,0.03540509261604812,112.90774305548588
1,1,9,-999.0,-999.0,10,41.0,1.2,-999.0,1.2,-999.0,44.915,149.123,7.0,34,0,34,0,1976-01-21T10:05:23.000003,-999.0,-999.0,1,1,0,34,0,34,0.0,0.0,0.0,0.0,5.8,827.999995,0.0,100.64695630120592,114.66193259390072,-1.0,3.0,0.027147357396639517,,7.870454715992621,0.0,4.319953703680248
2,2,19,-999.0,-999.0,20,5.0,1.9,-999.0,1.9,-999.0,15.324,-89.101,7.5,4,0,4,0,1976-02-04T09:01:42.000002,-999.0,-999.0,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.6,342722.999994,0.0,216.98709166233414,248.30743700128235,1.0,1.0,0.003313597733864603,,0.7822845152573022,0.0,5.1132291666087175
3,3,39,-999.0,-999.0,40,33.0,0.8,-999.0,0.8,-999.0,40.311,63.773,7.0,4,0,4,0,1976-04-08T02:40:24.999998,-999.0,-999.0,1,1,0,4,0,4,0.0,0.0,0.0,0.0,6.2,1119.000004,0.0,27.716332739789525,114.66193259390072,-1.0,2.0,0.002473296374707012,,0.1281400048200812,0.0,31.21585648148148
4,4,55,-999.0,-999.0,56,10.0,2.0,-999.0,2.0,-999.0,40.381,63.472,7.0,1,0,1,0,1976-05-17T02:58:39.000002,-999.0,-999.0,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.0,219364.999998,0.0,19.269971135288632,114.66193259390072,-1.0,2.0,0.002030839745418275,,0.39386410776918124,0.0,2.5389467592361488
5,5,58,-999.0,-999.0,59,10.0,0.8,0.1,0.8,0.1,24.531,98.71,7.0,4,1,4,1,1976-05-29T14:00:16.999999,-999.0,-999.0,2,2,1,4,1,4,6.9,-20196.999999,6.9,-20196.999999,6.2,-5819.999999,24.965086945369947,22.73484678218591,114.66193259390072,-1.0,2.0,0.03681308446097867,14.84536082725087,1.8257989190631616,0.06736111109972828,2.1908217593054804
6,6,68,-999.0,-999.0,69,33.0,1.2,-999.0,1.2,-999.0,3.397,96.318,7.0,14,0,16,0,1976-06-20T20:53:12.000001,-999.0,-999.0,1,1,0,16,0,14,0.0,0.0,0.0,0.0,5.8,37461.0,0.0,65.32690145049465,114.66193259390072,-1.0,3.0,0.003965944885003464,,0.14234802155399798,0.0,112.40057870372716
7,7,69,-999.0,-999.0,70,33.0,1.2,-999.0,1.2,-999.0,-4.603,140.091,7.1,11,0,11,0,1976-06-25T19:18:55.000002,-999.0,-999.0,1,1,0,10,0,10,0.0,0.0,0.0,0.0,5.9,172413.0,0.0,47.85803213118175,133.82379803431266,-1.0,0.0,0.0017490213632343945,,0.448097283882543,0.0,24.54824074069452
8,8,71,-999.0,-999.0,72,3.0,1.4,0.3,1.4,0.3,7.409,-78.127,7.0,15,2,15,2,1976-07-11T20:41:45.999998,-999.0,-999.0,2,2,2,15,2,15,6.7,-289128.000005,6.7,-289128.000005,5.6,190246.999999,38.67464941749948,47.77302391560659,114.66193259390072,-1.0,2.0,0.002088903912393092,12.67233792901144,1.3851925481741687,0.15782407407407406,10.828819444467555
9,9,78,-999.0,-999.0,79,23.0,0.1,-999.0,0.1,-999.0,39.57,117.978,7.5,9,0,11,0,1976-07-27T19:42:53.000000,-999.0,-999.0,2,2,0,1,0,1,0.0,0.0,0.0,0.0,7.4,54160.999998,0.0,86.78704399371482,248.30743700128235,-1.0,2.0,0.03490912326692521,,0.03467767079455374,0.0,317.20700231480345
