,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,7.0,41.679,-125.856,1.303,1991-08-17T22:17:09.970019Z,1,0,2,0,-1,-1,0,1,0,2
1,7.0,28.696,-113.104,13.0,2012-04-12T07:15:48.500002Z,1,0,1,0,-1,-1,0,1,0,1
2,7.1,-35.2,-72.217,40.7,2012-03-25T22:37:06.000043Z,0,0,0,1,-1,-1,0,0,1,0
3,7.0,-28.683,-177.624,30.0,1997-09-20T16:11:32.149994Z,0,0,0,1,-1,-1,0,0,1,0
4,7.1,-23.913,-70.207,42.0,1998-01-30T12:16:08.690018Z,0,0,0,2,-1,-1,0,0,2,0
5,7.1,40.402,-125.68,10.0,1994-09-01T15:15:53.080045Z,0,0,0,2,-1,-1,0,0,2,0
6,7.0,39.566,54.799,30.0,2000-12-06T17:11:06.399970Z,0,0,0,1,-1,-1,0,0,1,0
7,7.2,-0.593,-80.393,33.0,1998-08-04T18:59:20.099992Z,1,0,1,0,-1,-1,0,1,0,1
8,7.1,-19.528,173.818,33.0,2000-02-25T01:43:58.639959Z,0,3,0,3,1,1,3,0,3,0
9,7.0,-53.9451,-55.0033,11.78,2013-11-25T06:27:33.300025Z,1,2,1,2,1,1,2,1,2,1
10,7.5,-4.102,123.907,33.0,2001-10-19T03:28:44.460019Z,0,4,3,5,1,1,2,0,3,3
11,7.0,-1.339,88.976,10.0,1999-11-15T05:42:43.219957Z,0,4,0,5,1,1,4,0,5,0
12,7.2,40.3353333,-124.2286667,9.856,1992-04-25T18:06:05.179965Z,0,2,2,2,1,-1,2,0,2,2
13,7.1,60.642,-141.593,15.0,1979-02-28T21:27:06.100011Z,0,2,0,3,1,-1,2,0,3,0
14,7.0,5.8983,126.9209,60.21,2018-12-29T03:39:09.740021Z,0,2,0,6,1,-1,2,0,6,0
15,7.2,-29.211,-177.589,35.3,1995-07-03T19:50:50.620042Z,0,6,0,11,1,1,6,0,11,0
16,7.1,-59.426,-20.508,33.0,1977-08-26T19:50:01.400032Z,0,2,0,2,-1,-1,2,0,2,0
17,7.0,-45.277,166.927,28.1,1993-08-10T00:51:53.249991Z,0,2,0,2,-1,-1,2,0,2,0
18,7.2,0.151,-77.821,10.0,1987-03-06T04:10:41.959973Z,1,3,1,5,1,1,3,1,5,1
19,7.0,-51.225,160.513,10.0,1982-07-07T10:43:03.740016Z,0,2,0,2,-1,-1,2,0,2,0
20,7.1,52.6487,-31.9016,16.68,2015-02-13T18:59:12.229988Z,0,1,0,1,-1,-1,1,0,1,0
21,7.0,14.066,-91.924,67.1,1983-12-02T03:09:05.659975Z,0,2,0,3,1,-1,2,0,3,0
22,7.6,-43.4064,-73.9413,38.0,2016-12-25T14:22:27.010018Z,0,3,0,3,1,1,1,0,1,0
23,7.0,23.613,95.901,19.7,1991-01-05T14:57:11.589980Z,0,1,0,1,-1,-1,1,0,1,0
24,7.0,-3.517,138.476,66.0,2013-04-06T04:42:35.860032Z,0,1,1,2,1,-1,1,0,2,1
