,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,9.1,38.297,142.373,29.0,2011-03-11T05:46:24.119965Z,41,568,41,622,1,1,3,1,3,1
1,9.1,3.295,95.982,30.0,2004-12-26T00:58:53.449996Z,3,310,3,479,1,1,1,0,1,0
2,8.8,-36.122,-72.898,22.9,2010-02-27T06:34:11.529981Z,2,310,2,326,1,1,3,0,3,0
3,8.6,2.085,97.108,30.0,2005-03-28T16:09:36.530032Z,11,140,11,166,1,1,1,0,3,0
4,8.6,2.327,93.063,20.0,2012-04-11T08:38:36.719976Z,2,75,2,79,2,2,1,0,1,0
5,8.4,-4.438,101.367,34.0,2007-09-12T11:10:26.829987Z,6,90,6,106,1,1,5,0,6,0
6,8.4,-16.265,-73.641,33.0,2001-06-23T20:33:14.130024Z,0,62,0,71,1,1,3,0,4,0
7,8.3,43.773,147.321,14.0,1994-10-04T13:22:55.840019Z,3,144,3,160,1,1,1,0,1,0
8,8.3,-11.164,118.378,25.0,1977-08-19T06:08:55.509960Z,1,94,1,144,1,1,0,0,0,0
9,8.3,-31.5729,-71.6744,22.44,2015-09-16T22:54:32.860026Z,3,90,3,101,1,1,6,0,9,0
10,8.3,46.592,153.266,10.0,2006-11-15T11:14:13.570027Z,9,93,9,123,2,1,3,0,4,0
11,8.2,41.815,143.91,27.0,2003-09-25T19:50:06.360003Z,2,46,2,60,1,1,3,0,4,0
12,8.2,0.802,92.463,25.1,2012-04-11T10:43:10.849955Z,0,0,0,0,-1,-1,0,0,0,0
13,8.2,15.0222,-93.8993,47.39,2017-09-08T04:49:19.179983Z,3,39,3,43,1,1,0,0,0,0
14,8.2,-19.6097,-70.7691,25.0,2014-04-01T23:46:47.260043Z,25,58,25,64,1,1,6,4,6,4
15,8.1,-15.489,-172.095,18.0,2009-09-29T17:48:10.990025Z,0,94,0,101,1,1,2,0,2,0
16,8.1,-49.312,161.345,10.0,2004-12-23T14:59:04.409978Z,0,6,0,6,1,1,1,0,1,0
17,8.1,46.243,154.524,10.0,2007-01-13T04:23:21.159979Z,0,6,0,9,4,4,0,0,0,0
18,8.1,-0.891,136.952,33.0,1996-02-17T05:59:30.550039Z,1,36,1,37,1,1,4,0,4,0
19,8.1,-62.877,149.527,10.0,1998-03-25T03:12:25.069968Z,0,7,0,7,1,1,1,0,1,0
20,8.1,-8.466,157.043,24.0,2007-04-01T20:39:58.710036Z,1,93,1,103,1,1,8,0,8,0
21,8.0,-28.427,-177.657,33.0,1976-01-14T16:47:33.499999Z,13,56,13,60,1,1,5,2,6,2
22,8.0,51.52,-174.776,33.0,1986-05-07T22:47:10.870027Z,3,86,3,94,1,1,3,1,4,1
23,8.0,-52.341,160.568,10.0,1989-05-23T10:54:46.320021Z,1,22,1,24,1,1,2,0,3,0
24,8.0,-23.34,-70.294,45.6,1995-07-30T05:11:23.630031Z,0,26,0,26,1,1,4,0,4,0
25,8.0,-33.135,-71.871,33.0,1985-03-03T22:47:07.280014Z,8,59,8,64,1,1,11,0,13,0
26,8.0,-10.799,165.114,24.0,2013-02-06T01:12:25.829968Z,23,184,23,188,1,1,11,7,11,7
27,8.0,-13.386,-76.603,39.0,2007-08-15T23:40:57.889981Z,1,34,1,37,1,1,3,0,3,0
28,8.0,18.19,-102.533,27.9,1985-09-19T13:17:47.350031Z,0,4,0,5,2,2,1,0,1,0
29,8.0,-3.98,152.169,33.0,2000-11-16T04:54:56.740031Z,5,171,5,182,3,3,14,2,16,2
30,8.0,19.055,-104.205,33.0,1995-10-09T15:35:53.910013Z,1,4,1,5,1,1,1,0,1,0
31,8.0,-20.187,-174.123,55.0,2006-05-03T15:26:40.290002Z,5,39,5,47,1,1,2,1,2,1
32,7.9,36.281,141.111,42.6,2011-03-11T06:15:40.279963Z,0,0,0,0,-1,-1,0,0,0,0
33,7.9,6.262,124.023,33.0,1976-08-16T16:11:07.299978Z,2,49,2,59,1,1,1,0,2,0
34,7.9,-2.625,100.841,35.0,2007-09-12T23:49:03.720025Z,0,0,0,0,-1,-1,0,0,0,0
35,7.9,-4.721,102.087,33.0,2000-06-04T16:28:26.170032Z,0,50,0,56,1,1,4,0,5,0
36,7.9,-13.802,97.453,10.0,2000-06-18T14:44:13.310013Z,0,3,0,3,1,1,0,0,0,0
37,7.9,58.679,-142.786,10.0,1987-11-30T19:23:19.590001Z,7,7,7,7,1,1,1,1,1,1
38,7.9,56.0039,-149.1658,14.06,2018-01-23T09:31:40.890031Z,0,12,0,13,1,1,0,0,0,0
39,7.9,31.002,103.322,19.0,2008-05-12T06:28:01.570018Z,0,50,0,50,1,1,2,0,2,0
40,7.9,0.729,119.931,24.0,1996-01-01T08:05:10.830021Z,0,8,0,10,1,1,0,0,1,0
41,7.9,51.564,-177.632,33.0,1996-06-10T04:03:35.479989Z,2,33,2,38,1,1,2,1,3,1
42,7.9,-1.679,136.04,5.0,1979-09-12T05:17:51.399976Z,1,9,1,22,1,1,1,0,2,0
43,7.9,63.5141,-147.4529,4.2,2002-11-03T22:12:41.517964Z,1,19,1,19,1,1,0,1,0,1
44,7.9,44.663,149.3,33.0,1995-12-03T18:01:08.989970Z,24,60,24,70,1,1,8,4,9,4
45,7.9,-12.525,165.916,33.0,1980-07-17T19:42:23.200012Z,18,20,18,24,2,2,2,4,2,4
46,7.8,12.982,144.801,59.3,1993-08-08T08:34:24.929992Z,1,15,1,18,1,1,2,0,3,0
