MAG,Time,Lat,Lon,Depth,clID
5.2,2021-12-05T01:01:20.640004Z,51.976700,-167.070300,10.0,0
5.2,2021-11-18T09:50:41.280004Z,51.361700,-178.325800,48.5,0
5.2,2021-11-04T08:57:07.200002Z,52.663900,-167.929900,31.2,0
5.6,2021-10-31T16:37:46.560002Z,54.925500,-158.730300,25.0,0
5.1,2021-10-28T19:06:57.600005Z,55.088400,-158.872700,33.5,0
6.9,2021-10-11T09:10:22.079999Z,56.258400,-156.553200,69.1,0
5.1,2021-10-01T14:12:54.720002Z,55.908400,-156.326200,45.2,0
5.1,2021-10-01T00:10:47.999995Z,51.987900,-171.109300,35.0,0
6.1,2021-09-24T11:52:30.719999Z,51.087200,-179.011900,18.0,0
5.5,2021-09-24T07:02:29.759997Z,51.136700,-179.032600,18.0,0
5.1,2021-09-16T23:05:08.159999Z,54.942000,-156.303700,33.0,0
5.6,2021-09-16T17:51:56.159997Z,55.071000,-156.499300,36.8,0
5.1,2021-09-09T19:23:22.560001Z,53.490500,-163.526100,22.0,0
6.9,2021-08-14T11:57:41.760004Z,55.173300,-157.653100,20.7,1
5.5,2021-07-30T03:52:16.320003Z,55.334400,-156.960800,43.4,1
5.4,2021-07-29T20:32:47.039998Z,55.215200,-156.759100,20.8,1
5.0,2021-07-29T20:30:37.439997Z,55.362200,-156.854500,28.9,1
5.3,2021-07-29T16:09:07.199996Z,55.167800,-156.945800,36.3,1
5.1,2021-07-29T06:38:26.880004Z,55.259200,-156.936600,38.0,1
5.7,2021-07-29T06:32:32.640002Z,55.254900,-156.767700,2.9,1
5.3,2021-07-29T06:28:48.000002Z,55.152600,-157.603500,35.0,1
5.2,2021-07-29T06:28:22.079995Z,55.449800,-157.589300,8.9,1
5.2,2021-07-29T06:27:04.319997Z,55.234000,-156.691300,19.5,1
5.9,2021-07-29T06:23:28.320002Z,55.372600,-157.205000,0.8,1
5.7,2021-07-29T06:23:02.399995Z,55.875800,-156.992400,35.0,1
5.5,2021-07-29T06:19:26.400000Z,55.101600,-158.237300,18.4,1
8.2,2021-07-29T06:15:50.400005Z,55.363500,-157.887600,35.0,1
5.0,2021-07-11T17:04:33.599998Z,51.773400,-175.933500,59.8,0
5.3,2021-06-18T10:02:38.400003Z,53.302200,-160.326000,10.0,0
6.1,2021-05-31T06:59:54.240000Z,62.449200,-148.251200,44.0,0
5.0,2021-05-22T09:04:45.119998Z,51.706800,-173.389100,29.3,0
5.4,2021-02-28T10:44:49.919997Z,51.095400,-178.952500,22.0,0
5.3,2021-02-27T18:59:28.320004Z,61.319000,-149.933400,46.0,0
5.2,2021-02-19T09:11:22.559997Z,51.094700,-179.304900,37.2,0
5.2,2021-02-14T19:13:17.760003Z,51.458700,-179.151100,21.7,0
5.3,2021-02-13T13:08:58.560001Z,57.146300,-155.038600,49.7,0
5.1,2021-01-24T21:16:24.959996Z,54.399400,-162.114800,35.0,0
5.1,2021-01-11T07:19:03.359999Z,53.721000,-163.996300,36.0,0
6.1,2021-01-03T12:38:44.160005Z,51.232700,-179.802800,21.0,0
5.0,2020-12-16T19:13:17.760003Z,51.294100,-178.131200,45.4,0
5.3,2020-12-16T05:49:20.640000Z,53.619300,-160.160400,10.0,0
5.7,2020-12-01T16:35:45.599996Z,53.693500,-150.590000,10.0,0
6.4,2020-12-01T16:22:39.360004Z,52.751600,-168.230700,23.0,0
5.5,2020-11-30T04:59:05.280002Z,52.740000,-168.265400,34.0,0
5.1,2020-11-07T12:23:11.040001Z,61.520000,-149.914400,41.5,0
5.1,2020-11-05T12:56:26.880000Z,54.129600,-159.775900,15.7,4
5.0,2020-11-04T12:23:45.600002Z,53.676600,-164.952000,54.1,0
5.1,2020-10-30T04:36:28.800003Z,54.504800,-159.681400,24.4,4
5.1,2020-10-21T01:17:54.239996Z,54.269900,-159.618000,15.6,4
5.1,2020-10-20T12:32:15.360001Z,54.362400,-159.774500,22.0,4
5.0,2020-10-20T08:37:14.879996Z,54.625300,-159.707500,28.2,4
5.6,2020-10-20T04:07:06.240000Z,54.260700,-159.623400,8.5,4
5.9,2020-10-19T21:45:21.600004Z,54.337100,-159.842500,20.8,4
5.5,2020-10-19T21:32:23.999997Z,54.388600,-159.824100,26.6,4
5.2,2020-10-19T21:22:27.840004Z,54.353600,-159.854100,22.6,4
5.0,2020-10-19T21:14:15.359995Z,54.341500,-159.568800,16.8,4
5.7,2020-10-19T21:06:20.159998Z,54.507300,-159.729000,26.2,4
5.7,2020-10-19T21:05:54.240002Z,54.438600,-159.614300,22.7,4
7.6,2020-10-19T20:54:40.320000Z,54.609300,-159.651900,31.1,4
5.7,2020-10-08T14:22:42.239999Z,52.718400,-168.255800,37.0,0
5.6,2020-10-06T05:54:48.959995Z,54.844400,-159.859800,30.4,4
5.3,2020-10-01T10:25:06.239996Z,51.732600,-174.939500,45.6,0
5.2,2020-09-28T02:44:18.240001Z,51.981200,-169.646800,10.0,0
5.6,2020-09-27T04:12:17.280005Z,51.890200,-169.682900,17.0,0
5.0,2020-08-20T16:35:11.040005Z,54.172800,-162.743500,46.4,3
5.1,2020-08-19T19:45:59.040000Z,54.931300,-160.318500,39.5,3
5.1,2020-08-19T19:45:59.040000Z,54.884600,-160.318900,36.4,3
5.0,2020-08-18T18:28:30.720001Z,55.020000,-157.938900,14.3,3
5.8,2020-08-16T20:05:51.359997Z,51.143300,-171.049900,15.0,0
5.7,2020-08-13T06:40:01.920003Z,53.420000,-163.697300,10.4,3
5.7,2020-08-09T14:57:59.040004Z,55.084900,-158.221200,48.4,3
5.1,2020-08-09T14:57:50.399999Z,55.045500,-157.925500,23.2,3
5.5,2020-08-08T14:42:51.839996Z,54.710100,-161.100300,32.8,3
5.3,2020-08-08T12:52:59.520000Z,54.771300,-158.188400,27.5,3
5.2,2020-08-05T16:17:36.960005Z,54.579900,-161.063100,10.0,3
5.2,2020-08-04T12:47:22.559999Z,54.736700,-161.162000,42.8,3
5.6,2020-07-29T09:12:14.400000Z,54.948800,-160.307000,42.0,3
5.0,2020-07-28T12:42:54.720002Z,54.900300,-160.312200,41.6,3
6.1,2020-07-28T08:03:41.759995Z,54.867400,-161.143600,41.3,3
5.5,2020-07-27T19:34:36.480003Z,54.914800,-160.284900,38.5,3
5.0,2020-07-24T13:24:40.320000Z,54.933300,-160.739000,43.0,3
5.0,2020-07-24T03:07:12.000001Z,54.818000,-160.671800,43.2,3
5.5,2020-07-22T21:40:01.920003Z,55.250700,-159.318900,35.6,3
5.8,2020-07-22T08:13:29.280003Z,55.223300,-159.371900,36.7,3
5.2,2020-07-22T06:20:09.599997Z,54.713200,-158.907600,26.2,3
6.1,2020-07-22T06:16:16.320001Z,54.932200,-159.042300,17.7,3
7.8,2020-07-22T06:12:40.319996Z,55.029800,-158.521700,28.0,3
5.3,2020-07-15T08:59:51.360005Z,52.037500,-177.390700,8.5,0
5.1,2020-07-08T01:07:06.240000Z,56.018800,-153.619700,3.3,3
5.5,2020-07-05T08:53:31.199997Z,53.365900,-160.430700,10.0,3
5.2,2020-06-19T03:08:29.759999Z,51.238300,-179.078800,41.1,0
5.1,2020-06-19T02:59:25.439998Z,51.159500,-179.047600,33.5,0
5.0,2020-06-13T11:43:35.040004Z,51.235600,-178.387600,44.6,0
5.4,2020-04-17T00:22:45.120004Z,55.971700,-153.307700,7.3,0
5.1,2020-03-20T07:53:28.320002Z,56.528600,-148.684300,10.0,0
