,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,fstyle_m,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
0,0,0,0,-999,-999,1,33,1.8,0.1,1.8,0.1,-28.43,-177.66,7.9,2,1,2,1,1976-01-14T16:47:33.000002,-999,-999,2,2,0,1,2,1,2,7.8,3059.000002,7.8,3059.000002,6.1,-3059.000002,89.60775154281949,231.6654420081156,460.72958753073897,1.0,3.0
1,1,1,1,-999,-999,3,33,-999.0,-999.0,-999.0,-999.0,-29.89,-177.87,7.0,1,0,1,0,1976-03-24T04:46:06.000000,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.306750914792878,114.66193259390072,-1.0,3.0
2,2,2,2,-999,-999,6,3,-999.0,0.5,-999.0,0.5,7.41,-78.13,7.3,0,1,0,1,1976-07-11T20:41:50.000003,-999,-999,-1,-1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.28945197042378,1.0,1.0
3,3,3,3,-999,-999,7,23,0.6,-999.0,0.6,-999.0,39.57,117.98,7.6,1,0,1,0,1976-07-27T19:42:55.999998,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,7.0,0.0,0.0,37.35425213400024,289.8036300972396,-1.0,2.0
4,4,4,4,-999,-999,8,33,0.9,-999.0,0.9,-999.0,6.26,124.02,8.0,1,0,1,0,1976-08-16T16:11:07.000003,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,7.1,0.0,0.0,162.34725093421758,537.7249613305888,1.0,3.0
5,5,5,5,-999,-999,11,37,1.1,-999.0,1.1,-999.0,16.77,122.33,7.2,1,0,1,0,1977-03-18T21:43:53.999998,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,6.1,0.0,0.0,4.932667331647144,156.1879214416901,1.0,3.0
6,6,6,6,-999,-999,15,33,1.3,0.1,1.3,0.1,-9.97,160.73,7.3,1,3,1,3,1977-04-21T04:24:03.999997,-999,-999,4,4,3,3,1,3,1,7.2,16873.999998,7.2,16873.999998,6.0,-18652.999997,47.54745825769797,23.52982594086813,182.28945197042378,1.0,3.0
7,7,7,7,-999,-999,17,65,2.3,-999.0,2.3,-999.0,-22.88,-175.9,8.0,1,0,1,0,1977-06-22T12:08:27.999997,-999,-999,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,5.7,-0.0,0.0,4.247220976532617,537.7249613305888,-1.0,2.0
8,8,8,8,-999,-999,19,33,1.7,2.6,1.7,2.6,-11.08,118.46,8.3,17,1,18,1,1977-08-19T06:08:53.999999,-999,-999,1,1,2,0,1,0,1,5.7,3610.999996,5.7,3610.999996,6.6,55564.0,10.908407480033143,134.27783001182777,641.1560464814495,-1.0,2.0
9,9,9,9,-999,-999,21,33,1.4,-999.0,1.4,-999.0,-59.43,-20.51,7.2,1,0,1,0,1977-08-26T19:50:00.000002,-999,-999,-1,-1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.8,-0.0,0.0,45.31801885596321,156.1879214416901,-1.0,1.0
10,10,10,10,-999,-999,27,13,1.3,-999.0,1.3,-999.0,-31.03,-67.77,7.4,6,0,6,0,1977-11-23T09:26:19.999997,-999,-999,1,1,3,0,6,0,6,0.0,0.0,0.0,0.0,6.1,413596.000005,0.0,72.32434489562259,212.75297086326285,-1.0,3.0
11,11,11,11,-999,-999,35,33,0.7,-999.0,0.7,-999.0,-30.68,-177.36,7.0,3,0,3,0,1978-02-09T21:35:14.999999,-999,-999,1,1,3,0,3,0,3,0.0,0.0,0.0,0.0,6.3,79039.000003,0.0,67.91124389195127,114.66193259390072,1.0,3.0
12,12,12,12,-999,-999,39,33,0.1,0.6,0.1,0.6,44.93,148.44,7.6,5,2,6,2,1978-03-23T03:15:22.999997,-999,-999,2,2,0,2,4,2,4,7.0,9857.999999,7.0,9857.999999,7.5,-0.0,99.54686480720903,129.02905777985868,289.8036300972396,1.0,3.0
13,13,13,13,-999,-999,44,44,1.2,-999.0,1.2,-999.0,38.19,142.03,7.6,4,0,4,0,1978-06-12T08:14:28.000000,-999,-999,1,1,0,0,4,0,4,0.0,0.0,0.0,0.0,6.4,0.0,0.0,107.56694121044703,289.8036300972396,1.0,3.0
14,14,14,14,-999,-999,48,33,-999.0,-999.0,-999.0,-999.0,-11.23,162.18,7.0,3,0,3,0,1978-11-04T22:29:24.000000,-999,-999,2,2,0,0,3,0,3,0.0,0.0,0.0,0.0,7.0,19656.000001,0.0,25.952696109544483,114.66193259390072,1.0,3.0
15,15,15,15,-999,-999,50,18,2.4,-999.0,2.4,-999.0,16.01,-96.59,7.8,2,0,2,0,1978-11-29T19:52:43.999998,-999,-999,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,12.573070247652248,394.75897176315374,1.0,3.0
16,16,16,16,-999,-999,54,33,-999.0,-999.0,1.9,-999.0,33.39,57.43,7.4,0,0,1,0,1978-09-16T15:36:00.000002,-999,-999,-1,-1,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.75297086326285,-1.0,3.0
17,17,17,17,-999,-999,55,53,1.5,-999.0,1.5,-999.0,-16.39,-72.66,7.1,1,0,1,0,1979-02-16T10:08:48.000000,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,5.6,0.0,0.0,12.235281655255795,133.82379803431266,-1.0,3.0
18,18,18,18,-999,-999,57,15,2.4,-999.0,2.4,-999.0,60.64,-141.59,7.5,1,0,1,0,1979-02-28T21:27:03.000003,-999,-999,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,57.24861435896599,248.30743700128235,1.0,3.0
19,19,19,19,-999,-999,67,5,1.4,-999.0,1.4,-999.0,-1.68,136.04,7.5,4,0,4,0,1979-09-12T05:17:47.000000,-999,-999,1,1,1,0,3,0,3,0.0,0.0,0.0,0.0,6.1,0.0,0.0,84.98754572941532,248.30743700128235,1.0,1.0
20,20,20,20,-999,-999,70,22,1.5,0.9,1.5,0.9,-10.62,161.28,7.0,1,1,1,1,1979-10-23T09:51:06.000000,-999,-999,-1,-1,3,1,1,1,1,6.1,5529.999999,6.1,5529.999999,5.5,-5529.999999,3.963106425010002,12.912526774835763,114.66193259390072,1.0,3.0
