MAG,Time,Lat,Lon,Depth,clID
5.0,1990-01-11T20:10:51.699969Z,35.113333,135.975000,1.1,0
5.0,1990-01-31T04:58:46.000012Z,34.505000,136.440000,37.1,0
6.1,1990-04-12T05:51:13.700018Z,35.520000,135.638333,36.8,0
5.4,1990-05-03T16:45:43.400043Z,36.436667,140.610000,5.8,0
5.4,1990-05-17T10:04:07.799980Z,37.051667,137.101667,27.2,0
6.0,1990-06-01T10:22:09.200009Z,35.645000,140.726667,5.9,0
5.3,1990-06-05T22:42:52.900012Z,35.556667,139.193333,12.3,0
5.2,1990-06-27T06:54:46.800026Z,35.005000,139.113333,14.8,0
5.1,1990-07-04T03:32:14.199990Z,36.043333,140.116667,7.6,0
5.0,1990-07-16T21:35:09.999971Z,39.340000,142.041667,5.2,0
5.3,1990-08-05T16:13:02.099999Z,35.210000,139.091667,1.4,0
5.4,1990-08-16T08:08:57.400025Z,43.681667,143.410000,16.5,0
5.5,1990-08-23T08:47:07.200038Z,35.348333,140.393333,5.0,0
5.2,1990-08-23T11:44:56.600042Z,35.361667,140.401667,5.0,0
5.4,1990-09-29T07:57:12.799985Z,34.995000,134.285000,1.1,0
5.2,1990-10-06T23:33:01.700007Z,36.488333,140.610000,5.1,0
5.0,1990-11-11T04:05:55.200021Z,44.275000,142.128333,0.0,0
5.1,1990-11-21T10:44:33.399970Z,35.276667,133.340000,1.4,0
5.2,1990-11-23T19:33:31.000032Z,35.273333,133.360000,1.4,0
5.1,1990-12-01T20:23:33.599960Z,35.280000,133.340000,1.2,0
5.4,1990-12-07T18:38:18.499975Z,37.210000,138.556667,1.5,0
5.3,1990-12-07T18:40:44.599957Z,37.215000,138.558333,0.4,0
5.2,1990-12-31T08:05:07.499995Z,35.158333,140.476667,3.2,0
5.3,1991-01-04T03:36:57.400013Z,33.548333,132.318333,5.8,0
5.8,1991-06-13T05:11:36.299988Z,42.751667,143.415000,11.9,0
5.4,1991-06-15T10:21:41.099960Z,39.471667,141.896667,6.1,0
5.4,1991-07-10T14:52:05.399959Z,43.250000,145.705000,9.2,0
5.3,1991-07-14T23:19:10.100011Z,36.420000,138.505000,18.8,0
5.9,1991-08-28T10:29:02.200042Z,35.323333,133.186667,1.3,0
5.0,1991-09-02T12:03:43.100007Z,42.290000,143.121667,6.7,0
5.3,1991-10-18T01:57:28.100043Z,42.941667,145.096667,6.0,0
5.7,1991-10-25T19:39:03.600029Z,43.206667,144.440000,10.5,0
6.0,1991-10-28T10:09:12.800016Z,33.923333,131.165000,1.9,0
5.1,1991-12-17T13:23:05.100028Z,43.138333,145.575000,5.0,0
5.6,1992-01-22T10:06:56.000044Z,38.411667,140.536667,12.0,0
5.7,1992-02-02T04:04:05.700032Z,35.230000,139.788333,9.2,0
5.0,1992-04-06T12:35:10.600019Z,43.403333,146.265000,9.0,0
5.0,1992-04-14T12:03:54.900003Z,36.178333,139.830000,6.2,0
5.0,1992-04-20T05:36:19.099982Z,42.256667,143.068333,6.7,0
5.0,1992-05-04T01:09:37.899990Z,31.275000,130.375000,16.3,0
5.6,1992-05-11T19:07:53.200045Z,36.533333,140.536667,5.6,0
5.0,1992-05-20T12:29:42.499998Z,36.115000,135.945000,1.0,0
5.2,1992-05-29T02:58:32.199973Z,35.653333,140.733333,5.4,0
6.1,1992-06-16T14:51:04.100030Z,45.455000,142.411667,34.8,0
5.4,1992-07-30T20:16:39.199985Z,35.513333,136.505000,3.8,0
5.8,1992-08-07T20:11:42.699984Z,35.746667,135.323333,36.4,0
5.2,1992-08-08T23:52:21.099965Z,42.013333,142.681667,4.6,0
6.1,1992-08-24T15:59:41.699995Z,41.940000,140.786667,12.1,0
5.6,1992-09-23T22:38:37.499969Z,31.101667,130.353333,16.0,0
5.0,1992-12-18T11:13:25.700019Z,34.110000,136.668333,37.3,0
5.0,1993-01-11T09:58:50.199973Z,35.188333,137.410000,5.6,0
7.5,1993-01-15T20:06:07.199973Z,42.920000,144.353333,10.1,1
5.0,1993-02-16T01:51:16.899984Z,37.631667,137.270000,2.4,0
5.0,1993-03-08T17:01:28.299997Z,43.485000,146.091667,7.1,0
5.1,1993-03-15T12:35:06.900028Z,42.256667,143.136667,6.4,0
5.1,1993-03-31T06:43:23.099982Z,43.030000,145.353333,8.3,0
5.0,1993-04-02T19:05:47.800031Z,37.588333,137.451667,0.5,0
5.1,1993-04-23T05:18:54.300037Z,35.810000,137.500000,0.8,0
5.4,1993-05-06T03:21:32.399970Z,39.135000,141.788333,10.6,0
5.0,1993-05-07T04:57:58.999966Z,37.615000,137.395000,2.0,0
5.4,1993-05-21T11:36:37.900021Z,36.045000,139.896667,6.1,0
5.0,1993-07-20T00:10:08.200010Z,36.353333,137.653333,0.4,0
5.1,1993-07-20T16:08:04.600003Z,44.143333,142.121667,2.0,0
5.3,1993-08-14T10:29:18.799992Z,33.351667,132.543333,4.7,0
5.1,1993-08-31T00:08:42.800011Z,33.603333,132.468333,6.2,0
5.0,1993-10-03T00:54:05.499968Z,37.481667,140.618333,9.2,0
5.8,1993-11-27T15:11:23.800013Z,38.585000,141.335000,11.2,0
5.7,1994-02-13T02:06:56.299968Z,32.085000,130.495000,0.5,0
5.0,1994-02-18T20:02:54.499982Z,42.593333,142.575000,10.7,0
5.1,1994-04-16T11:32:03.399961Z,35.486667,135.620000,36.1,0
5.0,1994-04-29T03:30:03.699963Z,45.500000,142.031667,32.1,0
5.0,1994-05-08T17:02:01.600018Z,34.081667,135.120000,1.1,0
5.3,1994-05-28T17:04:32.300025Z,35.326667,136.278333,4.4,0
5.2,1994-06-29T11:01:58.799972Z,34.955000,139.878333,6.0,0
5.2,1994-07-01T14:14:49.100039Z,42.255000,143.078333,6.7,0
6.3,1994-08-31T18:07:28.999978Z,43.493333,146.063333,8.4,0
5.3,1994-09-07T12:54:04.800042Z,32.013333,131.150000,1.9,0
5.5,1994-12-18T20:07:33.900036Z,37.295000,139.891667,0.6,0
5.1,1994-12-22T14:56:59.599993Z,34.706667,135.781667,37.9,2
7.3,1995-01-17T05:46:51.859978Z,34.598333,135.035000,16.1,2
5.2,1995-01-17T05:50:23.950037Z,34.656000,135.130167,13.0,2
5.0,1995-01-17T05:53:11.679996Z,34.679500,135.150333,9.2,2
5.0,1995-01-17T06:28:59.930021Z,34.526167,134.912500,12.3,2
5.4,1995-01-17T07:38:36.349986Z,34.787000,135.442667,12.0,2
5.1,1995-01-25T23:15:57.180036Z,34.792667,135.304500,14.8,2
5.0,1995-02-18T21:37:33.860034Z,34.440500,134.813500,15.9,0
5.1,1995-03-11T13:49:56.910004Z,39.325333,142.122000,57.1,0
5.3,1995-03-17T00:08:35.839970Z,35.746500,137.564833,10.3,0
5.1,1995-03-23T07:24:32.390039Z,36.098167,140.013667,56.2,0
5.6,1995-04-01T12:49:34.769974Z,37.891167,139.248000,16.2,0
5.9,1995-05-23T19:01:28.929991Z,43.642667,141.715333,15.7,0
5.3,1995-07-30T03:24:00.139996Z,35.902833,140.585333,42.6,0
5.0,1995-10-01T20:48:04.310007Z,34.946833,139.153000,0.0,0
5.3,1996-02-07T10:33:16.570026Z,35.935000,136.622833,12.2,0
5.5,1996-03-06T23:35:28.719970Z,35.475833,138.947667,19.6,0
6.1,1996-08-11T03:12:17.990002Z,38.908167,140.633500,8.6,0
5.6,1996-08-11T03:54:12.240024Z,38.897667,140.651000,8.9,0
5.8,1996-08-11T08:10:46.600037Z,38.866167,140.672000,9.8,0
5.1,1996-08-11T20:48:14.679997Z,38.893167,140.669167,4.1,0
5.3,1996-08-13T11:13:02.640025Z,38.798167,140.584167,5.6,0
5.6,1996-12-21T10:28:47.709988Z,36.096167,139.860833,53.1,0
5.5,1997-03-03T23:09:43.239970Z,34.960000,139.157833,0.1,0
5.2,1997-03-04T00:30:22.550022Z,34.964667,139.171167,0.0,0
5.9,1997-03-04T12:51:27.230026Z,34.955667,139.169667,2.6,0
5.0,1997-03-07T16:33:21.989983Z,34.969833,139.147167,1.4,0
5.9,1997-03-16T14:51:39.139973Z,34.928167,137.525167,39.1,0
6.6,1997-03-26T17:31:47.899975Z,31.972833,130.359000,11.8,0
5.7,1997-04-03T04:33:23.320020Z,31.970333,130.322000,14.8,0
5.0,1997-04-03T06:47:31.990043Z,33.380000,132.431500,51.8,0
5.2,1997-04-05T13:24:50.139963Z,31.970167,130.403667,12.0,0
5.1,1997-04-09T23:20:10.449976Z,31.973500,130.411000,10.5,0
6.4,1997-05-13T14:38:27.590001Z,31.948333,130.302667,9.2,0
5.1,1997-05-14T08:32:06.379989Z,31.936000,130.344167,8.9,0
6.0,1997-05-24T02:50:38.420045Z,34.500833,137.499833,23.1,0
6.6,1997-06-25T18:50:12.780007Z,34.441500,131.666167,8.3,0
5.5,1997-09-04T05:15:43.220043Z,35.262000,133.376667,8.9,0
5.1,1998-02-05T19:48:48.990014Z,43.193167,145.803333,47.6,0
5.2,1998-02-21T09:55:41.809957Z,37.270333,138.795667,19.1,0
5.5,1998-04-22T20:32:48.419984Z,35.175667,136.563167,7.8,0
5.0,1998-04-26T07:37:36.610006Z,34.963333,139.173500,6.1,0
5.9,1998-05-03T11:09:05.310031Z,34.960667,139.175833,4.7,0
5.7,1998-06-14T22:17:06.190025Z,35.464500,140.749000,46.4,0
5.0,1998-07-01T02:22:47.310038Z,36.622333,137.914833,8.9,0
5.2,1998-08-03T20:09:33.190014Z,37.209667,139.995167,7.6,0
5.0,1998-08-12T15:13:03.670030Z,36.236833,137.628167,2.8,0
5.6,1998-08-16T03:31:07.830022Z,36.328167,137.625667,3.2,0
5.3,1998-08-29T08:46:42.350012Z,35.633000,140.029333,64.6,0
6.2,1998-09-03T16:58:17.209975Z,39.806000,140.901167,7.9,0
5.2,1998-09-15T16:24:02.690039Z,38.281667,140.760000,13.2,0
5.3,1999-02-26T14:18:16.739971Z,39.155167,139.836833,20.6,0
5.0,1999-02-26T14:19:26.230018Z,39.148333,139.852667,16.1,0
5.2,1999-03-16T16:43:35.389975Z,35.277333,135.931167,11.6,0
5.0,1999-03-26T08:31:09.380007Z,36.450667,140.615500,59.0,0
5.2,1999-04-25T21:27:02.949958Z,36.456000,140.622000,59.5,0
5.0,1999-07-15T07:56:21.890002Z,35.935667,140.441000,49.6,0
5.6,1999-08-21T05:33:11.350025Z,34.030833,135.470500,65.8,0
5.0,1999-11-17T07:54:16.230011Z,42.081833,142.403667,59.9,0
6.1,2000-06-03T17:54:47.700024Z,35.689833,140.746500,48.1,0
5.0,2000-06-08T09:32:46.129981Z,32.692333,130.762000,10.3,0
7.3,2000-10-06T13:30:17.940005Z,35.274167,133.349000,9.0,3
5.6,2000-10-08T13:17:55.279992Z,35.139333,133.150167,6.8,3
5.2,2000-10-08T20:51:17.100030Z,35.368833,133.310667,8.3,3
5.7,2000-10-31T01:42:52.980016Z,34.298667,136.321500,38.7,0
5.3,2001-01-04T13:18:21.539978Z,36.956500,138.768667,11.2,0
5.6,2001-01-12T08:00:04.249990Z,35.466000,134.490000,10.6,0
5.0,2001-02-23T07:23:47.899997Z,34.793333,137.548833,32.3,0
6.7,2001-03-24T15:27:54.500000Z,34.132333,132.693667,46.5,0
5.2,2001-03-26T05:40:53.470009Z,34.117167,132.709167,45.9,0
5.2,2001-03-31T06:09:42.930001Z,36.821000,139.375000,4.7,0
5.3,2001-04-03T23:57:12.429967Z,35.024167,138.094333,30.3,0
5.8,2001-04-25T23:40:08.390038Z,32.798833,132.339000,39.3,0
5.0,2001-05-25T15:55:04.540022Z,35.759167,140.666000,47.2,0
5.0,2001-06-01T00:41:45.830001Z,34.994500,138.107500,30.3,0
5.0,2001-07-20T06:02:36.230032Z,36.162000,139.812500,55.2,0
5.4,2001-08-25T22:21:25.120023Z,35.151833,135.660000,8.2,0
5.1,2002-06-14T11:42:49.319974Z,36.216333,139.977167,57.0,0
5.0,2002-07-28T20:31:29.870028Z,42.318500,143.068333,51.7,0
5.5,2002-09-16T10:10:49.859960Z,35.370000,133.739333,9.6,0
5.0,2002-10-16T13:04:34.200018Z,35.835333,140.902833,34.0,0
6.3,2002-11-03T12:37:43.620039Z,38.896500,142.138667,45.8,0
5.0,2003-03-13T12:12:58.000035Z,36.090167,139.855667,47.3,0
5.3,2003-05-12T00:57:06.080029Z,35.868833,140.085667,46.9,0
5.3,2003-05-17T23:33:10.789980Z,35.738500,140.650667,47.3,0
5.6,2003-07-26T00:13:08.250009Z,38.434500,141.164167,11.6,0
6.4,2003-07-26T07:13:31.519976Z,38.405000,141.171000,11.9,0
5.1,2003-07-26T10:22:24.560024Z,38.456500,141.164667,13.0,0
5.5,2003-07-26T16:56:44.529991Z,38.500333,141.189500,12.0,0
5.1,2003-07-28T04:08:05.119956Z,38.458333,141.149667,13.7,0
5.8,2003-09-20T12:54:52.200027Z,35.218833,140.300333,70.0,0
5.2,2003-09-28T07:23:24.530007Z,42.191000,142.969000,50.7,0
5.0,2003-09-28T09:23:11.299977Z,42.267667,143.320500,43.4,0
5.3,2003-11-24T21:18:17.689972Z,42.317000,143.002500,52.3,0
5.0,2003-12-12T10:46:19.269955Z,42.484833,143.031000,58.9,0
5.4,2004-01-06T14:50:52.039967Z,34.215667,136.714333,37.5,0
5.3,2004-01-23T18:01:31.380011Z,37.262500,141.127667,65.9,0
