MAG,Time,Lat,Lon,Depth,clID
5.2,1995-01-29T04:16:55.700030Z,39.844000,40.491500,9.2,0
5.9,1995-02-23T21:03:04.359974Z,35.028600,32.382100,17.1,0
5.3,1995-03-07T03:58:13.420018Z,36.720300,27.715200,16.0,0
5.2,1995-04-13T04:08:03.969973Z,40.829000,27.803300,25.7,0
5.3,1995-05-29T04:58:35.949966Z,35.058500,32.271800,19.8,0
5.1,1995-08-18T00:52:27.259966Z,37.814700,29.386500,16.1,0
6.2,1995-10-01T15:57:16.530022Z,38.037800,30.113200,18.7,0
5.3,1995-10-01T18:03:00.189960Z,38.120000,30.199800,28.9,0
5.2,1995-10-05T16:15:23.940026Z,37.995800,30.074000,13.0,0
5.8,1995-12-05T18:49:32.719955Z,39.494600,40.015700,15.7,0
6.1,1995-12-05T18:52:41.020030Z,39.521100,40.132200,23.7,0
5.0,1996-01-11T23:03:48.240004Z,35.378700,39.623700,17.0,0
5.1,1996-03-29T05:58:52.200016Z,37.760000,36.340000,10.0,0
5.4,1996-04-02T07:59:25.749978Z,37.813800,26.866600,14.0,0
5.4,1996-04-26T07:01:28.929991Z,36.370600,27.916800,68.1,0
5.1,1996-06-18T08:11:06.859965Z,39.078200,45.718700,42.7,0
6.2,1996-07-20T00:00:43.849983Z,36.102800,27.063900,28.0,0
5.5,1996-07-20T09:09:48.950004Z,36.077800,27.215700,24.5,0
5.1,1996-07-21T23:19:10.269956Z,36.238900,27.285500,31.7,0
5.1,1996-07-22T01:44:39.560035Z,36.089500,27.075400,26.4,0
5.1,1996-07-24T00:43:22.559983Z,36.636500,27.194200,19.8,0
5.1,1996-08-09T01:58:13.499958Z,37.390000,35.060000,10.0,0
5.8,1996-08-14T01:55:05.690033Z,40.718200,35.223200,16.5,0
5.6,1996-08-14T02:59:43.589960Z,40.730800,35.244900,15.6,0
5.9,1996-08-14T03:01:05.620022Z,40.335400,35.184000,11.0,0
5.3,1996-08-18T15:02:14.369971Z,36.265700,27.200000,29.6,0
5.1,1996-10-17T21:48:34.200025Z,38.690000,39.920000,10.0,0
5.1,1997-01-11T14:40:17.999964Z,39.680000,39.780000,15.0,0
5.2,1997-01-21T20:47:48.259994Z,38.069800,28.983600,12.8,0
5.7,1997-01-22T17:57:22.400010Z,36.195400,35.964300,19.5,0
5.1,1997-01-22T18:24:53.019995Z,36.141600,35.974100,16.5,0
5.4,1997-01-22T18:27:32.140023Z,36.186100,35.957900,13.7,0
5.2,1997-02-28T00:03:54.229971Z,40.748100,35.377400,8.8,0
5.0,1997-05-09T18:41:01.769971Z,35.436100,27.283100,14.6,0
6.0,1997-11-14T21:38:52.620027Z,38.844200,25.787500,13.8,0
5.2,1997-11-27T17:34:30.180004Z,41.847700,45.328500,24.0,0
5.1,1997-12-09T03:16:13.710027Z,36.842400,42.686400,30.1,0
5.3,1998-01-23T12:32:53.349998Z,39.349900,43.806200,25.4,0
5.0,1998-02-25T06:58:06.100031Z,37.743700,29.661800,29.1,0
5.0,1998-03-05T01:55:32.490018Z,39.537600,27.508000,7.2,0
5.3,1998-03-09T11:21:21.100035Z,36.012900,28.489500,64.1,0
5.2,1998-04-04T16:16:50.030024Z,38.089100,30.048100,16.9,0
5.2,1998-04-13T15:14:34.740035Z,39.318500,41.107400,24.6,0
5.1,1998-05-09T15:38:03.259965Z,38.343800,38.945900,11.7,0
6.2,1998-06-27T13:55:55.919975Z,36.931200,35.279600,37.9,0
5.4,1998-07-04T02:15:48.960024Z,36.787000,35.276100,29.2,0
5.0,1998-07-09T17:36:49.329963Z,37.877600,26.835200,24.0,0
5.0,1998-11-18T11:37:20.739992Z,38.365500,45.294600,17.7,0
5.0,1998-12-19T16:15:18.209983Z,40.121600,41.995100,9.0,0
5.0,1998-12-20T03:21:16.749995Z,38.658000,40.115500,11.0,0
5.0,1999-01-14T22:45:17.890012Z,41.278800,44.001400,16.3,0
5.1,1999-01-15T19:14:12.329984Z,35.374500,45.184400,28.6,0
5.4,1999-04-06T00:08:25.760021Z,39.375600,38.169200,11.9,0
5.0,1999-07-24T16:05:50.140001Z,39.340800,27.951900,10.0,1
5.2,1999-07-25T06:56:55.759978Z,39.337400,27.888700,19.5,1
7.5,1999-08-17T00:01:40.629991Z,40.796800,29.995200,16.3,1
5.1,1999-08-17T00:15:19.799970Z,40.701800,30.845500,11.0,1
5.0,1999-08-17T00:16:27.940025Z,40.730800,29.913400,12.0,1
5.6,1999-08-17T01:33:09.250040Z,40.754500,29.049000,11.0,1
5.7,1999-08-17T02:34:54.870013Z,40.646300,30.589200,11.0,1
5.4,1999-08-17T02:42:56.830032Z,40.682200,30.615200,7.8,1
5.3,1999-08-17T02:50:48.200006Z,40.796000,29.965100,15.4,1
5.3,1999-08-17T03:14:03.619966Z,40.723700,30.550700,19.4,1
5.0,1999-08-17T04:20:19.390013Z,40.710100,30.348000,11.0,1
5.0,1999-08-17T06:28:01.739973Z,40.813700,31.032900,11.0,1
5.1,1999-08-19T15:17:47.250035Z,40.633000,29.107400,17.6,1
5.0,1999-08-20T10:00:19.419988Z,40.657800,30.555900,11.0,1
5.3,1999-08-22T14:31:01.100037Z,40.707000,30.694500,11.0,1
5.1,1999-08-31T08:10:51.049982Z,40.786600,29.909100,6.7,1
5.9,1999-09-13T11:55:30.390006Z,40.787300,30.085300,15.7,1
5.2,1999-09-20T21:28:01.159972Z,40.710200,27.594000,13.4,0
5.2,1999-09-29T00:13:08.109958Z,40.799000,29.377100,14.6,0
5.4,1999-10-05T00:53:27.939983Z,36.758500,28.233900,10.0,0
5.8,1999-10-05T01:04:57.200044Z,36.793300,28.204600,12.0,0
5.1,1999-10-20T23:08:21.819983Z,40.799400,28.965500,13.0,0
5.7,1999-11-11T14:41:26.140009Z,40.806900,30.218300,13.1,3
7.1,1999-11-12T16:57:22.540035Z,40.824300,31.207300,14.9,3
5.6,1999-11-12T17:17:58.659994Z,40.792100,30.989600,11.0,3
5.1,1999-11-12T17:29:33.199961Z,40.820400,31.446300,9.0,3
5.0,1999-11-13T00:54:56.719958Z,40.841600,30.947300,11.0,3
5.0,1999-11-16T17:51:19.840027Z,40.765500,31.504200,12.7,3
5.0,1999-11-17T00:15:50.459962Z,40.842800,31.308100,11.0,3
5.0,1999-11-17T08:15:28.149988Z,40.851500,31.499700,9.0,3
5.0,1999-11-20T08:44:14.120017Z,40.832300,31.478600,9.0,3
5.7,1999-12-03T17:06:55.949960Z,40.435400,42.378300,14.4,0
5.2,2000-01-17T22:19:57.389982Z,38.055000,31.935000,10.0,0
5.2,2000-02-14T06:56:34.689956Z,41.036000,31.738000,10.0,0
5.0,2000-02-26T08:18:37.970011Z,37.305000,44.768000,34.2,0
5.0,2000-03-08T17:14:45.829970Z,37.177000,35.283000,10.0,0
5.4,2000-04-21T12:23:09.019965Z,37.877000,29.364000,19.9,0
6.0,2000-06-06T02:41:50.060026Z,40.700000,32.982000,10.0,0
5.0,2000-06-09T03:14:19.099997Z,40.723000,32.921000,3.9,0
5.4,2000-06-13T01:43:14.690007Z,35.120000,27.066000,9.8,0
