MAG,Time,Lat,Lon,Depth,clID
6.3,1995-08-06T18:38:35.739974Z,37.319000,-118.867500,-0.2,0
5.3,1997-11-02T08:51:52.780032Z,37.878670,-118.166000,7.2,0
5.1,1998-08-12T14:10:25.140004Z,36.754500,-121.461500,8.8,0
5.5,1999-05-15T13:22:10.659989Z,37.529670,-118.817170,2.9,0
5.2,2001-07-17T12:07:25.829960Z,36.012660,-117.866330,7.2,0
5.2,2001-08-10T20:19:27.059978Z,39.811160,-120.616670,5.0,0
6.5,2003-12-22T19:15:56.239982Z,35.700500,-121.100500,8.4,0
5.4,2004-09-18T23:02:17.750001Z,38.009500,-118.678500,3.4,0
5.4,2004-09-18T23:43:41.490019Z,38.023330,-118.658000,0.4,0
6.0,2004-09-28T17:15:24.249979Z,35.818160,-120.366000,8.1,0
5.0,2004-09-29T17:10:04.029970Z,35.953670,-120.502170,10.8,0
5.0,2004-09-29T22:54:53.929958Z,35.386500,-118.628670,8.3,0
5.0,2005-09-22T20:24:48.309955Z,35.026500,-119.030170,10.1,0
5.4,2007-10-31T03:04:54.810018Z,37.433500,-121.774330,9.7,0
5.1,2008-04-26T06:40:10.950009Z,39.523500,-119.931830,1.1,0
5.0,2009-10-01T10:01:23.829978Z,36.385170,-117.837500,-1.4,0
5.1,2009-10-03T01:15:59.740044Z,36.392670,-117.850670,-1.2,0
5.3,2012-10-21T06:55:09.510011Z,36.309670,-120.856000,8.6,0
5.3,2013-02-13T00:10:13.959957Z,38.052170,-118.046170,11.8,0
6.0,2014-08-24T10:20:44.070004Z,38.215170,-122.312330,11.1,0
5.1,2016-08-10T02:57:17.510024Z,39.329330,-122.801830,14.4,0
5.0,2016-12-14T16:41:05.530045Z,38.822170,-122.841330,1.5,0
5.6,2016-12-28T08:18:00.849975Z,38.372170,-118.898500,10.0,0
5.8,2016-12-28T08:22:12.620003Z,38.375670,-118.903340,7.0,0
5.6,2016-12-28T09:13:47.579981Z,38.361500,-118.896840,2.4,0
5.3,2019-07-06T03:47:53.489986Z,35.905830,-117.788670,7.3,0
