,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
0,0,-999,-999,8,33,1.7,1.7,1.7,1.7,-28.427,-177.657,8.0,40,1,41,1,1976-01-14T16:47:32.000003,-999,-999,1,1,1,4,1,4,6.3,-351495.999999,6.3,-351495.999999,6.3,21369.999994,89.69128616638041,231.35859240661264,537.7249613305888,1.0,3.0
1,1,-999,-999,10,41,1.2,-999.0,1.2,-999.0,44.915,149.123,7.0,34,0,34,0,1976-01-21T10:05:23.000003,-999,-999,1,1,0,34,0,34,0.0,0.0,0.0,0.0,5.8,827.999995,0.0,100.64695630120592,114.66193259390072,-1.0,3.0
2,2,-999,-999,20,5,1.9,-999.0,1.9,-999.0,15.324,-89.101,7.5,4,0,4,0,1976-02-04T09:01:42.000002,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.6,342722.999994,0.0,216.98709166233414,248.30743700128235,1.0,1.0
3,3,-999,-999,40,33,0.8,-999.0,0.8,-999.0,40.311,63.773,7.0,4,0,4,0,1976-04-08T02:40:24.999998,-999,-999,1,1,0,4,0,4,0.0,0.0,0.0,0.0,6.2,1119.000004,0.0,27.716332739789525,114.66193259390072,-1.0,2.0
4,4,-999,-999,56,10,2.0,-999.0,2.0,-999.0,40.381,63.472,7.0,1,0,1,0,1976-05-17T02:58:39.000002,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.0,219364.999998,0.0,19.269971135288632,114.66193259390072,-1.0,2.0
5,5,-999,-999,59,10,0.8,0.1,0.8,0.1,24.531,98.71,7.0,4,1,4,1,1976-05-29T14:00:16.999999,-999,-999,2,2,1,4,1,4,6.9,-20196.999999,6.9,-20196.999999,6.2,-5819.999999,24.965086945369947,22.73484678218591,114.66193259390072,-1.0,2.0
6,6,-999,-999,69,33,1.2,-999.0,1.2,-999.0,3.397,96.318,7.0,14,0,16,0,1976-06-20T20:53:12.000001,-999,-999,1,1,0,16,0,14,0.0,0.0,0.0,0.0,5.8,37461.0,0.0,65.32690145049465,114.66193259390072,-1.0,3.0
7,7,-999,-999,70,33,1.2,-999.0,1.2,-999.0,-4.603,140.091,7.1,11,0,11,0,1976-06-25T19:18:55.000002,-999,-999,1,1,0,10,0,10,0.0,0.0,0.0,0.0,5.9,172413.0,0.0,47.85803213118175,133.82379803431266,-1.0,0.0
8,8,-999,-999,72,3,1.4,0.3,1.4,0.3,7.409,-78.127,7.0,15,2,15,2,1976-07-11T20:41:45.999998,-999,-999,2,2,2,15,2,15,6.7,-289128.000005,6.7,-289128.000005,5.6,190246.999999,38.67464941749948,47.77302391560659,114.66193259390072,-1.0,2.0
9,9,-999,-999,79,23,0.1,-999.0,0.1,-999.0,39.57,117.978,7.5,9,0,11,0,1976-07-27T19:42:53.000000,-999,-999,2,2,0,1,0,1,0.0,0.0,0.0,0.0,7.4,54160.999998,0.0,86.78704399371482,248.30743700128235,-1.0,2.0
10,10,-999,-999,85,33,1.1,-999.0,1.1,-999.0,6.262,124.023,7.9,40,0,40,0,1976-08-16T16:11:06.000004,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,6.8,43699.999997,0.0,174.46812212422,460.72958753073897,1.0,3.0
