MAG,Time,Lat,Lon,Depth,clID
5.3,2012-01-26T04:24:58.300017Z,36.060000,25.070000,29.0,0
5.2,2012-01-27T01:33:23.400033Z,36.060000,25.130000,31.0,0
5.0,2012-02-14T01:34:38.699957Z,40.130000,24.090000,24.0,0
5.0,2012-03-04T03:31:07.800038Z,40.130000,24.050000,24.0,0
5.2,2012-04-16T11:23:42.399973Z,36.660000,21.540000,33.0,0
5.5,2012-09-12T03:27:43.600029Z,34.710000,24.020000,26.0,0
5.8,2013-01-08T14:16:08.299982Z,39.670000,25.560000,31.0,0
5.0,2013-02-17T03:12:52.699993Z,37.160000,20.520000,15.0,0
5.1,2013-04-06T11:26:06.499966Z,34.820000,24.110000,24.0,0
5.0,2013-06-06T11:53:46.400005Z,36.740000,21.860000,39.0,0
5.8,2013-06-15T16:11:01.199961Z,34.340000,25.060000,32.0,0
5.6,2013-06-16T21:39:04.599997Z,34.280000,25.130000,28.0,0
5.2,2013-08-07T09:06:51.899989Z,38.700000,22.680000,8.0,0
6.2,2013-10-12T13:11:53.000042Z,35.500000,23.280000,65.0,0
5.8,2014-01-26T13:55:42.999979Z,38.220000,20.530000,16.0,0
5.1,2014-01-26T18:45:08.000037Z,38.230000,20.410000,17.0,0
5.7,2014-02-03T03:08:44.599981Z,38.250000,20.400000,11.0,0
6.3,2014-05-24T09:25:00.999986Z,40.290000,25.400000,28.0,0
5.0,2014-08-22T04:27:53.000035Z,39.920000,23.460000,29.0,0
5.2,2014-10-24T23:43:15.099999Z,38.920000,21.150000,12.0,0
5.0,2014-11-08T23:15:42.200002Z,38.100000,20.440000,18.0,0
5.2,2014-11-17T23:05:55.399977Z,38.640000,23.400000,24.0,0
5.2,2014-11-17T23:09:03.199964Z,38.640000,23.410000,23.0,0
5.3,2015-06-09T01:09:03.000009Z,38.620000,23.390000,13.0,0
6.0,2015-11-17T07:10:07.300012Z,38.670000,20.600000,11.0,0
5.1,2015-11-17T08:33:40.799976Z,38.650000,20.560000,9.0,0
5.2,2016-02-15T18:55:00.399992Z,37.590000,21.720000,24.0,0
5.2,2016-03-29T01:05:28.299986Z,37.340000,20.060000,13.0,0
5.1,2016-07-30T17:26:20.800029Z,35.110000,22.670000,10.0,0
5.0,2016-09-28T07:17:34.099982Z,36.730000,21.870000,56.0,0
5.3,2016-10-15T20:14:49.199998Z,39.790000,20.690000,17.0,0
5.3,2017-07-15T20:30:15.700032Z,34.818500,25.460800,5.0,0
5.3,2017-07-31T21:29:09.800014Z,34.142700,23.905700,8.0,0
5.0,2017-10-11T22:49:44.399973Z,39.114000,24.227000,12.0,0
5.2,2018-06-25T05:14:47.200009Z,36.683300,21.374500,5.0,0
5.0,2018-08-31T07:12:24.500012Z,39.285700,21.630700,10.0,0
5.2,2018-09-27T10:21:50.599989Z,36.663200,21.502100,14.0,0
6.6,2018-10-25T22:54:50.499962Z,37.351600,20.492200,13.0,0
5.3,2018-10-25T23:09:20.500011Z,37.138400,20.658900,8.0,0
5.4,2018-10-30T02:59:59.799981Z,37.593800,20.512300,7.0,0
5.5,2018-10-30T15:12:01.999956Z,37.457500,20.452200,6.0,0
5.1,2018-11-19T13:05:54.799983Z,37.147700,20.503300,10.0,0
5.4,2019-02-05T02:26:08.800024Z,39.004200,20.609400,7.0,0
5.4,2019-03-30T10:46:19.100010Z,38.349200,22.296300,13.0,0
5.1,2019-07-19T11:13:15.199995Z,38.118000,23.530000,13.0,0
5.2,2019-07-31T04:40:05.099977Z,35.404400,24.894100,66.0,0
