MAG,Time,Lat,Lon,Depth,clID
5.2,2014-01-17T21:02:41.000002Z,9.506100,-84.853800,21.1,0
5.2,2014-03-05T21:15:46.999983Z,9.779000,-85.718300,15.5,0
5.0,2014-04-19T13:36:04.000007Z,8.188900,-82.717300,18.7,0
5.2,2014-07-06T11:42:40.999993Z,10.150400,-85.362400,50.3,0
5.4,2014-08-31T10:01:34.000030Z,8.884200,-84.126700,13.8,0
5.1,2014-10-10T06:22:55.000015Z,8.356200,-83.127600,21.7,0
5.0,2014-10-10T10:52:32.999984Z,8.338800,-83.119700,24.1,0
5.0,2014-10-12T06:25:24.000012Z,8.316100,-83.092200,22.2,0
5.0,2014-10-14T03:31:08.999961Z,8.985500,-83.994400,13.4,0
5.2,2015-01-10T06:56:09.000043Z,8.845200,-84.086800,46.4,0
5.1,2015-04-03T18:42:35.999966Z,9.506000,-83.753800,18.5,0
5.1,2015-07-10T11:46:05.999977Z,8.470600,-83.116500,22.2,0
5.0,2015-11-21T23:58:28.999981Z,8.817700,-83.897600,1.0,0
5.1,2016-01-16T16:57:59.999960Z,8.930200,-84.237700,31.8,0
5.4,2016-01-31T11:38:35.000019Z,8.675500,-82.859400,18.7,0
5.2,2016-02-20T11:31:39.000003Z,8.504500,-83.680200,21.7,0
5.2,2016-07-03T01:58:29.000034Z,10.779200,-85.061700,13.3,0
5.4,2016-09-03T22:05:59.999975Z,9.398700,-83.869200,33.1,0
5.3,2017-08-27T10:38:56.000030Z,8.993200,-83.965000,17.5,0
5.9,2017-09-01T07:42:40.999966Z,9.909000,-85.657700,21.2,0
5.0,2017-09-02T10:38:15.000031Z,9.521400,-84.871800,17.6,0
5.2,2017-09-05T11:28:29.000007Z,8.093200,-82.993000,51.0,0
5.2,2017-11-13T02:32:30.000018Z,9.454000,-84.545700,17.3,0
5.2,2017-11-29T08:47:38.999986Z,10.747400,-85.148400,10.3,0
5.0,2018-02-24T10:26:48.000016Z,9.014200,-83.975100,34.7,0
5.1,2018-02-26T13:14:58.999978Z,8.518300,-83.324000,25.3,0
5.2,2018-03-03T01:02:50.999974Z,8.467800,-83.319000,22.6,0
5.0,2018-03-12T21:42:20.999977Z,9.492600,-84.480300,38.3,0
5.5,2018-03-23T07:37:12.999995Z,9.564100,-84.176800,37.3,0
6.0,2018-08-17T23:22:22.000027Z,8.620000,-83.224300,19.6,0
5.2,2018-08-17T23:49:33.000041Z,8.606800,-83.205100,21.1,0
5.2,2018-08-19T02:20:29.999960Z,8.607300,-83.261900,24.0,0
5.7,2018-08-29T21:33:41.000022Z,8.587100,-83.187700,25.4,0
5.0,2018-08-30T08:02:06.000024Z,8.602400,-83.188500,21.9,0
5.1,2018-09-14T01:35:59.000034Z,8.663000,-83.261000,20.7,0
5.2,2018-10-09T01:48:03.999974Z,8.926200,-84.105800,8.8,0
5.2,2018-10-22T01:28:41.999981Z,8.700300,-82.849500,25.5,0
5.3,2018-11-01T11:13:08.000024Z,8.129200,-83.114000,29.5,0
6.0,2018-11-09T09:20:29.999987Z,8.607500,-83.270000,31.6,0
5.5,2019-01-31T13:09:49.999965Z,8.900400,-83.880100,12.8,0
5.4,2019-04-01T13:44:48.000022Z,9.523700,-82.620000,14.9,0
6.0,2019-05-12T19:24:48.000013Z,8.501400,-82.898000,32.7,0
5.2,2019-05-13T01:01:52.000003Z,9.616100,-84.321100,35.9,0
6.9,2019-06-26T05:23:46.999998Z,8.322400,-82.819400,40.2,0
5.0,2019-06-26T05:47:22.000018Z,8.348700,-82.850100,40.6,0
5.2,2019-06-27T13:36:14.000023Z,8.326500,-82.899000,42.2,0
5.2,2019-06-28T11:17:28.999996Z,8.310800,-82.827100,40.6,0
5.3,2019-07-08T00:09:00.999993Z,10.708500,-85.705800,63.2,0
5.2,2019-08-28T23:17:22.000045Z,8.419500,-82.906600,36.9,0
5.4,2019-09-18T04:58:51.999970Z,9.816800,-82.883100,18.0,0
5.4,2019-09-18T11:23:24.999967Z,9.258700,-84.132700,34.7,0
5.0,2019-11-22T09:07:40.999984Z,9.421600,-84.677900,16.3,0
5.0,2019-12-05T01:03:05.999964Z,8.252200,-82.783100,48.5,0
5.4,2019-12-08T18:31:41.000019Z,10.002800,-85.836200,34.5,0
5.6,2020-01-21T09:33:55.000026Z,8.982800,-84.120400,20.4,0
5.8,2020-01-21T11:25:33.000006Z,8.964400,-84.097200,11.5,0
5.9,2020-03-07T02:40:44.999958Z,9.016600,-83.211900,41.2,0
5.3,2020-03-13T04:46:39.000003Z,8.264700,-82.808800,22.9,0
6.0,2020-08-24T21:51:07.999975Z,9.502000,-84.667100,23.2,0
5.0,2020-09-03T05:29:50.999995Z,8.207800,-83.006700,18.9,0
5.5,2020-09-04T17:45:19.000021Z,8.274500,-83.000800,15.6,0
5.6,2020-09-04T17:46:43.000008Z,8.269200,-82.962800,9.6,0
5.2,2020-09-04T17:48:50.999957Z,8.268900,-82.994600,14.1,0
5.4,2021-01-05T00:55:06.000012Z,8.133500,-82.994000,19.9,0
5.4,2021-01-29T13:14:42.000001Z,8.106500,-82.919100,15.8,0
5.0,2021-01-29T13:23:23.000031Z,8.088800,-82.928300,19.2,0
5.1,2021-06-18T13:57:24.000015Z,8.671600,-82.772700,11.9,0
