MAG,Time,Lat,Lon,Depth,clID
6.0,1986-07-08T09:20:44.560037Z,33.999000,-116.608000,9.5,0
5.4,1986-07-13T13:47:08.210023Z,32.971000,-117.874000,5.8,0
5.4,1987-02-07T03:45:14.850000Z,32.388000,-115.305000,6.0,0
5.9,1987-10-01T14:42:20.020002Z,34.061000,-118.079000,8.9,0
5.2,1987-10-04T10:59:38.190023Z,34.074000,-118.098000,7.7,0
6.2,1987-11-24T01:54:14.660034Z,33.090000,-115.792000,10.9,0
6.6,1987-11-24T13:15:56.709996Z,33.015000,-115.852000,11.2,0
5.4,1988-06-10T23:06:43.050010Z,34.943000,-118.743000,5.9,0
5.0,1988-12-03T11:38:26.449955Z,34.151000,-118.130000,13.7,0
5.0,1988-12-16T05:53:04.999978Z,33.979000,-116.681000,6.9,0
5.0,1989-01-19T06:53:28.840008Z,33.919000,-118.627000,11.6,0
5.5,1990-02-28T23:43:36.750032Z,34.144000,-117.697000,3.3,0
5.8,1991-06-28T14:43:54.659974Z,34.270000,-117.993000,8.0,0
6.1,1992-04-23T04:50:23.230028Z,33.960000,-116.317000,11.6,0
5.0,1992-05-04T16:19:49.719997Z,33.941000,-116.304000,11.8,0
5.0,1992-05-18T15:44:17.970033Z,33.951000,-116.337000,6.1,0
7.3,1992-06-28T11:57:34.130021Z,34.200000,-116.437000,-0.1,1
5.8,1992-06-28T12:00:44.999967Z,34.131000,-116.408000,-1.1,1
5.7,1992-06-28T12:01:16.190021Z,34.120000,-116.323000,5.7,1
5.0,1992-06-28T12:02:16.959979Z,34.060000,-116.473000,5.4,1
5.0,1992-06-28T12:02:31.079989Z,34.103000,-116.425000,5.6,1
5.5,1992-06-28T12:36:40.769998Z,34.115000,-116.426000,7.5,1
5.4,1992-06-28T12:40:53.570005Z,34.341000,-116.511000,4.4,1
5.0,1992-06-28T13:50:46.159988Z,34.109000,-116.403000,4.7,1
5.5,1992-06-28T14:43:21.850003Z,34.162000,-116.852000,9.6,1
6.3,1992-06-28T15:05:30.730041Z,34.203000,-116.827000,3.6,1
5.0,1992-06-28T17:01:32.010005Z,34.179000,-116.925000,9.2,1
5.3,1992-06-28T17:05:57.559973Z,34.255000,-116.912000,6.6,1
5.4,1992-06-29T10:14:23.180006Z,36.698000,-116.289000,9.1,0
5.7,1992-06-29T14:08:37.730025Z,34.105000,-116.403000,9.6,1
