,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,1733,8,342,2.0,37.53,-118.81700000000001,5.5,251,251,264,307,452,4,12,7,4,264,1999-05-15T13:22:10.659999Z,1999-05-15T13:22:10.659999Z,1999-05-15T13:22:09.000002,1,1,1,1,1
1,1740,13,275,7.0,37.879,-118.166,5.3,76,69,94,83,99,4,4,4,4,4,1997-11-02T08:51:52.780032Z,1997-11-02T08:51:52.780032Z,1997-11-02T08:51:50.999999,1,1,1,1,1
2,1737,38,106,3.0,38.721,-119.635,4.9,128,119,147,145,210,0,1,0,0,0,1995-12-22T09:00:34.560002Z,1995-12-22T09:00:34.560002Z,1995-12-22T09:00:33.000000,3,3,3,3,3
3,1440,73,2044,6.0,36.63,-121.244,4.6,23,22,19,23,20,0,0,0,0,0,2017-11-13T19:31:29.049970Z,2017-11-13T19:31:29.049970Z,2017-11-13T19:31:28.000001,1,1,1,1,1
4,391,84,94,0.0,39.622,-120.06,4.5,8,5,11,8,12,0,0,1,0,1,1995-11-15T20:33:59.720030Z,1995-11-15T20:33:59.720030Z,1995-11-15T20:33:57.999998,1,1,1,1,1
5,1676,68,1193,7.0,37.54,-118.868,4.6,14,14,13,17,21,1,2,1,1,2,2007-06-12T07:23:43.130026Z,2007-06-12T07:23:43.130026Z,2007-06-12T07:23:42.000003,1,1,1,1,1
6,1646,60,1170,6.0,38.429,-119.361,4.7,16,16,19,16,20,0,0,0,0,0,2007-03-09T03:17:32.109994Z,2007-03-09T03:17:32.109994Z,2007-03-09T03:17:31.000001,1,1,1,1,1
7,1756,66,699,6.0,36.64,-121.251,4.6,12,7,5,12,15,0,1,0,0,0,2001-12-28T21:14:01.950030Z,2001-12-28T21:14:01.950030Z,2001-12-28T21:14:00.000000,1,1,1,1,1
8,1325,20,362,8.0,36.755,-121.462,5.1,19,18,28,23,55,2,2,2,2,2,1998-08-12T14:10:25.140004Z,1998-08-12T14:10:25.140004Z,1998-08-12T14:10:24.000003,1,1,1,1,1
9,720,44,388,1.0,39.284,-120.045,4.8,1,1,6,1,6,0,0,0,0,0,1998-10-30T09:53:31.569997Z,1998-10-30T09:53:31.569997Z,1998-10-30T09:53:29.999997,-1,-1,1,-1,1
10,1699,54,2195,10.0,36.645,-121.274,4.7,11,11,7,14,7,1,2,0,1,0,2019-10-15T19:42:30.540035Z,2019-10-15T19:42:30.540035Z,2019-10-15T19:42:28.999998,1,1,1,1,1
11,1517,55,1090,3.0,38.817,-122.814,4.7,9,7,9,11,88,1,14,1,1,1,2006-05-12T10:37:29.330031Z,2006-05-12T10:37:29.330031Z,2006-05-12T10:37:28.000002,1,1,1,1,5
12,1553,64,1559,7.0,36.584,-121.181,4.6,20,16,9,20,22,6,5,0,6,1,2011-08-27T07:18:21.149968Z,2011-08-27T07:18:21.149968Z,2011-08-27T07:18:20.000002,1,1,1,1,1
13,1634,3,1801,11.0,38.215,-122.31200000000001,6.0,24,24,35,37,39,0,2,0,0,0,2014-08-24T10:20:44.070004Z,2014-08-24T10:20:44.070004Z,2014-08-24T10:20:42.999998,1,1,1,1,1
14,876,75,1124,2.0,38.867,-122.787,4.6,3,3,6,3,7,0,0,0,0,0,2006-10-20T17:00:08.099969Z,2006-10-20T17:00:08.099969Z,2006-10-20T17:00:06.999998,1,1,1,1,1
15,787,57,145,7.0,37.359,-121.72200000000001,4.7,0,0,1,3,14,0,1,0,0,0,1996-05-21T20:50:20.170033Z,1996-05-21T20:50:20.170033Z,1996-05-21T20:50:19.000003,-1,-1,-1,1,1
16,1730,70,512,5.0,38.769,-122.914,4.6,12,12,16,12,17,2,3,2,2,2,2000-01-11T14:19:52.089967Z,2000-01-11T14:19:52.089967Z,2000-01-11T14:19:50.999999,3,3,3,3,3
17,1511,50,1570,11.0,39.605,-120.47200000000001,4.7,3,3,5,3,5,0,0,0,0,0,2011-10-27T06:37:09.339970Z,2011-10-27T06:37:09.339970Z,2011-10-27T06:37:07.999997,1,1,1,1,1
18,1736,2,67,0.0,37.319,-118.868,6.3,42,42,50,288,71,1,35,0,1,0,1995-08-06T18:38:35.739974Z,1995-08-06T18:38:35.739974Z,1995-08-06T18:38:33.999999,1,1,1,1,1
19,1237,23,1857,1.0,38.821999999999996,-122.84100000000001,5.0,7,6,3,12,4,0,7,1,0,3,2016-12-14T16:41:05.530045Z,2016-12-14T16:41:05.530045Z,2016-12-14T16:41:04.000001,1,1,1,1,1
20,1307,21,1938,14.0,39.329,-122.802,5.1,3,3,6,6,10,0,4,0,0,0,2016-08-10T02:57:17.510035Z,2016-08-10T02:57:17.510035Z,2016-08-10T02:57:16.000003,1,1,1,1,1
21,549,46,1024,-2.0,39.305,-120.09299999999999,4.8,1,1,1,1,1,0,0,0,0,0,2005-06-26T18:45:57.790020Z,2005-06-26T18:45:57.790020Z,2005-06-26T18:45:56.000001,-1,-1,-1,-1,-1
22,1747,25,1036,10.0,35.025999999999996,-119.03,5.0,17,17,22,19,25,1,1,1,1,1,2005-09-22T20:24:48.309955Z,2005-09-22T20:24:48.309955Z,2005-09-22T20:24:47.000003,1,1,1,1,1
23,1048,67,463,7.0,37.907,-122.686,4.6,3,3,3,3,3,0,0,0,0,0,1999-08-18T01:06:18.939965Z,1999-08-18T01:06:18.939965Z,1999-08-18T01:06:17.000000,1,1,1,1,1
24,1613,69,195,-1.0,38.662,-119.56299999999999,4.6,38,31,49,39,54,6,6,10,6,10,1996-12-12T18:35:49.830031Z,1996-12-12T18:35:49.830031Z,1996-12-12T18:35:48.000003,2,2,2,2,2
25,1211,40,1908,21.0,35.547,-119.368,4.8,6,6,8,8,10,0,0,0,0,0,2016-02-24T00:02:23.610014Z,2016-02-24T00:02:23.610014Z,2016-02-24T00:02:22.000002,1,1,1,1,1
26,1415,49,1904,15.0,37.202,-118.40299999999999,4.7,4,4,5,4,6,0,0,0,0,0,2016-02-16T23:04:26.909972Z,2016-02-16T23:04:26.909972Z,2016-02-16T23:04:25.000002,2,2,2,2,2
27,1578,18,1272,1.0,39.523,-119.932,5.1,48,48,49,51,53,23,28,24,23,24,2008-04-26T06:40:10.950019Z,2008-04-26T06:40:10.950019Z,2008-04-26T06:40:09.000003,1,1,1,1,1
28,1758,16,656,5.0,39.811,-120.617,5.2,7,7,9,8,10,0,0,0,0,0,2001-08-10T20:19:27.059988Z,2001-08-10T20:19:27.059988Z,2001-08-10T20:19:25.999999,1,1,1,1,1
29,447,74,883,2.0,38.836999999999996,-122.76700000000001,4.6,2,2,6,2,48,0,1,0,0,0,2004-02-18T20:37:46.419967Z,2004-02-18T20:37:46.419967Z,2004-02-18T20:37:45.000000,-1,1,1,-1,1
