,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,215,67,344,9.0,35.81,-121.335,5.2,1,1,1,1,1,0,0,0,2,0,1991-09-17T21:10:29.020004Z,1991-09-17T21:10:29.020004Z,1991-09-17T21:10:27.999996,0,0,0,1,0
1,1504,2,342,1.0,41.678999999999995,-125.85600000000001,7.0,19,25,69,19,82,16,21,30,17,30,1991-08-17T22:17:09.970019Z,1991-08-17T22:17:09.970019Z,1991-08-17T22:17:08.000000,1,1,1,1,1
2,159,39,685,6.0,41.053000000000004,-125.34299999999999,5.5,4,4,4,4,5,0,0,0,0,0,1997-10-04T10:57:34.180014Z,1997-10-04T10:57:34.180014Z,1997-10-04T10:57:33.000001,2,2,2,2,2
3,1409,9,1243,28.0,40.652,-124.69200000000001,6.5,36,35,43,36,56,0,4,0,4,0,2010-01-10T00:27:39.320028Z,2010-01-10T00:27:39.320028Z,2010-01-10T00:27:38.000002,1,1,1,1,1
4,505,83,457,9.0,36.796,-121.311,5.1,0,0,0,0,2,2,0,0,5,0,1988-02-20T08:39:57.259984Z,1988-02-20T08:39:57.259984Z,1988-02-20T08:39:55.999999,0,0,0,1,0
5,1536,1,377,9.0,40.335,-124.229,7.2,363,373,417,364,576,9,15,0,113,0,1992-04-25T18:06:05.179965Z,1992-04-25T18:06:05.179965Z,1992-04-25T18:06:04.000001,1,1,1,1,1
6,1515,30,654,23.0,40.274,-124.37899999999999,5.6,7,4,11,7,18,1,1,1,8,1,1997-01-22T07:17:16.809963Z,1997-01-22T07:17:16.809963Z,1997-01-22T07:17:15.000003,2,2,2,2,0
7,972,46,1146,0.0,40.643,-124.863,5.4,4,1,3,4,3,0,0,0,0,0,2007-02-26T12:19:54.530033Z,2007-02-26T12:19:54.530033Z,2007-02-26T12:19:53.000001,1,0,1,1,1
8,1250,6,549,4.0,40.592,-125.757,6.6,23,24,42,23,45,1,2,0,7,0,1995-02-19T04:03:14.940028Z,1995-02-19T04:03:14.940028Z,1995-02-19T04:03:13.000003,1,1,1,1,1
9,3,49,761,4.0,40.674,-125.292,5.4,1,1,1,1,1,0,0,0,0,0,1998-11-27T00:43:49.059980Z,1998-11-27T00:43:49.059980Z,1998-11-27T00:43:48.000002,0,0,0,0,0
10,1565,4,251,17.0,37.036,-121.88,6.9,253,263,288,310,416,2,8,0,8,0,1989-10-18T00:04:15.189996Z,1989-10-18T00:04:15.189996Z,1989-10-18T00:04:13.999997,1,1,1,1,1
11,638,63,1156,0.0,40.374,-125.016,5.2,2,1,3,2,3,0,0,0,5,0,2007-05-09T07:50:03.830032Z,2007-05-09T07:50:03.830032Z,2007-05-09T07:50:02.000002,0,0,1,1,1
12,1217,38,53,8.0,36.804,-121.285,5.5,17,23,25,17,29,0,0,0,0,0,1986-01-26T19:20:50.950031Z,1986-01-26T19:20:50.950031Z,1986-01-26T19:20:48.999997,1,1,1,1,1
13,329,41,533,22.0,40.738,-124.303,5.4,5,4,6,5,6,0,0,0,0,0,1994-12-26T14:10:29.179984Z,1994-12-26T14:10:29.179984Z,1994-12-26T14:10:28.000000,1,1,1,1,1
14,322,111,530,8.0,35.918,-120.465,4.9,1,1,1,1,1,1,1,0,1,0,1994-12-20T10:27:47.179950Z,1994-12-20T10:27:47.179950Z,1994-12-20T10:27:45.999998,0,0,0,0,0
15,1520,94,1120,20.0,40.281,-124.43299999999999,5.0,1,1,1,1,1,0,0,0,7,0,2006-07-19T11:41:43.460011Z,2006-07-19T11:41:43.460011Z,2006-07-19T11:41:41.999998,0,0,0,2,0
16,1307,31,140,16.0,40.416,-124.383,5.6,51,43,53,51,56,2,2,0,47,0,1987-07-31T23:56:57.829996Z,1987-07-31T23:56:57.829996Z,1987-07-31T23:56:55.999997,1,1,1,1,1
17,1429,112,936,6.0,36.967,-121.598,4.9,4,2,1,4,5,4,2,0,4,0,2002-05-14T05:00:29.500044Z,2002-05-14T05:00:29.500044Z,2002-05-14T05:00:27.999998,1,1,0,1,1
18,966,26,821,4.0,40.389,-125.23899999999999,5.7,7,5,9,7,10,1,0,0,6,0,2000-03-16T15:19:56.380013Z,2000-03-16T15:19:56.380013Z,2000-03-16T15:19:55.000001,1,1,1,1,1
19,654,59,201,7.0,38.461,-118.34100000000001,5.3,1,3,6,1,7,0,0,0,0,0,1988-09-19T02:56:31.249996Z,1988-09-19T02:56:31.249996Z,1988-09-19T02:56:30.000002,0,1,1,0,1
20,1553,37,781,2.0,37.53,-118.81700000000001,5.5,136,136,135,152,177,8,7,3,364,3,1999-05-15T13:22:10.659999Z,1999-05-15T13:22:10.659999Z,1999-05-15T13:22:09.000002,1,1,1,1,1
21,1476,24,64,8.0,37.479,-121.68700000000001,5.7,31,30,35,31,47,2,1,1,3,1,1986-03-31T11:55:39.810031Z,1986-03-31T11:55:39.810031Z,1986-03-31T11:55:38.000000,1,1,1,1,1
22,1350,48,1038,3.0,38.01,-118.678,5.4,52,52,61,52,71,6,6,6,7,6,2004-09-18T23:02:17.750001Z,2004-09-18T23:02:17.750001Z,2004-09-18T23:02:16.000003,2,2,2,2,2
23,1556,107,505,18.0,40.355,-124.463,4.9,12,4,4,76,9,4,1,0,5,0,1994-06-19T10:39:32.880035Z,1994-06-19T10:39:32.880035Z,1994-06-19T10:39:31.000003,1,1,1,4,2
24,1445,115,500,6.0,36.602,-121.20100000000001,4.9,11,11,8,11,23,5,2,1,11,3,1995-04-23T08:41:36.649970Z,1995-04-23T08:41:36.649970Z,1995-04-23T08:41:35.000000,1,1,1,1,1
25,1019,103,1205,20.0,40.336999999999996,-124.62899999999999,4.9,3,3,3,3,4,3,1,1,5,1,2008-10-26T09:27:22.340016Z,2008-10-26T09:27:22.340016Z,2008-10-26T09:27:20.999999,2,2,2,2,2
26,1458,70,902,7.0,36.013000000000005,-117.866,5.2,78,77,91,78,96,14,14,14,20,14,2001-07-17T12:07:25.829970Z,2001-07-17T12:07:25.829970Z,2001-07-17T12:07:24.000001,2,2,2,2,2
27,398,65,907,5.0,39.811,-120.617,5.2,4,4,4,4,4,0,0,0,0,0,2001-08-10T20:19:27.059988Z,2001-08-10T20:19:27.059988Z,2001-08-10T20:19:25.999999,1,1,1,1,1
28,1540,77,741,8.0,36.755,-121.462,5.1,17,7,7,17,10,3,2,2,10,2,1998-08-12T14:10:25.140004Z,1998-08-12T14:10:25.140004Z,1998-08-12T14:10:24.000003,1,1,1,1,1
29,1164,117,618,5.0,36.885,-121.613,4.9,3,3,1,3,13,1,1,1,8,1,1996-04-19T00:52:41.440014Z,1996-04-19T00:52:41.440014Z,1996-04-19T00:52:39.999999,1,1,0,1,1
30,853,50,182,9.0,34.949,-118.74,5.4,3,3,3,3,9,0,0,0,0,0,1988-06-10T23:06:42.510011Z,1988-06-10T23:06:42.510011Z,1988-06-10T23:06:40.999997,1,1,1,1,1
31,601,57,183,9.0,37.393,-121.742,5.3,3,2,3,3,9,2,2,0,3,0,1988-06-13T01:45:36.530034Z,1988-06-13T01:45:36.530034Z,1988-06-13T01:45:34.999999,1,1,1,1,1
32,1567,11,77,8.0,37.538000000000004,-118.443,6.4,382,385,426,423,513,68,69,66,133,66,1986-07-21T14:42:26.000004Z,1986-07-21T14:42:26.000004Z,1986-07-21T14:42:25.000002,1,1,1,1,1
33,1224,93,1045,8.0,35.385999999999996,-118.62899999999999,5.0,3,3,3,3,4,0,0,0,0,0,2004-09-29T22:54:53.929958Z,2004-09-29T22:54:53.929958Z,2004-09-29T22:54:51.999998,1,1,1,1,1
