,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,-999.0,-999.0,0,0,1,27.519000000000002,-999.0,0.1200000000000001,40.6965,-123.86733000000001,4.42,0,0,1,1,2004-12-12T09:13:33.569969Z,-999.0,inf
1,-999.0,-999.0,1,0,2,-0.423,0.7000000000000002,-999.0,40.3745,-125.01616999999999,5.2,1,1,0,2,2007-05-09T07:50:03.830032Z,inf,-999.0
2,-999.0,-999.0,0,0,3,11.431,0.08000000000000007,-999.0,39.49933,-122.94883,4.29,1,1,0,0,2011-02-23T04:49:41.509986Z,inf,-999.0
3,-999.0,-999.0,0,0,4,6.007999999999999,-999.0,0.09999999999999964,39.0465,-123.12083,4.3,0,0,1,1,2001-12-14T09:41:05.859970Z,-999.0,inf
4,-999.0,-999.0,0,0,5,-0.5329999999999999,1.2000000000000002,-999.0,40.64283,-124.86283,5.4,1,1,0,0,2007-02-26T12:19:54.530033Z,inf,-999.0
5,-999.0,-999.0,0,0,6,10.352,0.17999999999999972,-999.0,35.99667,-119.94033,4.38,1,1,0,0,1992-09-16T06:14:33.680003Z,inf,-999.0
6,-999.0,-999.0,0,0,7,22.1,-999.0,0.23999999999999932,40.2785,-124.38600000000001,4.35,0,0,1,1,2016-12-05T18:33:15.479973Z,-999.0,inf
7,-999.0,-999.0,0,0,8,4.069,0.10000000000000053,-999.0,40.47983,-125.20966000000001,4.2,1,1,0,0,1991-02-21T20:53:20.039969Z,inf,-999.0
8,-999.0,-999.0,0,0,9,6.86,-999.0,0.2699999999999996,40.419000000000004,-125.13717,4.35,0,0,1,2,2019-03-24T11:32:02.009967Z,-999.0,inf
9,-999.0,-999.0,0,0,10,4.492,1.3200000000000003,-999.0,40.67367,-125.29217,5.4,1,1,0,0,1998-11-27T00:43:49.059980Z,inf,-999.0
10,-999.0,-999.0,0,0,11,5.011,1.1800000000000006,-999.0,39.81116,-120.61667,5.2,1,1,0,0,2001-08-10T20:19:27.059988Z,inf,-999.0
11,-999.0,-999.0,0,0,12,10.588,-999.0,0.09999999999999964,37.4745,-118.60733,4.1,0,0,1,1,1990-03-07T07:16:36.189956Z,-999.0,inf
12,-999.0,-999.0,0,0,13,7.574,0.10000000000000053,-999.0,35.21767,-118.21383999999999,4.2,2,2,0,0,1990-01-11T01:22:10.020031Z,0.2644546909074794,-999.0
