,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,0.8153513188686132,-999.0,1,1,1,9.856,0.6299999999999999,1.88,40.33533,-124.22867,7.2,170,170,6,6,1992-04-25T18:06:05.179965Z,2.854968259682276,0.123784475077722
1,-999.0,-999.0,1,1,2,1.3030000000000002,2.54,0.9000000000000004,41.678999999999995,-125.85600000000001,7.0,10,10,11,11,1991-08-17T22:17:09.970019Z,1.2278648581317753,0.3134430024627393
2,-999.0,-999.0,1,1,3,2.122,3.1400000000000006,3.0100000000000002,41.23267,-125.98633999999998,6.98,10,10,3,3,2005-06-15T02:50:51.330013Z,0.18108816709593983,0.12674554147800635
3,0.7480249435010422,-999.0,1,1,4,17.214000000000002,1.8000000000000007,3.5000000000000004,37.03617,-121.87983999999999,6.9,136,136,2,2,1989-10-18T00:04:15.189996Z,2.465729768274649,0.11883131791840285
4,-999.0,-999.0,1,1,5,16.441,2.33,2.17,40.82867,-125.13383,6.8,17,17,2,2,2014-03-10T05:18:13.429981Z,0.38042830830086044,0.10738596837514146
5,-999.0,-999.0,1,1,6,4.622,2.3199999999999994,1.8999999999999995,40.591840000000005,-125.75667,6.6,16,16,2,2,1995-02-19T04:03:14.940028Z,0.6190720487110203,0.1935284338282781
6,-999.0,-999.0,0,0,7,21.713,-999.0,-999.0,40.38283,-124.555,6.57,0,0,0,0,1992-04-26T11:18:25.980013Z,-999.0,-999.0
7,-999.0,-999.0,1,1,8,28.737,0.6200000000000001,-999.0,40.652,-124.6925,6.5,15,15,0,0,2010-01-10T00:27:39.320028Z,0.2710715548962206,-999.0
8,1.0554241712678492,-999.0,1,1,9,8.382,1.7699999999999996,-999.0,35.7005,-121.1005,6.5,168,168,0,0,2003-12-22T19:15:56.239982Z,2.981727037048435,-999.0
9,-999.0,-999.0,0,0,10,18.824,-999.0,-999.0,40.4325,-124.566,6.45,0,0,0,0,1992-04-26T07:41:40.089956Z,-999.0,-999.0
10,0.738875300024436,0.8670588599360282,1,1,11,8.804,0.6000000000000005,0.5,37.538000000000004,-118.44283,6.4,189,189,34,34,1986-07-21T14:42:26.000004Z,3.2189757326387416,5.3100697709997755
11,0.7959344358189316,-999.0,1,1,12,-1.09,1.54,-999.0,37.16583,-117.78033,6.36,39,39,0,0,1993-05-17T23:20:48.890031Z,1.0942070262353494,-999.0
12,-999.0,-999.0,0,0,13,2.549,-999.0,-999.0,41.66117,-125.8455,6.1,0,0,0,0,1991-08-16T22:26:14.250018Z,-999.0,-999.0
13,-999.0,-999.0,1,1,14,11.12,2.1199999999999997,-999.0,38.21517,-122.31233,6.02,6,6,0,0,2014-08-24T10:20:44.070004Z,0.8644676914478032,-999.0
14,-999.0,-999.0,1,1,15,8.32,1.9000000000000004,-999.0,40.251670000000004,-124.28584,6.0,17,17,0,0,1991-08-17T19:29:39.999948Z,0.5051229085343816,-999.0
15,-999.0,-999.0,1,1,16,8.136000000000001,0.9699999999999998,-999.0,35.81816,-120.366,5.97,18,18,0,0,2004-09-28T17:15:24.249969Z,0.30251904821735626,-999.0
16,1.1133011121010152,-999.0,1,1,17,-1.258,0.8000000000000007,-999.0,38.808170000000004,-119.6925,5.9,104,104,0,0,1994-09-12T12:23:43.030030Z,1.824340925249395,-999.0
17,-999.0,-999.0,0,0,18,5.044,-999.0,-999.0,37.56667,-118.43816000000001,5.9,0,0,0,0,1986-07-20T14:29:45.439987Z,-999.0,-999.0
18,-999.0,-999.0,0,0,19,23.048000000000002,-999.0,-999.0,40.41233,-124.96133,5.88,0,0,0,0,2010-02-04T20:20:21.970030Z,-999.0,-999.0
19,-999.0,-999.0,1,1,20,10.902999999999999,1.5,-999.0,38.06183,-119.11916000000001,5.8,5,5,0,0,1990-10-24T06:15:19.949969Z,0.3726753694632418,-999.0
20,-999.0,-999.0,0,0,21,5.754,2.4699999999999998,-999.0,37.47317,-118.36867,5.8,2,2,0,0,1986-07-31T07:22:39.769970Z,0.26324557913106467,-999.0
21,-999.0,-999.0,3,3,22,7.01,0.20000000000000018,0.15000000000000036,38.37567,-118.90333999999999,5.79,21,21,1,1,2016-12-28T08:22:12.620003Z,1.0007144706708424,inf
22,-999.0,-999.0,1,1,23,16.881,1.4699999999999998,1.4399999999999995,40.31783,-124.60667,5.72,2,2,2,2,2015-01-28T21:08:53.710000Z,0.050639445347535686,0.12597193673034493
23,-999.0,-999.0,1,1,24,8.502,2.2,-999.0,37.47917,-121.68666999999999,5.7,9,9,0,0,1986-03-31T11:55:39.810031Z,0.2006397802945082,-999.0
24,-999.0,-999.0,0,0,25,4.803,1.9300000000000002,-999.0,40.38867,-125.2385,5.7,2,2,0,0,2000-03-16T15:19:56.380013Z,0.05672170616627484,-999.0
25,-999.0,-999.0,0,0,26,8.482000000000001,-999.0,-999.0,37.49317,-118.45383000000001,5.7,0,0,0,0,1986-07-21T14:51:09.369997Z,-999.0,-999.0
26,-999.0,-999.0,1,1,27,7.968,0.8300000000000001,-999.0,40.191829999999996,-121.0595,5.69,23,23,0,0,2013-05-24T03:47:08.180013Z,0.521389395170864,-999.0
27,-999.0,-999.0,0,0,28,28.57,-999.0,-999.0,40.320840000000004,-125.68767,5.64,0,0,0,0,2016-09-03T03:27:57.250015Z,-999.0,-999.0
28,-999.0,-999.0,0,0,29,10.01,-999.0,-999.0,38.372170000000004,-118.8985,5.64,0,0,0,0,2016-12-28T08:18:00.849965Z,-999.0,-999.0
29,-999.0,-999.0,1,1,30,16.895,1.7999999999999998,1.9999999999999996,40.41567,-124.38266999999999,5.6,17,17,2,2,1987-07-31T23:56:57.829996Z,0.33821787755283017,0.36792986195425664
30,-999.0,-999.0,0,0,31,23.006999999999998,0.39999999999999947,1.3999999999999995,40.27367,-124.37917,5.6,1,1,1,1,1997-01-22T07:17:16.809963Z,inf,inf
31,-999.0,-999.0,0,0,32,27.358,1.8699999999999997,-999.0,41.14317,-123.79033999999999,5.6,1,1,0,0,2012-02-13T21:07:02.769966Z,inf,-999.0
32,-999.0,-999.0,0,0,33,-0.076,-999.0,-999.0,37.62133,-118.3425,5.6,0,0,0,0,1986-07-21T22:07:15.639969Z,-999.0,-999.0
33,-999.0,-999.0,1,1,34,15.89,1.2999999999999998,0.8999999999999995,36.143,-120.15633000000001,5.6,7,7,3,3,1985-08-04T12:01:55.870001Z,1.3933474112210653,3.3397138379438394
34,-999.0,-999.0,0,0,35,2.43,-999.0,-999.0,38.3615,-118.89684,5.59,0,0,0,0,2016-12-28T09:13:47.579981Z,-999.0,-999.0
35,-999.0,-999.0,0,0,36,9.44,-999.0,-999.0,40.2735,-124.30033,5.58,0,0,0,0,2019-06-23T03:53:02.890028Z,-999.0,-999.0
36,-999.0,-999.0,1,1,37,8.152999999999999,1.5,-999.0,36.80433,-121.285,5.5,6,6,0,0,1986-01-26T19:20:50.950031Z,5.888858698819194,-999.0
37,1.0592548339103733,-999.0,1,1,38,2.9339999999999997,0.7999999999999998,2.0,37.52967,-118.81716999999999,5.5,39,39,2,2,1999-05-15T13:22:10.659999Z,0.786377057385809,0.053305553736508214
38,-999.0,-999.0,2,2,39,6.792000000000001,0.2999999999999998,-999.0,41.05283,-125.34333000000001,5.5,4,4,0,0,1997-10-04T10:57:34.180014Z,0.18891748275742506,-999.0
39,-999.0,-999.0,0,0,40,9.741,1.7600000000000002,-999.0,37.4335,-121.77433,5.45,1,1,0,0,2007-10-31T03:04:54.810018Z,inf,-999.0
40,-999.0,-999.0,0,0,41,3.759,1.8000000000000003,-999.0,40.2425,-124.2975,5.4,1,1,0,0,1990-01-16T20:08:20.459962Z,inf,-999.0
41,-999.0,-999.0,0,0,42,22.622,1.2000000000000002,-999.0,40.73833,-124.30283,5.4,1,1,0,0,1994-12-26T14:10:29.179984Z,inf,-999.0
42,-999.0,-999.0,0,0,43,4.492,1.3200000000000003,-999.0,40.67367,-125.29217,5.4,1,1,0,0,1998-11-27T00:43:49.059980Z,inf,-999.0
43,-999.0,-999.0,0,0,44,27.755,-999.0,-999.0,40.83583,-123.49683,5.4,0,0,0,0,2008-04-30T03:03:06.899972Z,-999.0,-999.0
44,-999.0,-999.0,0,0,45,9.001,1.8900000000000006,-999.0,34.949,-118.74016999999999,5.4,1,1,0,0,1988-06-10T23:06:42.510011Z,inf,-999.0
45,-999.0,-999.0,0,0,46,2.2430000000000003,-999.0,-999.0,40.75566,-125.2445,5.4,0,0,0,0,2001-01-13T13:08:42.100021Z,-999.0,-999.0
46,-999.0,-999.0,2,2,47,3.355,0.05000000000000071,1.29,38.0095,-118.6785,5.4,21,21,3,3,2004-09-18T23:02:17.750001Z,0.590343850666672,13.005865187188121
47,-999.0,-999.0,0,0,48,-0.5329999999999999,-999.0,-999.0,40.64283,-124.86283,5.4,0,0,0,0,2007-02-26T12:19:54.530033Z,-999.0,-999.0
48,-999.0,-999.0,0,0,49,13.409,0.9000000000000004,-999.0,37.14817,-121.92683000000001,5.4,2,2,0,0,1989-08-08T08:13:27.390001Z,6.708493810441495,-999.0
49,-999.0,-999.0,0,0,50,5.4879999999999995,0.3000000000000007,0.5,36.93233,-121.65683,5.4,9,9,6,6,1990-04-18T13:53:51.299981Z,2.5983074780006237,0.23082267530177508
50,-999.0,-999.0,0,0,51,23.9,-999.0,-999.0,40.442,-125.77467,5.36,0,0,0,0,2015-01-01T12:16:14.569970Z,-999.0,-999.0
51,-999.0,-999.0,0,0,52,0.431,-999.0,-999.0,38.02333,-118.65799999999999,5.35,0,0,0,0,2004-09-18T23:43:41.490019Z,-999.0,-999.0
52,-999.0,-999.0,0,0,53,9.48,-999.0,-999.0,40.23267,-124.2625,5.32,0,0,0,0,1992-03-08T03:43:04.049985Z,-999.0,-999.0
