,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,0.9074780561017571,-999.0,1,1,1,8.382,1.7699999999999996,-999.0,35.7005,-121.1005,6.5,918,918,2,2,0,0,0,0,2003-12-22T19:15:56.239982Z,15.315921615520287,-999.0
1,1.081231075277806,0.9488331377411868,1,1,2,-0.2,2.7800000000000002,2.7600000000000002,37.319,-118.8675,6.33,42,42,0,0,35,35,0,0,1995-08-06T18:38:35.739974Z,0.7708065547940007,0.7990694878210205
2,-999.0,-999.0,1,1,3,11.12,2.1199999999999997,2.9899999999999998,38.21517,-122.31233,6.02,24,24,0,0,2,2,0,0,2014-08-24T10:20:44.070004Z,0.6690508961224062,0.12231396099995806
3,0.8324110969026584,-999.0,1,1,4,8.136000000000001,0.9699999999999998,-999.0,35.81816,-120.366,5.97,104,104,5,5,0,0,0,0,2004-09-28T17:15:24.249969Z,1.7478878341447248,-999.0
4,0.6881754102963734,-999.0,3,3,5,7.01,0.20000000000000018,0.15000000000000036,38.37567,-118.90333999999999,5.79,74,74,3,3,2,2,1,1,2016-12-28T08:22:12.620003Z,2.124991398484742,0.07707531714519453
5,-999.0,-999.0,-1,-1,6,10.01,-999.0,-999.0,38.372170000000004,-118.8985,5.64,0,0,0,0,0,0,0,0,2016-12-28T08:18:00.849965Z,-999.0,-999.0
6,-999.0,-999.0,-1,-1,7,2.43,-999.0,-999.0,38.3615,-118.89684,5.59,0,0,0,0,0,0,0,0,2016-12-28T09:13:47.579981Z,-999.0,-999.0
7,0.8083042781975098,-999.0,1,1,8,2.9339999999999997,0.7999999999999998,2.0,37.52967,-118.81716999999999,5.5,251,251,16,16,12,12,1,1,1999-05-15T13:22:10.659999Z,4.540686680129946,0.24024381911256507
8,-999.0,-999.0,1,1,9,9.741,1.7600000000000002,-999.0,37.4335,-121.77433,5.45,7,7,1,1,0,0,0,0,2007-10-31T03:04:54.810018Z,0.2564310125089094,-999.0
9,0.8580491475064248,-999.0,2,2,10,3.355,0.05000000000000071,1.29,38.0095,-118.6785,5.4,127,127,13,13,9,9,3,3,2004-09-18T23:02:17.750001Z,2.16050868068484,1.1446548598869861
