,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,4.055,35.0555,-119.197,4.69,2,2,2,2,0,0,0,0,2005-04-16T19:18:12.319982Z
1,-1,-1,7.077999999999999,37.3325,-121.69917,4.4,1,1,1,1,0,0,0,0,2001-02-25T23:18:22.499998Z
2,-1,-1,23.619,35.09167,-119.10933999999999,4.76,2,2,2,2,0,0,0,0,2004-02-14T12:43:05.610035Z
3,1,1,7.6610000000000005,36.77117,-121.49633,4.5,4,4,4,4,0,0,0,0,2011-01-12T08:51:03.680036Z
4,1,1,-0.605,39.622170000000004,-120.06033000000001,4.5,8,8,8,8,0,0,0,0,1995-11-15T20:33:59.720030Z
5,-1,-1,2.551,38.83667,-122.76717,4.58,2,2,2,2,0,0,0,0,2004-02-18T20:37:46.419967Z
6,-1,-1,-2.261,39.305,-120.09283,4.77,1,1,0,0,0,0,0,0,2005-06-26T18:45:57.790020Z
7,1,1,1.1740000000000002,37.256,-117.8305,4.9,5,5,4,4,1,1,1,1,1997-11-15T06:00:19.509983Z
8,-1,-1,1.258,39.28433,-120.04533,4.8,1,1,0,0,0,0,0,0,1998-10-30T09:53:31.569997Z
9,1,-1,7.518,37.35933,-121.72233999999999,4.7,0,3,1,0,0,0,0,0,1996-05-21T20:50:20.170033Z
10,1,1,2.546,38.866659999999996,-122.78733000000001,4.56,3,3,2,2,0,0,0,0,2006-10-20T17:00:08.099969Z
11,1,1,2.557,39.80717,-122.73733999999999,4.4,2,2,2,2,4,4,4,4,1995-05-17T02:29:13.989956Z
12,1,1,7.659,37.90733,-122.6865,4.6,3,3,2,2,0,0,0,0,1999-08-18T01:06:18.939965Z
13,1,1,-1.38,36.3995,-117.82733,4.58,19,19,16,16,2,2,2,2,2009-05-23T22:58:32.399965Z
14,1,1,6.99,36.6255,-120.83366000000001,4.43,5,5,5,5,1,1,1,1,2014-09-28T20:45:13.260030Z
15,1,1,4.8389999999999995,39.35783,-120.4735,4.4,11,11,11,11,0,0,0,0,2000-12-02T15:34:16.319997Z
16,1,1,21.74,35.547,-119.36783999999999,4.84,6,8,3,3,0,0,0,0,2016-02-24T00:02:23.610014Z
17,1,1,1.48,38.82217,-122.84133,5.01,7,12,1,1,0,0,0,0,2016-12-14T16:41:05.530045Z
18,1,1,13.97,37.938,-122.057,4.46,2,2,2,2,1,1,0,0,2019-10-15T05:33:42.809983Z
19,1,1,14.45,39.32933,-122.80183000000001,5.09,3,6,0,0,0,0,0,0,2016-08-10T02:57:17.510035Z
20,1,1,8.822000000000001,36.7545,-121.4615,5.1,19,23,1,1,2,2,1,1,1998-08-12T14:10:25.140004Z
21,1,1,5.525,38.66033,-119.55483000000001,4.4,21,21,21,21,4,4,4,4,2000-09-26T07:20:29.589968Z
22,1,1,9.367,38.37883,-122.41333,4.9,6,6,0,0,0,0,0,0,2000-09-03T08:36:30.110031Z
23,1,1,5.32,36.11033,-118.05117,4.41,11,11,11,11,0,0,0,0,2014-03-13T02:11:03.979997Z
24,2,2,15.06,37.202329999999996,-118.4035,4.74,4,4,3,3,0,0,0,0,2016-02-16T23:04:26.909972Z
25,1,1,6.31,36.6305,-121.24433,4.58,23,23,15,15,0,0,0,0,2017-11-13T19:31:29.049970Z
26,1,1,7.35,35.90583,-117.78867,5.32,59,59,5,5,1,1,1,1,2019-07-06T03:47:53.489986Z
27,1,1,-0.909,39.94683,-120.866,4.4,6,6,6,6,0,0,0,0,1997-11-05T17:49:28.280001Z
28,1,1,1.9,38.8135,-122.81617,4.53,7,7,4,4,0,0,0,0,2014-01-12T20:24:46.739988Z
29,1,1,11.974,39.6055,-120.4715,4.73,3,3,1,1,0,0,0,0,2011-10-27T06:37:09.339970Z
30,1,1,1.65,38.79467,-122.7965,4.46,8,9,8,7,0,0,0,0,2007-04-24T21:08:28.530012Z
31,1,1,3.6180000000000003,38.817170000000004,-122.81383999999998,4.71,9,11,5,5,1,1,1,1,2006-05-12T10:37:29.330031Z
32,1,1,-1.6680000000000001,39.95984,-120.86883999999999,4.5,10,10,7,7,0,0,0,0,2008-12-26T12:19:40.020013Z
33,4,4,6.271,38.39417,-118.73267,4.75,37,41,20,18,34,34,17,17,2011-04-17T00:45:37.209967Z
34,1,1,9.741,37.4335,-121.77433,5.45,7,19,1,1,0,0,0,0,2007-10-31T03:04:54.810018Z
35,1,1,7.5,36.58433,-121.18083,4.64,20,20,10,10,6,6,3,3,2011-08-27T07:18:21.149968Z
36,1,1,1.1320000000000001,39.5235,-119.93183,5.13,48,51,11,10,23,23,6,6,2008-04-26T06:40:10.950019Z
37,2,2,-0.92,38.75783,-119.73683,4.4,15,15,15,15,0,0,0,0,1995-01-06T00:12:02.730037Z
38,1,1,8.266,35.3865,-118.62867,5.0,7,8,1,1,0,0,0,0,2004-09-29T22:54:53.929958Z
39,1,1,6.791,36.966840000000005,-121.59834,4.9,4,4,1,1,2,2,2,2,2002-05-14T05:00:29.500044Z
40,2,2,-1.619,38.662,-119.56267,4.6,38,39,21,21,6,6,6,6,1996-12-12T18:35:49.830031Z
41,1,1,11.12,38.21517,-122.31233,6.02,24,37,1,0,0,0,0,0,2014-08-24T10:20:44.070004Z
42,1,1,11.772,38.052170000000004,-118.04616999999999,5.3,32,33,8,8,0,0,0,0,2013-02-13T00:10:13.959957Z
43,1,1,6.785,38.42933,-119.36066000000001,4.7,16,16,6,6,0,0,0,0,2007-03-09T03:17:32.109994Z
44,1,1,4.725,39.4645,-123.10733,4.79,14,16,9,9,2,2,1,1,2007-04-18T08:42:22.329998Z
