,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,8.382,35.7005,-121.1005,6.5,918,918,2,2,0,0,0,0,2003-12-22T19:15:56.239982Z
1,1,1,-0.2,37.319,-118.8675,6.33,42,42,0,0,35,35,0,0,1995-08-06T18:38:35.739974Z
2,1,1,11.12,38.21517,-122.31233,6.02,24,24,0,0,2,2,0,0,2014-08-24T10:20:44.070004Z
3,1,1,8.136000000000001,35.81816,-120.366,5.97,104,104,5,5,0,0,0,0,2004-09-28T17:15:24.249969Z
4,3,3,7.01,38.37567,-118.90333999999999,5.79,74,74,3,3,2,2,1,1,2016-12-28T08:22:12.620003Z
5,-1,-1,10.01,38.372170000000004,-118.8985,5.64,0,0,0,0,0,0,0,0,2016-12-28T08:18:00.849965Z
6,-1,-1,2.43,38.3615,-118.89684,5.59,0,0,0,0,0,0,0,0,2016-12-28T09:13:47.579981Z
7,1,1,2.9339999999999997,37.52967,-118.81716999999999,5.5,251,251,16,16,12,12,1,1,1999-05-15T13:22:10.659999Z
8,1,1,9.741,37.4335,-121.77433,5.45,7,7,1,1,0,0,0,0,2007-10-31T03:04:54.810018Z
9,2,2,3.355,38.0095,-118.6785,5.4,127,127,13,13,9,9,3,3,2004-09-18T23:02:17.750001Z
10,-1,-1,0.431,38.02333,-118.65799999999999,5.35,1,1,0,0,0,0,0,0,2004-09-18T23:43:41.490019Z
11,1,1,7.35,35.90583,-117.78867,5.32,53,53,5,5,1,1,1,1,2019-07-06T03:47:53.489986Z
12,1,1,7.182,37.87867,-118.166,5.3,69,69,12,12,4,4,1,1,1997-11-02T08:51:52.780032Z
13,1,1,11.772,38.052170000000004,-118.04616999999999,5.3,32,32,8,8,0,0,0,0,2013-02-13T00:10:13.959957Z
14,1,1,8.619,36.309670000000004,-120.85600000000001,5.29,12,12,1,1,0,0,0,0,2012-10-21T06:55:09.510011Z
15,1,1,5.011,39.81116,-120.61667,5.2,7,7,1,1,0,0,0,0,2001-08-10T20:19:27.059988Z
16,2,2,7.1579999999999995,36.01266,-117.86633,5.2,183,183,25,25,29,29,7,7,2001-07-17T12:07:25.829970Z
17,1,1,1.1320000000000001,39.5235,-119.93183,5.13,48,48,10,10,28,28,6,6,2008-04-26T06:40:10.950019Z
18,5,5,-1.212,36.39267,-117.85067,5.13,95,95,16,16,41,41,13,13,2009-10-03T01:15:59.740044Z
