,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,2446,151,272,33.0,23.901,121.574,7.4,13,13,13,49,58,0,0,0,4,0,1986-11-14T21:20:10.549972Z,1986-11-14T21:20:10.549972Z,1986-11-14T21:20:09.000000,1,1,1,1,1
1,2683,79,3389,17.0,-0.414,132.885,7.7,49,49,49,79,67,0,0,0,0,0,2009-01-03T19:43:50.650031Z,2009-01-03T19:43:50.650031Z,2009-01-03T19:43:49.000003,2,2,2,2,2
2,2706,15,3015,24.0,-8.466000000000001,157.043,8.1,103,103,25,1556,65,7,11,0,9,0,2007-04-01T20:39:58.710036Z,2007-04-01T20:39:58.710036Z,2007-04-01T20:39:57.000004,1,1,1,4,1
3,2366,17,1756,10.0,-62.876999999999995,149.52700000000002,8.1,7,7,7,24,9,0,0,0,0,0,1998-03-25T03:12:25.069968Z,1998-03-25T03:12:25.069968Z,1998-03-25T03:12:24.000002,1,1,1,1,1
4,2551,240,1007,34.0,14.717,-92.645,7.2,10,10,12,21,20,5,5,5,6,9,1993-09-10T19:12:54.620006Z,1993-09-10T19:12:54.620006Z,1993-09-10T19:12:53.000003,0,0,5,0,5
5,1247,238,1284,35.0,-29.211,-177.58900000000003,7.2,7,7,8,26,8,0,1,0,0,2,1995-07-03T19:50:50.620042Z,1995-07-03T19:50:50.620042Z,1995-07-03T19:50:48.999999,1,1,1,2,1
6,1916,187,4188,11.0,-60.857,-25.07,7.3,2,2,4,15,9,0,0,0,0,0,2013-07-15T14:03:39.880022Z,2013-07-15T14:03:39.880022Z,2013-07-15T14:03:38.000001,-1,-1,1,1,1
7,2610,229,988,10.0,-56.032,-25.266,7.2,11,11,12,46,16,0,1,0,0,0,1991-12-27T04:05:58.239997Z,1991-12-27T04:05:58.239997Z,1991-12-27T04:05:56.999999,1,1,1,1,1
8,2441,179,398,16.0,-17.94,-172.225,7.3,6,6,1,47,2,0,1,0,0,0,1987-10-06T04:19:06.079950Z,1987-10-06T04:19:06.079950Z,1987-10-06T04:19:04.999999,1,1,-1,2,-1
9,2379,190,2453,16.0,50.038000000000004,87.81299999999999,7.3,16,16,16,17,17,0,0,0,0,0,2003-09-27T11:33:25.080015Z,2003-09-27T11:33:25.080015Z,2003-09-27T11:33:24.000001,1,1,1,1,1
10,2641,142,3359,30.0,1.271,122.09100000000001,7.4,4,4,4,16,16,0,0,0,0,0,2008-11-16T17:02:32.699970Z,2008-11-16T17:02:32.699970Z,2008-11-16T17:02:31.000001,1,1,1,1,1
11,2656,88,696,24.0,8.337,126.729,7.6,62,62,60,168,80,4,8,0,5,0,1989-12-15T18:43:45.030028Z,1989-12-15T18:43:45.030028Z,1989-12-15T18:43:44.000003,1,1,1,5,1
12,1925,71,549,17.0,22.789,99.611,7.7,14,14,14,22,17,0,0,0,0,0,1988-11-06T13:03:19.340034Z,1988-11-06T13:03:19.340034Z,1988-11-06T13:03:18.000002,1,1,1,1,1
13,2465,210,764,14.0,5.121,32.145,7.2,9,9,9,14,14,0,0,0,0,0,1990-05-20T02:22:01.619982Z,1990-05-20T02:22:01.619982Z,1990-05-20T02:21:59.999999,2,2,2,2,2
