,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,6104,241,5988,35.0,1.271,126.249,7.1,18,18,18,45,19,2,3,11,24,23,2001-02-24T07:23:48.729956Z,2001-02-24T07:23:48.729956Z,2001-02-24T07:23:46.999998,1,1,1,1,1
1,5897,71,5982,60.0,13.049000000000001,-88.66,7.7,15,16,16,21,18,0,3,4,2,36,2001-01-13T17:33:32.379955Z,2001-01-13T17:33:32.379955Z,2001-01-13T17:33:31.000002,1,1,1,1,1
2,4839,103,94,34.0,-10.366,160.819,7.6,15,19,14,23,14,0,0,1,1,12,1988-08-10T04:38:26.169996Z,1988-08-10T04:38:26.169996Z,1988-08-10T04:38:24.999998,1,1,1,1,1
3,6977,333,4527,30.0,-28.683000000000003,-177.62400000000002,7.0,1,4,2,3,2,0,0,0,1,2,1997-09-20T16:11:32.150004Z,1997-09-20T16:11:32.150004Z,1997-09-20T16:11:31.000001,0,1,0,1,1
4,6613,129,10391,35.0,7.881,91.936,7.5,18,18,18,18,18,1,1,2,3,40,2010-06-12T19:26:50.460000Z,2010-06-12T19:26:50.460000Z,2010-06-12T19:26:49.000001,1,1,1,1,2
5,4110,26,366,27.0,18.19,-102.53299999999999,8.0,4,9,5,5,5,0,0,1,0,3,1985-09-19T13:17:47.350031Z,1985-09-19T13:17:47.350031Z,1985-09-19T13:17:45.999999,1,2,2,1,2
6,6666,158,365,33.0,7.191,126.762,7.3,16,21,17,24,29,1,2,7,1,19,1992-05-17T10:15:31.310033Z,1992-05-17T10:15:31.310033Z,1992-05-17T10:15:29.999999,2,2,2,3,0
7,6414,83,3537,16.0,42.851000000000006,139.197,7.7,31,36,32,34,32,0,0,2,0,6,1993-07-12T13:17:11.959980Z,1993-07-12T13:17:11.959980Z,1993-07-12T13:17:10.000000,1,1,1,1,1
8,10,342,2795,1.0,41.678999999999995,-125.85600000000001,7.0,0,0,0,0,0,1,3,4,1,5,1991-08-17T22:17:09.970019Z,1991-08-17T22:17:09.970019Z,1991-08-17T22:17:08.000000,0,2,2,0,2
9,6536,354,2729,17.0,42.453,43.673,7.0,14,14,14,15,15,0,0,0,0,0,1991-04-29T09:12:48.099968Z,1991-04-29T09:12:48.099968Z,1991-04-29T09:12:46.999999,1,1,1,1,1
