,Cid_G,Cid_M,Cid_Z,Cid_Zb,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_Zb,N_AS_allG,N_AS_allZ,N_AS_allZb,N_FS_G,N_FS_M,N_FS_Z,N_FS_Zb,N_FS_allG,N_FS_allZ,N_FS_allZb,T0G,T0M,T0Z,T0Zb,c_typeG,c_typeM,c_typeZ,c_typeZb,c_typeallG,c_typeallZ,c_typeallZb
0,7454,254,2680,4248,11.0,52.629,142.827,7.1,9,9,9,6,11,14,6,0,0,0,0,0,0,0,1995-05-27T13:03:52.650002Z,1995-05-27T13:03:52.650002Z,1995-05-27T13:03:51.000000,1995-05-27T13:03:51.000000,1,1,1,1,1,1,1
1,997,98,7182,6626,35.0,10.085,-85.315,7.6,4,6,6,6,4,18,6,0,1,0,0,0,0,13,2012-09-05T14:42:07.800012Z,2012-09-05T14:42:07.800012Z,2012-09-05T14:42:06.000003,2012-09-05T14:42:06.000003,1,1,1,1,1,1,1
2,7458,58,8297,13547,40.0,-10.681,161.327,7.8,115,118,115,72,136,133,72,1,1,0,0,4,0,10,2016-12-08T17:38:46.279973Z,2016-12-08T17:38:46.279973Z,2016-12-08T17:38:44.999997,2016-12-08T17:38:44.999997,1,1,1,1,1,1,1
3,7275,317,5841,9344,8.0,-58.227,-22.099,7.0,5,6,8,5,5,9,5,0,0,0,2,0,0,2,2008-06-30T06:17:43.019984Z,2008-06-30T06:17:43.019984Z,2008-06-30T06:17:42.000000,2008-06-30T06:17:42.000000,1,1,1,1,1,1,1
4,6274,365,6215,6059,46.0,-7.782,107.29700000000001,7.0,5,5,6,4,5,9,4,0,0,0,0,0,0,5,2009-09-02T07:55:01.050015Z,2009-09-02T07:55:01.050015Z,2009-09-02T07:55:00.000001,2009-09-02T07:55:00.000001,1,1,1,1,1,1,1
5,3679,267,259,470,10.0,-1.639,134.911,7.1,5,8,8,3,5,11,3,0,0,0,0,0,0,0,1985-11-17T09:40:21.290015Z,1985-11-17T09:40:21.290015Z,1985-11-17T09:40:20.000000,1985-11-17T09:40:20.000000,1,1,1,1,1,1,1
6,5044,86,3685,5667,26.0,-1.105,123.573,7.6,18,21,24,20,21,38,20,0,0,0,0,0,0,3,2000-05-04T04:21:16.210013Z,2000-05-04T04:21:16.210013Z,2000-05-04T04:21:15.000002,2000-05-04T04:21:15.000002,1,1,1,1,1,1,1
7,3347,287,8034,13151,35.0,-47.617,85.09100000000001,7.1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2015-12-04T22:25:00.110005Z,2015-12-04T22:25:00.110005Z,2015-12-04T22:24:59.999998,2015-12-04T22:24:59.999998,0,0,0,0,0,0,0
8,3527,180,4290,6348,33.0,-10.491,160.77,7.3,2,2,1,0,4,3,0,1,2,0,2,1,0,5,2003-01-20T08:43:06.070004Z,2003-01-20T08:43:06.070004Z,2003-01-20T08:43:04.999998,2003-01-20T08:43:04.999998,1,1,0,0,1,1,1
9,3745,193,4748,7258,15.0,4.695,-77.508,7.2,1,1,1,1,1,2,1,0,0,0,0,0,0,0,2004-11-15T09:06:56.559972Z,2004-11-15T09:06:56.559972Z,2004-11-15T09:06:55.000000,2004-11-15T02:38:43.000003,0,0,0,0,0,0,0
10,7462,68,2723,521,30.0,-5.7989999999999995,154.178,7.7,46,52,55,25,78,75,25,2,3,0,3,24,0,26,1995-08-16T10:27:28.629970Z,1995-08-16T10:27:28.629970Z,1995-08-16T10:27:26.999997,1995-08-16T10:27:26.999997,1,1,1,1,1,1,1
11,6690,17,6235,6151,18.0,-15.489,-172.095,8.1,13,163,15,8,13,19,8,2,5,0,2,5,0,8,2009-09-29T17:48:10.990015Z,2009-09-29T17:48:10.990015Z,2009-09-29T17:48:08.999999,2009-09-29T17:48:08.999999,1,1,1,1,1,1,1
12,6276,212,2096,3256,10.0,7.075,-76.862,7.2,16,26,26,22,16,30,22,4,4,4,4,4,4,6,1992-10-18T15:11:59.109970Z,1992-10-18T15:11:59.109970Z,1992-10-18T15:11:58.000004,1992-10-18T15:11:58.000004,1,1,1,1,1,1,1
13,6123,284,3959,6156,33.0,-36.813,-179.575,7.1,41,43,51,45,48,52,45,0,0,0,1,0,0,1,2001-08-21T06:52:06.250001Z,2001-08-21T06:52:06.250001Z,2001-08-21T06:52:04.999998,2001-08-21T06:52:04.999998,1,1,1,1,1,1,1
14,7117,261,3023,2239,33.0,29.976,68.208,7.1,6,8,8,6,9,17,6,0,0,0,0,0,0,3,1997-02-27T21:08:02.359967Z,1997-02-27T21:08:02.359967Z,1997-02-27T21:08:00.999996,1997-02-27T21:08:00.999996,1,1,1,1,1,1,1
