,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,-999.0,-999,0,0,1,4.2,-999.0,1.3000000000000007,63.5141,-147.4529,7.9,0,0,1,1,2002-11-03T22:12:41.517964Z,-999.0,inf
1,-999.0,-999,0,0,2,25.9,0.20000000000000018,-999.0,9.755,124.694,6.8,1,1,0,0,1990-02-08T07:15:32.230014Z,inf,-999.0
2,-999.0,-999,0,0,3,12.0,-999.0,-999.0,51.708,95.991,6.7,0,0,0,1,2012-02-26T06:17:19.759981Z,-999.0,-999.0
3,-999.0,-999,0,0,4,8.22,1.2000000000000002,-999.0,28.2305,84.7314,7.8,1,1,0,0,2015-04-25T06:11:25.949981Z,inf,-999.0
4,-999.0,-999,0,0,5,10.0,0.20000000000000018,-999.0,-26.999000000000002,-108.285,6.7,1,1,0,0,1987-07-06T01:06:07.679988Z,inf,-999.0
5,-999.0,-999,0,0,6,18.0,-999.0,-999.0,-8.207,118.631,6.6,0,0,0,2,2009-11-08T19:41:43.360015Z,-999.0,-999.0
6,-999.0,-999,0,0,7,50.4,0.2999999999999998,-999.0,40.245,49.946000000000005,6.8,1,1,0,0,2000-11-25T18:09:11.420002Z,inf,-999.0
7,-999.0,-999,0,0,8,10.0,0.2999999999999998,0.2999999999999998,49.3346,-129.289,6.8,1,1,1,1,2018-10-22T06:16:26.449970Z,inf,inf
8,-999.0,-999,0,0,9,11.19,-999.0,-999.0,-11.0559,163.6959,6.9,0,1,0,0,2015-05-22T21:45:19.479999Z,-999.0,-999.0
9,-999.0,-999,0,0,10,48.5,0.09999999999999964,-999.0,52.591,160.32399999999998,6.5,1,1,0,0,2001-10-08T18:14:26.440020Z,inf,-999.0
10,-999.0,-999,0,0,11,33.0,-999.0,-999.0,18.993,-107.35,6.9,0,0,0,1,1997-05-01T11:37:36.150037Z,-999.0,-999.0
11,-999.0,-999,0,0,12,16.0,0.5999999999999996,-999.0,50.038000000000004,87.81299999999999,7.3,2,2,0,0,2003-09-27T11:33:25.080015Z,0.6139890147541255,-999.0
12,-999.0,-999,0,0,13,9.0,-999.0,-999.0,-40.316,-74.874,6.7,0,1,0,0,1998-04-01T22:42:56.899980Z,-999.0,-999.0
13,-999.0,-999,0,0,14,16.6,0.39999999999999947,-999.0,-1.258,127.98,6.8,1,1,0,0,1994-10-08T21:44:07.210033Z,inf,-999.0
14,-999.0,-999,0,0,15,47.5,0.6000000000000005,-999.0,-5.978,148.82,6.9,1,1,0,0,1999-11-17T03:27:42.080001Z,inf,-999.0
15,-999.0,-999,0,0,16,27.1,0.5,-999.0,-0.564,-19.317999999999998,6.8,1,1,0,0,1992-12-26T19:52:24.899987Z,inf,-999.0
16,-999.0,-999,0,0,17,19.0,0.10000000000000053,-999.0,-0.493,100.49799999999999,6.4,1,1,0,0,2007-03-06T03:49:38.899986Z,inf,-999.0
17,-999.0,-999,0,0,18,56.0,-999.0,-999.0,-17.178,-173.92700000000002,6.4,0,0,0,1,2000-09-26T06:17:52.410015Z,-999.0,-999.0
18,-999.0,-999,0,0,19,33.0,-999.0,-999.0,13.897,-90.76799999999999,6.3,0,0,0,1,1999-06-06T07:08:05.859964Z,-999.0,-999.0
19,-999.0,-999,0,0,20,7.0,0.0,-999.0,5.305,-82.62899999999999,6.3,1,1,0,0,2012-06-04T00:45:15.290030Z,inf,-999.0
20,-999.0,-999,0,0,21,20.6,-999.0,-999.0,-40.296,176.06400000000002,6.4,0,0,0,1,1990-05-13T04:23:09.600003Z,-999.0,-999.0
21,-999.0,-999,0,0,22,13.0,0.10000000000000053,-999.0,-16.567,167.335,6.4,1,1,0,0,2008-03-12T11:23:34.059956Z,inf,-999.0
22,-999.0,-999,0,0,23,43.8,0.7000000000000002,-999.0,-30.523000000000003,-178.41400000000002,7.0,1,1,0,0,1989-05-14T00:59:50.449978Z,inf,-999.0
23,-999.0,-999,0,0,24,12.0,0.20000000000000018,-999.0,60.473,-177.877,6.5,1,1,0,0,2010-04-30T23:11:43.100012Z,inf,-999.0
24,-999.0,-999,0,0,25,32.3,0.7000000000000002,-999.0,55.177,-160.458,6.9,1,1,0,0,1993-05-13T11:59:49.250028Z,inf,-999.0
25,-999.0,-999,0,0,26,11.0,-999.0,-999.0,-15.222999999999999,-172.571,6.6,0,0,0,1,2009-08-30T14:51:32.889967Z,-999.0,-999.0
26,-999.0,-999,0,0,27,12.0,0.5,-999.0,28.412,59.18,6.7,1,1,0,0,2010-12-20T18:41:59.199965Z,inf,-999.0
27,-999.0,-999,0,0,28,6.8,0.7999999999999998,-999.0,39.431,75.22399999999999,7.0,1,1,0,0,1985-08-23T12:41:56.159979Z,inf,-999.0
28,-999.0,-999,0,0,29,11.0,0.39999999999999947,-999.0,-6.482,151.195,6.6,2,2,0,0,2006-11-07T17:38:33.800006Z,2.196717026874068,-999.0
