,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,0.9983226846637754,1.4151168511454248,1,1,1,29.0,1.1999999999999993,1.7999999999999998,38.297,142.373,9.1,621,621,58,58,2011-03-11T05:46:24.119965Z,10.419783565872425,1.0049704282804628
1,1.1370705484102634,-999.0,1,1,2,30.0,1.8999999999999995,3.6999999999999993,3.295,95.98200000000001,9.1,479,479,6,6,2004-12-26T00:58:53.449996Z,8.165271603274512,0.13528853803773858
2,1.2697757946229609,-999.0,1,1,3,22.9,1.4000000000000004,3.500000000000001,-36.122,-72.898,8.8,326,326,6,6,2010-02-27T06:34:11.529981Z,5.682261273990566,0.18896574622203524
3,1.1703390259081154,-999.0,1,1,4,30.0,1.6999999999999993,1.7999999999999998,2.085,97.10799999999999,8.6,166,166,16,16,2005-03-28T16:09:36.530032Z,2.8259603017573816,0.5569382096389032
4,1.1975310321241508,-999.0,2,2,5,20.0,0.40000000000000036,3.1999999999999993,2.327,93.06299999999999,8.6,79,79,7,7,2012-04-11T08:38:36.719986Z,1.4340902652892318,0.1585645998314138
5,1.043482511510355,-999.0,1,1,6,33.0,0.8000000000000007,-999.0,-16.265,-73.641,8.4,71,71,0,0,2001-06-23T20:33:14.130034Z,1.4448505464245358,-999.0
6,1.0705863972498748,-999.0,1,1,7,34.0,0.5,3.2,-4.438,101.367,8.4,106,106,9,9,2007-09-12T11:10:26.829987Z,1.7811055540825116,0.16031438376255708
7,0.8026302410288823,-999.0,1,1,8,22.44,1.3000000000000007,2.6000000000000005,-31.5729,-71.6744,8.3,101,101,6,6,2015-09-16T22:54:32.860016Z,1.8306182993765359,0.14332289011788105
8,1.1493259607851751,-999.0,2,2,9,10.0,0.20000000000000107,1.700000000000001,46.592,153.266,8.3,122,122,28,28,2006-11-15T11:14:13.570017Z,2.048971005733097,0.555285328078409
9,1.3160438845553084,-999.0,1,1,10,14.0,1.0000000000000009,1.700000000000001,43.773,147.321,8.3,160,160,26,26,1994-10-04T13:22:55.840019Z,2.703305160149183,0.5531657572328167
10,-999.0,-999.0,0,0,11,25.1,-999.0,-999.0,0.802,92.463,8.2,0,0,0,0,2012-04-11T10:43:10.849955Z,-999.0,-999.0
11,0.9454029538029961,-999.0,1,1,12,25.0,0.4999999999999991,1.4999999999999991,-19.6097,-70.7691,8.2,64,64,27,27,2014-04-01T23:46:47.260043Z,1.091233078723195,0.533201265451883
12,1.3681071591091474,-999.0,1,1,13,47.39,2.0999999999999996,2.8999999999999995,15.0222,-93.8993,8.2,43,43,3,3,2017-09-08T04:49:19.179983Z,0.7471861779480641,0.29229506487872253
13,0.8596955614467096,-999.0,1,1,14,27.0,0.7599999999999998,2.66,41.815,143.91,8.16,58,58,2,2,2003-09-25T19:50:06.360003Z,0.9718837287710032,0.08364485232032735
14,0.9907493164127328,-999.0,1,1,15,24.0,1.1999999999999993,2.3999999999999995,-8.466000000000001,157.043,8.1,103,103,11,11,2007-04-01T20:39:58.710036Z,1.9738980419589267,0.2683756070814886
15,1.372887094592441,-999.0,1,1,16,18.0,1.7999999999999998,1.5,-15.489,-172.095,8.1,101,101,5,5,2009-09-29T17:48:10.990015Z,1.7821392919220422,0.45157523082620216
16,-999.0,-999.0,1,1,17,10.0,1.6999999999999993,-999.0,-62.876999999999995,149.52700000000002,8.1,7,7,0,0,1998-03-25T03:12:25.069968Z,0.2883032400886006,-999.0
