,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999.0,-1,-1,4,1.3030000000000002,-999.0,0.09999999999999964,41.678999999999995,-125.85600000000001,7.0,0,0,0,0,2,2,2,2,1991-08-17T22:17:09.970019Z,-999.0,0.05744376139430359
1,-999.0,-999.0,-1,-1,22,13.0,-999.0,1.0,28.695999999999998,-113.104,7.0,0,0,0,0,1,1,1,1,2012-04-12T07:15:48.500002Z,-999.0,inf
2,-999.0,-999.0,-1,-1,83,19.0,-999.0,-999.0,17.4825,-83.52,7.5,0,2,2,0,0,0,0,0,2018-01-10T02:51:33.290004Z,-999.0,-999.0
3,-999.0,-999.0,1,1,373,33.0,1.5,-999.0,-19.528,173.81799999999998,7.1,3,3,3,3,0,0,0,0,2000-02-25T01:43:58.639949Z,0.3037681204805263,-999.0
4,-999.0,-999.0,1,1,492,11.78,1.0,1.4000000000000004,-53.9451,-55.0033,7.0,2,2,2,2,1,1,1,1,2013-11-25T06:27:33.300035Z,72.9806799765381,inf
5,-999.0,-999.0,1,1,505,8.0,1.5999999999999996,0.6999999999999993,35.7695,-117.59933329999998,7.1,2,4,4,2,2,2,2,2,2019-07-06T03:19:53.039968Z,92.78500061039817,2.732273273261293
6,-999.0,-999.0,-1,-1,561,21.0,1.7000000000000002,-999.0,37.8973,26.7838,7.0,1,1,1,1,0,0,0,0,2020-10-30T11:51:27.348013Z,inf,-999.0
7,-999.0,-999.0,1,1,683,10.0,0.5999999999999996,-999.0,-1.339,88.976,7.0,4,5,5,4,0,0,0,0,1999-11-15T05:42:43.219957Z,5.442596823756617,-999.0
8,-999.0,-999.0,-1,-1,791,10.0,1.6999999999999993,-999.0,-42.813,124.68799999999999,7.1,2,2,2,2,0,0,0,0,2001-12-12T14:02:35.040019Z,3.531566338731286,-999.0
9,-999.0,-999.0,1,-1,821,19.9,1.7000000000000002,-999.0,10.597999999999999,-63.486000000000004,7.0,2,3,3,2,0,0,0,0,1997-07-09T19:24:13.170016Z,72.2377842085967,-999.0
10,-999.0,-999.0,-1,-1,864,30.0,-999.0,-999.0,39.566,54.799,7.0,0,2,2,0,0,0,0,0,2000-12-06T17:11:06.399970Z,-999.0,-999.0
11,-999.0,-999.0,-1,-1,940,19.7,1.7999999999999998,-999.0,23.613000000000003,95.90100000000001,7.0,1,2,2,1,0,0,0,0,1991-01-05T14:57:11.589980Z,inf,-999.0
12,-999.0,-999.0,-1,-1,944,28.1,1.4000000000000004,-999.0,-45.277,166.92700000000002,7.0,2,2,2,2,0,0,0,0,1993-08-10T00:51:53.249981Z,2.6676275064141097,-999.0
13,-999.0,-999.0,-1,-1,1060,16.68,1.8999999999999995,-999.0,52.6487,-31.9016,7.1,1,2,2,1,0,0,0,0,2015-02-13T18:59:12.229988Z,inf,-999.0
14,-999.0,-999.0,-1,-1,1069,10.0,-999.0,-999.0,-1.278,-23.569000000000003,7.0,0,1,1,0,0,0,0,0,1994-03-14T04:30:15.750035Z,-999.0,-999.0
15,-999.0,-999.0,1,-1,1112,21.3,2.0,-999.0,4.553999999999999,-77.442,7.2,2,3,2,1,0,0,0,0,1991-11-19T22:28:51.090034Z,0.14834161033173707,-999.0
16,-999.0,-999.0,1,-1,1119,33.0,2.2,-999.0,35.069,87.325,7.5,1,3,1,0,0,0,0,0,1997-11-08T10:02:52.610034Z,inf,-999.0
17,-999.0,-999.0,2,1,1247,35.3,1.1000000000000005,-999.0,-29.211,-177.58900000000003,7.2,7,26,25,7,0,0,0,0,1995-07-03T19:50:50.620042Z,0.1399706703136144,-999.0
18,-999.0,-999.0,1,1,1441,16.0,2.0,-999.0,-55.663999999999994,158.453,7.1,3,4,4,3,0,0,0,0,2008-04-12T00:30:12.600036Z,0.5451001500787633,-999.0
19,-999.0,-999.0,2,2,1482,10.0,0.8000000000000007,0.20000000000000018,33.184,137.071,7.4,7,9,7,6,3,3,1,1,2004-09-05T14:57:18.609988Z,1.653823556452425,21.749947726299194
20,-999.0,-999.0,2,2,1526,33.0,1.4000000000000004,0.2999999999999998,-6.92,128.946,7.0,4,5,5,4,1,1,1,1,1998-11-09T05:38:44.220016Z,0.11372254961459484,inf
21,-999.0,-999.0,1,-1,1549,60.21,1.2999999999999998,-999.0,5.8983,126.9209,7.0,2,12,12,2,0,0,0,0,2018-12-29T03:39:09.740021Z,0.11460264897190656,-999.0
22,-999.0,-999.0,1,-1,1564,14.86,1.6000000000000005,-999.0,19.4193,-78.756,7.7,2,3,1,1,0,0,0,0,2020-01-28T19:10:24.918011Z,781.8296128184626,-999.0
23,-999.0,-999.0,1,1,1595,9.987,1.5,-999.0,32.2861667,-115.29533329999998,7.2,6,10,9,6,0,0,0,0,2010-04-04T22:40:42.359984Z,1.5995824301037884,-999.0
24,-999.0,-999.0,1,1,1600,13.73,1.33,-999.0,34.603333299999996,-116.265,7.1,3,4,3,3,0,0,0,0,1999-10-16T09:46:44.460015Z,24.302270880045597,-999.0
25,-999.0,-999.0,1,1,1660,10.0,1.2000000000000002,0.7999999999999998,0.151,-77.821,7.2,3,7,6,3,1,1,1,1,1987-03-06T04:10:41.959983Z,18.204791300332925,inf
26,-999.0,-999.0,1,-1,1690,69.7,2.1000000000000005,-999.0,-19.022000000000002,-69.991,7.2,1,3,1,0,0,0,0,0,1987-08-08T15:48:56.750003Z,inf,-999.0
27,-999.0,-999.0,-1,-1,1798,35.0,2.0999999999999996,-999.0,-47.6165,85.0913,7.1,1,1,0,0,0,0,0,0,2015-12-04T22:25:00.110005Z,inf,-999.0
28,-999.0,-999.0,1,-1,1800,67.3,1.5999999999999996,-999.0,-5.577000000000001,130.791,7.1,1,8,7,1,0,1,1,0,1987-06-17T01:32:53.719989Z,inf,-999.0
29,-999.0,-999.0,1,1,1808,10.0,1.0999999999999996,-999.0,-1.639,134.911,7.1,7,10,8,5,0,0,0,0,1985-11-17T09:40:21.290015Z,0.3614032341112467,-999.0
30,0.8770768038437025,-999.0,4,4,1816,43.0,0.5999999999999996,0.09999999999999964,-13.966,166.516,7.1,31,52,48,29,19,20,17,16,1985-12-21T01:13:22.409967Z,0.5748260864573106,1.0196976123392887
31,-999.0,-999.0,1,1,1833,33.0,0.6000000000000005,-999.0,-58.893,158.513,7.4,5,6,4,3,0,0,0,0,1987-09-03T06:40:13.909981Z,2.7926081218515737,-999.0
32,-999.0,-999.0,1,1,1843,16.37,1.7000000000000002,-999.0,-22.4765,173.1167,7.2,12,14,9,8,0,1,1,0,2016-08-12T01:26:36.280033Z,0.709461899263947,-999.0
33,1.7531153397929473,-999.0,1,1,1849,10.0,1.3000000000000007,-999.0,-55.2852,-31.8766,7.4,44,59,8,7,0,0,0,0,2016-08-19T07:32:22.709988Z,1.22188425165275,-999.0
