,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,378,23,344,24.0,38.64,23.4,5.2,39,39,38,39,45,0,0,0,0,0,2014-11-17T23:05:55.399987Z,2014-11-17T23:05:55.399987Z,2014-11-17T23:05:54.000001,2,2,2,2,2
1,306,30,336,12.0,38.92,21.15,5.2,4,4,3,4,3,0,0,0,0,0,2014-10-24T23:43:15.099999Z,2014-10-24T23:43:15.099999Z,2014-10-24T23:43:13.999998,1,1,1,1,1
2,353,6,91,31.0,39.67,25.56,5.8,91,91,91,101,102,0,0,0,0,0,2013-01-08T14:16:08.299982Z,2013-01-08T14:16:08.299982Z,2013-01-08T14:16:07.000002,1,1,1,1,1
3,131,40,740,10.0,39.286,21.631,5.0,2,2,3,2,3,0,0,0,0,0,2018-08-31T07:12:24.500012Z,2018-08-31T07:12:24.500012Z,2018-08-31T07:12:23.000004,-1,-1,1,-1,1
4,290,24,747,14.0,36.663000000000004,21.502,5.2,17,5,18,19,18,6,0,0,33,0,2018-09-27T10:21:50.599989Z,2018-09-27T10:21:50.599989Z,2018-09-27T10:21:49.000004,1,1,1,2,1
5,203,31,494,24.0,37.59,21.72,5.2,4,4,5,4,5,0,0,0,0,0,2016-02-15T18:55:00.400002Z,2016-02-15T18:55:00.400002Z,2016-02-15T18:54:59.999996,1,1,1,1,1
6,97,29,25,33.0,36.66,21.54,5.2,3,3,9,3,9,0,0,0,0,0,2012-04-16T11:23:42.399973Z,2012-04-16T11:23:42.399973Z,2012-04-16T11:23:40.999999,1,1,1,1,1
7,256,17,394,13.0,38.62,23.39,5.3,29,29,23,32,28,1,4,2,1,2,2015-06-09T01:09:03.000019Z,2015-06-09T01:09:03.000019Z,2015-06-09T01:09:02.000002,1,1,1,1,1
8,183,41,586,56.0,36.73,21.87,5.0,1,1,1,2,1,0,0,0,0,0,2016-09-28T07:17:34.099982Z,2016-09-28T07:17:34.099982Z,2016-09-28T07:17:33.000000,-1,-1,-1,-1,-1
9,369,19,589,17.0,39.79,20.69,5.3,96,96,99,103,103,1,1,1,1,1,2016-10-15T20:14:49.199998Z,2016-10-15T20:14:49.199998Z,2016-10-15T20:14:47.999998,4,4,4,4,4
10,297,4,454,11.0,38.67,20.6,6.0,236,218,139,293,156,0,2,1,0,1,2015-11-17T07:10:07.300012Z,2015-11-17T07:10:07.300012Z,2015-11-17T07:10:06.000000,1,1,1,1,1
11,366,25,171,8.0,38.7,22.68,5.2,155,147,158,161,171,1,2,2,1,2,2013-08-07T09:06:51.899989Z,2013-08-07T09:06:51.899989Z,2013-08-07T09:06:50.000002,4,4,4,4,4
12,201,15,656,5.0,34.819,25.461,5.3,6,2,22,7,22,1,4,0,1,0,2017-07-15T20:30:15.700032Z,2017-07-15T20:30:15.700032Z,2017-07-15T20:30:13.999998,1,1,1,1,1
13,335,3,186,65.0,35.5,23.28,6.2,39,38,32,79,34,0,1,0,0,0,2013-10-12T13:11:53.000052Z,2013-10-12T13:11:53.000052Z,2013-10-12T13:11:52.000003,1,1,1,1,1
14,8,18,658,8.0,34.143,23.906,5.3,1,1,3,1,3,0,0,0,0,0,2017-07-31T21:29:09.800014Z,2017-07-31T21:29:09.800014Z,2017-07-31T21:29:08.000001,-1,-1,1,-1,1
15,286,38,11,24.0,40.13,24.09,5.0,24,19,19,31,24,0,1,0,0,0,2012-02-14T01:34:38.699967Z,2012-02-14T01:34:38.699967Z,2012-02-14T01:34:36.999999,2,2,2,2,2
