,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,-999.0,-999,0,0,1,22,-999.0,-999.0,36.0288,27.4943,5.1,0,0,0,1,2017-05-17T11:30:32.400032Z,-999.0,-999.0
1,-999.0,-999,0,0,2,16,0.2999999999999998,0.20000000000000018,40.28,26.22,4.5,1,1,1,1,2015-07-24T02:39:43.700029Z,inf,inf
2,-999.0,-999,0,0,3,6,0.3000000000000007,-999.0,37.53,19.94,4.4,1,1,0,0,2015-05-21T15:31:17.900034Z,inf,-999.0
3,-999.0,-999,0,0,4,16,0.0,-999.0,40.7,21.27,4.0,2,2,0,0,2015-08-24T04:25:20.299948Z,2.4830654343826715,-999.0
4,-999.0,-999,0,0,5,61,-999.0,0.6999999999999997,35.09,26.65,4.6,0,0,1,1,2012-07-04T23:46:36.600013Z,-999.0,inf
5,-999.0,-999,0,0,6,7,0.0,-999.0,34.13,26.6,3.9,1,1,0,0,2016-06-27T21:34:20.800017Z,inf,-999.0
6,-999.0,-999,0,0,7,9,0.0,-999.0,37.8892,21.971,3.9,1,1,0,0,2018-09-14T01:22:01.500030Z,inf,-999.0
7,-999.0,-999,0,0,8,25,0.0,-999.0,37.18,23.01,3.9,1,1,0,0,2014-09-14T22:41:56.900034Z,inf,-999.0
8,-999.0,-999,0,0,9,35,-999.0,0.10000000000000009,35.64,26.58,4.0,0,0,1,1,2016-06-19T19:17:51.400029Z,-999.0,inf
9,-999.0,-999,0,0,10,13,0.9000000000000004,-999.0,34.45,25.78,4.7,1,1,0,0,2015-05-02T08:23:46.299982Z,inf,-999.0
10,-999.0,-999,0,0,11,62,0.6000000000000005,-999.0,34.95,25.29,4.4,1,1,0,0,2015-05-10T21:32:47.700029Z,inf,-999.0
11,-999.0,-999,0,0,12,26,0.6000000000000005,-999.0,38.45,23.71,4.4,1,1,0,0,2014-07-11T09:46:04.899970Z,inf,-999.0
12,-999.0,-999,0,0,13,12,0.7999999999999998,-999.0,40.215,21.7744,4.6,1,1,0,0,2019-07-14T10:50:13.700035Z,inf,-999.0
13,-999.0,-999,0,0,14,10,-999.0,0.20000000000000018,37.9985,21.2045,4.0,0,0,1,1,2017-06-19T04:55:37.000012Z,-999.0,inf
14,-999.0,-999,0,0,15,26,0.0,-999.0,37.8592,27.1558,3.8,1,1,0,0,2017-05-08T08:47:17.600001Z,inf,-999.0
15,-999.0,-999,0,0,16,10,-999.0,0.0,36.5826,21.6412,3.8,0,0,1,1,2019-10-15T19:33:34.099985Z,-999.0,inf
16,-999.0,-999,0,0,17,12,-999.0,0.20000000000000018,37.57,22.06,4.0,0,0,1,1,2015-10-25T15:46:03.800006Z,-999.0,inf
17,-999.0,-999,0,0,18,9,-999.0,0.30000000000000027,34.2818,25.0713,4.2,0,0,2,2,2017-09-04T14:33:57.499986Z,-999.0,8.556192084871187
18,-999.0,-999,0,0,19,11,-999.0,0.09999999999999964,39.3488,23.7433,3.8,0,0,1,1,2018-06-15T03:11:45.699994Z,-999.0,inf
19,-999.0,-999,0,0,20,10,-999.0,0.19999999999999973,38.18,21.88,3.9,0,0,1,1,2016-05-21T16:05:17.100037Z,-999.0,inf
20,-999.0,-999,0,0,21,18,-999.0,0.19999999999999973,38.167,22.656999999999996,3.9,0,0,1,1,2019-10-14T09:24:32.599949Z,-999.0,inf
21,-999.0,-999,0,0,22,27,-999.0,0.19999999999999973,35.89,27.2,3.9,0,0,1,1,2012-01-08T04:48:27.999995Z,-999.0,inf
