,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999,-1,-1,2,18,0.8999999999999999,-999.0,37.7865,20.3462,4.8,1,1,1,1,0,0,0,0,2018-02-21T23:44:55.000000Z,inf,-999.0
1,-999.0,-999,-1,-1,8,8,1.6999999999999997,-999.0,34.1427,23.9057,5.3,1,1,1,1,0,0,0,0,2017-07-31T21:29:09.800014Z,inf,-999.0
2,-999.0,-999,-1,-1,32,27,1.5,-999.0,34.8,24.83,4.8,1,1,1,1,0,0,0,0,2014-08-08T08:20:47.800005Z,inf,-999.0
3,-999.0,-999,-1,-1,38,8,1.7000000000000002,-999.0,39.1467,21.526,4.9,1,1,1,1,0,0,0,0,2017-09-11T16:20:15.099994Z,inf,-999.0
4,-999.0,-999,-1,-1,58,30,-999.0,1.7000000000000002,40.13,24.87,4.9,0,1,1,0,1,1,1,1,2014-09-04T17:43:38.900001Z,-999.0,inf
5,-999.0,-999,-1,-1,74,13,2.3000000000000003,-999.0,38.3492,22.2963,5.4,1,1,0,0,0,0,0,0,2019-03-30T10:46:19.100000Z,inf,-999.0
6,-999.0,-999,2,2,77,32,0.20000000000000018,-999.0,38.23,25.13,4.9,4,4,4,4,0,0,0,0,2014-04-30T04:03:32.400001Z,0.06835454123961794,-999.0
7,-999.0,-999,-1,-1,80,23,-999.0,-999.0,34.7699,23.7799,4.9,0,1,1,0,0,0,0,0,2017-12-13T07:30:07.300021Z,-999.0,-999.0
8,-999.0,-999,1,1,97,33,1.1000000000000005,-999.0,36.66,21.54,5.2,3,3,1,1,0,0,0,0,2012-04-16T11:23:42.399973Z,0.28892961499687847,-999.0
9,-999.0,-999,-1,-1,131,10,1.7000000000000002,-999.0,39.2857,21.6307,5.0,2,2,1,1,0,0,0,0,2018-08-31T07:12:24.500012Z,0.4966974505905976,-999.0
10,-999.0,-999,1,1,140,25,1.6000000000000005,-999.0,38.09,22.74,4.9,5,5,4,4,0,0,0,0,2012-09-22T03:52:24.400044Z,0.35668909294830736,-999.0
11,-999.0,-999,1,1,175,7,1.9000000000000004,-999.0,39.0042,20.6094,5.4,9,10,1,1,0,0,0,0,2019-02-05T02:26:08.800014Z,0.2281243999656013,-999.0
12,-999.0,-999,1,1,177,24,1.0000000000000004,-999.0,36.53,23.06,4.9,3,3,2,2,0,0,0,0,2013-04-09T03:36:26.700018Z,0.16958730419375956,-999.0
13,-999.0,-999,-1,-1,183,56,1.7999999999999998,-999.0,36.73,21.87,5.0,1,2,1,1,0,0,0,0,2016-09-28T07:17:34.099982Z,inf,-999.0
14,-999.0,-999,1,1,201,5,1.5,1.4,34.8185,25.4608,5.3,6,7,4,3,1,1,1,1,2017-07-15T20:30:15.700032Z,0.6548136635713323,inf
15,-999.0,-999,1,1,203,24,2.1,-999.0,37.59,21.72,5.2,4,4,0,0,0,0,0,0,2016-02-15T18:55:00.400002Z,2.7446433396333942,-999.0
16,-999.0,-999,1,1,256,13,1.7999999999999998,2.4,38.62,23.39,5.3,29,32,6,6,1,1,0,0,2015-06-09T01:09:03.000019Z,0.6499364070849716,inf
17,-999.0,-999,1,1,277,13,0.7999999999999998,-999.0,38.118,23.53,5.1,8,8,7,7,0,0,0,0,2019-07-19T11:13:15.199995Z,0.20624719532038469,-999.0
18,-999.0,-999,2,2,286,24,0.0,-999.0,40.13,24.09,5.0,24,31,23,19,0,0,0,0,2012-02-14T01:34:38.699967Z,0.47655251759284295,-999.0
19,-999.0,-999,2,1,290,14,1.4000000000000004,1.4000000000000004,36.6632,21.5021,5.2,17,19,7,7,6,33,19,2,2018-09-27T10:21:50.599989Z,0.9719454637919345,0.12826772482808582
20,0.8268042337155034,-999,5,5,292,29,0.09999999999999964,-999.0,36.06,25.07,5.3,93,100,41,39,0,0,0,0,2012-01-26T04:24:58.300017Z,1.6259101835313048,-999.0
21,-999.0,-999,1,1,293,12,1.0000000000000004,0.9000000000000004,35.36,23.55,4.9,25,25,16,16,18,18,10,10,2016-03-12T12:40:39.099997Z,0.8553119126344589,0.5706773766609631
22,0.9267043194318939,-999,1,1,297,11,0.9000000000000004,-999.0,38.67,20.6,6.0,236,293,23,23,0,0,0,0,2015-11-17T07:10:07.300012Z,4.0083202367700626,-999.0
23,-999.0,-999,1,1,306,12,1.8000000000000003,-999.0,38.92,21.15,5.2,4,4,2,2,0,0,0,0,2014-10-24T23:43:15.099999Z,0.1341492995553168,-999.0
24,-999.0,-999,-1,-1,310,19,1.9,-999.0,38.3,22.11,4.8,2,2,2,2,0,0,0,0,2014-11-07T17:12:59.299981Z,0.09120597576701256,-999.0
25,-999.0,-999,1,1,321,12,1.4,1.7000000000000002,39.114000000000004,24.226999999999997,5.0,4,5,2,2,1,1,1,1,2017-10-11T22:49:44.399973Z,0.29793367992884634,inf
26,-999.0,-999,1,1,327,17,1.2999999999999998,0.8999999999999999,38.92,23.1,4.8,8,8,8,8,2,2,2,2,2013-11-12T18:09:27.999997Z,1.8613839845720481,1.3292062303471388
27,-999.0,-999,1,1,328,29,1.5,1.1,39.92,23.46,5.0,7,7,4,4,1,1,1,1,2014-08-22T04:27:53.000035Z,0.3907484363836618,inf
28,1.1329421267041353,-999,1,1,335,65,2.3000000000000003,-999.0,35.5,23.28,6.2,39,79,0,0,0,0,0,0,2013-10-12T13:11:53.000052Z,0.659179004054067,-999.0
29,-999.0,-999,1,1,347,26,2.6,-999.0,34.71,24.02,5.5,3,15,2,0,0,0,0,0,2012-09-12T03:27:43.600029Z,0.0894115231591674,-999.0
30,-999.0,-999,-1,-1,348,10,-999.0,-999.0,34.36,25.09,4.9,0,1,0,0,0,0,0,0,2015-01-28T15:54:37.200038Z,-999.0,-999.0
31,0.9604082102842261,-999,1,1,353,31,1.0,-999.0,39.67,25.56,5.8,91,101,5,5,0,0,0,0,2013-01-08T14:16:08.299982Z,1.6306325980939669,-999.0
32,1.0371211508137341,-999,1,1,354,28,2.3,-999.0,40.29,25.4,6.3,48,62,0,0,0,0,0,0,2014-05-24T09:25:00.999986Z,0.9224193338450114,-999.0
33,-999.0,-999,1,1,362,24,1.8999999999999995,-999.0,34.82,24.11,5.1,3,10,3,1,0,1,1,0,2013-04-06T11:26:06.499966Z,2.994461632365481,-999.0
34,-999.0,-999,2,2,364,18,1.7999999999999998,0.2999999999999998,38.1,20.44,5.0,11,15,7,5,13,13,7,7,2014-11-08T23:15:42.200002Z,0.39629922242877375,4.118157988875938
