,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,0.9264948947269381,-999.0,1,1,1,13,1.0999999999999996,1.6999999999999993,37.3516,20.4922,6.6,2048,2048,17,17,9,9,1,1,2018-10-25T22:54:50.499972Z,34.25407896165936,0.1996634069363762
1,1.0283043148338964,-999.0,1,1,2,28,2.3,3.5,40.29,25.4,6.3,47,47,0,0,1,1,0,0,2014-05-24T09:25:00.999986Z,0.9032022643899069,inf
2,1.122666007641058,-999.0,1,1,3,65,2.3000000000000003,3.2,35.5,23.28,6.2,38,38,0,0,1,1,0,0,2013-10-12T13:11:53.000052Z,0.6422769783090909,inf
3,0.9300215820717972,-999.0,1,1,4,11,0.9000000000000004,3.0,38.67,20.6,6.0,218,218,22,22,2,2,0,0,2015-11-17T07:10:07.300012Z,3.702600896677431,0.19805666069741046
4,1.0339487043237932,-999.0,2,2,5,16,0.09999999999999964,2.5999999999999996,38.22,20.53,5.8,574,574,50,50,4,4,0,0,2014-01-26T13:55:42.999969Z,9.819794797996494,0.07666166317710581
5,0.9604082102842261,-999.0,1,1,6,31,1.0,-999.0,39.67,25.56,5.8,91,91,5,5,0,0,0,0,2013-01-08T14:16:08.299982Z,1.6306325980939669,-999.0
6,0.8428168774706251,-999.0,2,2,7,32,0.20000000000000018,1.5,34.34,25.06,5.8,121,121,16,16,5,5,1,1,2013-06-15T16:11:01.199971Z,2.8652451713964586,0.10340511116187603
7,1.1990622059281697,0.8295512575680085,4,4,8,11,1.7000000000000002,1.5,38.25,20.4,5.7,41,41,4,4,34,34,7,7,2014-02-03T03:08:44.599981Z,0.6849763648934798,4.732629625079901
8,-999.0,-999.0,4,4,9,28,1.8999999999999995,2.3999999999999995,34.28,25.13,5.6,5,5,1,1,2,2,0,0,2013-06-16T21:39:04.599997Z,0.36137134400203696,12.732564589579189
9,-999.0,-999.0,4,4,10,6,2.3,-999.0,37.4575,20.4522,5.5,11,11,0,0,0,0,0,0,2018-10-30T15:12:01.999956Z,2.406997920841985,-999.0
