,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,18,37.7865,20.3462,4.8,1,1,1,1,0,0,0,0,2018-02-21T23:44:55.000000Z
1,-1,-1,8,34.1427,23.9057,5.3,1,1,1,1,0,0,0,0,2017-07-31T21:29:09.800014Z
2,-1,-1,27,34.8,24.83,4.8,1,1,1,1,0,0,0,0,2014-08-08T08:20:47.800005Z
3,-1,-1,8,39.1467,21.526,4.9,1,1,1,1,0,0,0,0,2017-09-11T16:20:15.099994Z
4,-1,-1,30,40.13,24.87,4.9,0,1,1,0,1,1,1,1,2014-09-04T17:43:38.900001Z
5,-1,-1,13,38.3492,22.2963,5.4,1,1,0,0,0,0,0,0,2019-03-30T10:46:19.100000Z
6,2,2,32,38.23,25.13,4.9,4,4,4,4,0,0,0,0,2014-04-30T04:03:32.400001Z
7,-1,-1,23,34.7699,23.7799,4.9,0,1,1,0,0,0,0,0,2017-12-13T07:30:07.300021Z
8,1,1,33,36.66,21.54,5.2,3,3,1,1,0,0,0,0,2012-04-16T11:23:42.399973Z
9,-1,-1,10,39.2857,21.6307,5.0,2,2,1,1,0,0,0,0,2018-08-31T07:12:24.500012Z
10,1,1,25,38.09,22.74,4.9,5,5,4,4,0,0,0,0,2012-09-22T03:52:24.400044Z
11,1,1,7,39.0042,20.6094,5.4,9,10,1,1,0,0,0,0,2019-02-05T02:26:08.800014Z
12,1,1,24,36.53,23.06,4.9,3,3,2,2,0,0,0,0,2013-04-09T03:36:26.700018Z
13,-1,-1,56,36.73,21.87,5.0,1,2,1,1,0,0,0,0,2016-09-28T07:17:34.099982Z
14,1,1,5,34.8185,25.4608,5.3,6,7,4,3,1,1,1,1,2017-07-15T20:30:15.700032Z
15,1,1,24,37.59,21.72,5.2,4,4,0,0,0,0,0,0,2016-02-15T18:55:00.400002Z
16,1,1,13,38.62,23.39,5.3,29,32,6,6,1,1,0,0,2015-06-09T01:09:03.000019Z
17,1,1,13,38.118,23.53,5.1,8,8,7,7,0,0,0,0,2019-07-19T11:13:15.199995Z
18,2,2,24,40.13,24.09,5.0,24,31,23,19,0,0,0,0,2012-02-14T01:34:38.699967Z
19,2,1,14,36.6632,21.5021,5.2,17,19,7,7,6,33,19,2,2018-09-27T10:21:50.599989Z
20,5,5,29,36.06,25.07,5.3,93,100,41,39,0,0,0,0,2012-01-26T04:24:58.300017Z
21,1,1,12,35.36,23.55,4.9,25,25,16,16,18,18,10,10,2016-03-12T12:40:39.099997Z
22,1,1,11,38.67,20.6,6.0,236,293,23,23,0,0,0,0,2015-11-17T07:10:07.300012Z
23,1,1,12,38.92,21.15,5.2,4,4,2,2,0,0,0,0,2014-10-24T23:43:15.099999Z
24,-1,-1,19,38.3,22.11,4.8,2,2,2,2,0,0,0,0,2014-11-07T17:12:59.299981Z
25,1,1,12,39.114000000000004,24.226999999999997,5.0,4,5,2,2,1,1,1,1,2017-10-11T22:49:44.399973Z
26,1,1,17,38.92,23.1,4.8,8,8,8,8,2,2,2,2,2013-11-12T18:09:27.999997Z
27,1,1,29,39.92,23.46,5.0,7,7,4,4,1,1,1,1,2014-08-22T04:27:53.000035Z
28,1,1,65,35.5,23.28,6.2,39,79,0,0,0,0,0,0,2013-10-12T13:11:53.000052Z
29,1,1,26,34.71,24.02,5.5,3,15,2,0,0,0,0,0,2012-09-12T03:27:43.600029Z
30,-1,-1,10,34.36,25.09,4.9,0,1,0,0,0,0,0,0,2015-01-28T15:54:37.200038Z
31,1,1,31,39.67,25.56,5.8,91,101,5,5,0,0,0,0,2013-01-08T14:16:08.299982Z
32,1,1,28,40.29,25.4,6.3,48,62,0,0,0,0,0,0,2014-05-24T09:25:00.999986Z
33,1,1,24,34.82,24.11,5.1,3,10,3,1,0,1,1,0,2013-04-06T11:26:06.499966Z
34,2,2,18,38.1,20.44,5.0,11,15,7,5,13,13,7,7,2014-11-08T23:15:42.200002Z
35,4,4,8,38.7,22.68,5.2,155,161,69,68,1,1,1,1,2013-08-07T09:06:51.899989Z
36,4,4,17,39.79,20.69,5.3,96,103,45,43,1,1,0,0,2016-10-15T20:14:49.199998Z
37,2,2,24,38.64,23.4,5.2,39,39,17,17,0,0,0,0,2014-11-17T23:05:55.399987Z
38,2,2,16,38.22,20.53,5.8,738,798,67,65,1,1,0,0,2014-01-26T13:55:42.999969Z
39,1,1,13,37.3516,20.4922,6.6,2049,3003,19,17,2,2,1,1,2018-10-25T22:54:50.499972Z
40,2,2,32,34.34,25.06,5.8,129,162,19,17,2,2,0,0,2013-06-15T16:11:01.199971Z
